C000001_cs_000	Zaměstnanci v ozbrojených silách
C000097_cs_000	Specialisté v oblasti tradiční a alternativní medicíny
C000098_cs_000	Specialisté v oblasti tradiční a alternativní medicíny
C000099_cs_000	Nelékařští praktici
C000100_cs_000	Nelékařští praktici
C000101_cs_000	Veterinární lékaři
C000102_cs_000	Veterinární lékaři
C000103_cs_000	Ostatní specialisté v oblasti zdravotnictví
C000104_cs_000	Zubní lékaři
C000105_cs_000	Farmaceuti
C000106_cs_000	Specialisté v oblasti ochrany veřejného zdraví
C000107_cs_000	Fyzioterapeuti
C000108_cs_000	Specialisté v oblasti dietetiky a specialisté na výživu
C000109_cs_000	Specialisté v oblasti audiologie a klinické logopedie
C000110_cs_000	Specialisté v oblasti optiky a optometrie
C000111_cs_000	Specialisté v oblasti zdravotnictví jinde neuvedení
C000112_cs_000	Specialisté v oblasti výchovy a vzdělávání
C000113_cs_000	Učitelé na vysokých a vyšších odborných školách
C000114_cs_000	Učitelé na vysokých a vyšších odborných školách
C000115_cs_000	Lektoři dalšího vzdělávání
C000116_cs_000	Lektoři dalšího vzdělávání
C000117_cs_000	Učitelé na středních školách
C000118_cs_000	Učitelé na středních školách
C000119_cs_000	Učitelé na základních školách a v oblasti předškolní výchovy
C000120_cs_000	Učitelé na základních školách
C000121_cs_000	Učitelé v oblasti předškolní výchovy
C000122_cs_000	Ostatní specialisté v oblasti výchovy a vzdělávání
C000123_cs_000	Specialisté zaměření na metody výuky
C000124_cs_000	Učitelé a vychovatelé pro děti se speciálními vzdělávacími potřebami
C000125_cs_000	Lektoři jazyků
C000126_cs_000	Lektoři hudby
C000127_cs_000	Lektoři umění
C000128_cs_000	Lektoři výuky informačních technologií
C000129_cs_000	Specialisté v oblasti výchovy a vzdělávání jinde neuvedení
C000130_cs_000	Specialisté v obchodní sféře a veřejné správě
C000131_cs_000	Specialisté v oblasti financí
C000132_cs_000	Specialisté v oblasti účetnictví
C000133_cs_000	Finanční a investiční poradci
C000134_cs_000	Finanční analytici
C000135_cs_000	Specialisté v oblasti strategie a personálního řízení
C000136_cs_000	Specialisté v oblasti organizace a řízení práce
C000137_cs_000	Specialisté v oblasti strategie
C000138_cs_000	Specialisté v oblasti personální
C000139_cs_000	Specialisté v oblasti vzdělávání a rozvoje lidských zdrojů
C000140_cs_000	Specialisté v oblasti prodeje, marketingu a styku s veřejností
C000141_cs_000	Specialisté v oblasti reklamy a marketingu
C000142_cs_000	Specialisté v oblasti styku s veřejností
C000143_cs_000	Specialisté v oblasti prodeje technických a lékařských produktů (kromě informačních a komunikačních technologií)
C000144_cs_000	Specialisté v oblasti prodeje informačních a komunikačních technologií
C000145_cs_000	Specialisté v oblasti informačních a komunikačních technologií
C000146_cs_000	Analytici a vývojáři softwaru a počítačových aplikací
C000147_cs_000	Systémoví analytici
C000148_cs_000	Vývojáři softwaru
C000149_cs_000	Vývojáři webu a multimédií
C000150_cs_000	Programátoři počítačových aplikací
C000151_cs_000	Analytici a vývojáři softwaru a počítačových aplikací jinde neuvedení
C000152_cs_000	Specialisté v oblasti databází a počítačových sítí
C000153_cs_000	Návrháři a správci databází
C000154_cs_000	Systémoví administrátoři (správci systémů)
C000155_cs_000	Specialisté v oblasti počítačových sítí
C000156_cs_000	Specialisté v oblasti databází a počítačových sítí jinde neuvedení
C000157_cs_000	Specialisté v oblasti právní, sociální, kulturní a v příbuzných oborech
C000158_cs_000	Specialisté v právní oblasti a pracovníci v příbuzných oborech
C000159_cs_000	Právníci, státní zástupci a příbuzní pracovníci
C000160_cs_000	Soudci a příbuzní pracovníci
C000161_cs_000	Specialisté v právní oblasti a pracovníci v příbuzných oborech jinde neuvedení
C000162_cs_000	Specialisté v knihovnách, archivech a v příbuzných oborech
C000163_cs_000	Specialisté archiváři a kurátoři
C000164_cs_000	Specialisté v knihovnách a v příbuzných oborech
C000165_cs_000	Specialisté v oblasti sociální, církevní a v příbuzných oborech
C000166_cs_000	Specialisté v oblasti národohospodářství
C000167_cs_000	Sociologové, antropologové a specialisté v příbuzných oborech
C000168_cs_000	Filozofové, historici a politologové
C000169_cs_000	Psychologové
C000170_cs_000	Specialisté v oblasti sociální práce a poradenství
C000171_cs_000	Specialisté v církevní oblasti a v příbuzných oborech
C000172_cs_000	Spisovatelé, novináři a jazykovědci
C000173_cs_000	Spisovatelé a pracovníci v příbuzných oborech
C000174_cs_000	Novináři
C000175_cs_000	Překladatelé, tlumočníci a jazykovědci
C000176_cs_000	Výkonní umělci
C000177_cs_000	Výtvarní umělci
C000178_cs_000	Hudebníci, zpěváci a skladatelé
C000179_cs_000	Tanečníci a choreografové
C000180_cs_000	Filmoví, divadelní a příbuzní režiséři a producenti
C000181_cs_000	Herci
C000182_cs_000	Moderátoři v rozhlasu a televizi a ostatní moderátoři
C000183_cs_000	Výkonní umělci jinde neuvedení
C000184_cs_000	Techničtí a odborní pracovníci
C000185_cs_000	Techničtí a odborní pracovníci v oblasti vědy a techniky
C000186_cs_000	Technici ve fyzikálních a příbuzných oborech
C000187_cs_000	Technici v chemických a fyzikálních vědách (kromě chemického inženýrství)
C000188_cs_000	Stavební technici
C000189_cs_000	Elektrotechnici (kromě řídicích a navigačních zařízení letového provozu) a technici energetici
C000190_cs_000	Technici elektronici
C000191_cs_000	Strojírenští technici
C000192_cs_000	Technici v chemickém inženýrství a příbuzných oborech
C000193_cs_000	Důlní a hutní technici a pracovníci v příbuzných oborech
C000194_cs_000	Technici kartografové, zeměměřiči a pracovníci v příbuzných oborech
C000195_cs_000	Technici ve fyzikálních a příbuzných oborech jinde neuvedení
C000196_cs_000	Mistři a příbuzní pracovníci v oblasti těžby, výroby a stavebnictví
C000197_cs_000	Mistři a příbuzní pracovníci v oblasti těžby a hutní výroby
C000198_cs_000	Mistři a příbuzní pracovníci ve výrobě
C000199_cs_000	Mistři a příbuzní pracovníci ve stavebnictví
C000200_cs_000	Operátoři velínů a zařízení
C000201_cs_000	Operátoři velínů a zařízení na výrobu a rozvod elektrické energie
C000202_cs_000	Operátoři velínů a zařízení spaloven a vodáren a pracovníci v příbuzných oborech
C000203_cs_000	Operátoři velínů a zařízení chemické výroby (kromě zpracování ropy a zemního plynu)
C000204_cs_000	Operátoři velínů a zařízení zpracování ropy a zemního plynu
C000205_cs_000	Operátoři velínů a zařízení na zpracování kovů, kontroloři
C000206_cs_000	Operátoři velínů a zařízení jinde neuvedení
C000207_cs_000	Technici v biologických a příbuzných oborech
C000208_cs_000	Technici v biologických oborech (kromě zdravotnických)
C000209_cs_000	Technici v oblasti zemědělství a rybářství
C000210_cs_000	Technici v oblasti lesnictví
C000211_cs_000	Technici a kontroloři v oblasti letecké a lodní dopravy
C000212_cs_000	Lodní technici
C000213_cs_000	Lodní důstojníci a lodivodi
C000214_cs_000	Piloti, navigátoři, letečtí technici a příbuzní pracovníci
C000215_cs_000	Řídící letového provozu
C000216_cs_000	Elektrotechnici řídicích a navigačních zařízení letového provozu
C000217_cs_000	Odborní pracovníci v oblasti zdravotnictví
C000218_cs_000	Zdravotničtí technici a farmaceutičtí asistenti
C000219_cs_000	Technici pro obsluhu lékařských zařízení
C000220_cs_000	Odborní laboranti v oblasti zdravotnictví
C000221_cs_000	Farmaceutičtí asistenti
C000222_cs_000	Technici v oblasti ortotiky a protetiky
C000223_cs_000	Odborní pracovníci v oblasti ošetřovatelství a porodnictví
C000224_cs_000	Odborní pracovníci v oblasti ošetřovatelství
C000225_cs_000	Odborní pracovníci v oblasti porodnictví
C000226_cs_000	Odborní pracovníci tradiční a alternativní medicíny
C000227_cs_000	Odborní pracovníci tradiční a alternativní medicíny
C000228_cs_000	Veterinární technici a asistenti
C000229_cs_000	Veterinární technici a asistenti
C000230_cs_000	Ostatní odborní pracovníci v oblasti zdravotnictví
C000231_cs_000	Dentální hygienisti
C000232_cs_000	Technici pro lékařské záznamy a informace o zdravotním stavu
C000233_cs_000	Odborní pracovníci v oblasti komunitního zdravotnictví
C000234_cs_000	Odborní pracovníci v oblasti oční optiky
C000235_cs_000	Odborní pracovníci v oblasti rehabilitace
C000236_cs_000	Odborní zdravotničtí asistenti
C000237_cs_000	Asistenti ochrany veřejného zdraví
C000238_cs_000	Zdravotničtí záchranáři
C000239_cs_000	Odborní pracovníci v oblasti zdravotnictví jinde neuvedení
C000240_cs_000	Odborní pracovníci v obchodní sféře a veřejné správě
C000241_cs_000	Odborní pracovníci v oblasti financí, matematiky a v příbuzných oborech
C000242_cs_000	Zprostředkovatelé finančních transakcí a finanční makléři
C000243_cs_000	Zprostředkovatelé úvěrů a půjček
C000244_cs_000	Odborní pracovníci v oblasti účetnictví a ekonomiky
C000245_cs_000	Odborní pracovníci v oblasti statistiky, matematiky a v příbuzných oborech
C000246_cs_000	Odhadci a zbožíznalci
C000247_cs_000	Odborní pracovníci v oblasti pojišťovnictví, obchodní zástupci, nákupčí a obchodní makléři
C000248_cs_000	Odborní pracovníci v oblasti pojišťovnictví
C000249_cs_000	Obchodní zástupci
C000250_cs_000	Nákupčí
C000251_cs_000	Obchodní makléři
C000252_cs_000	Zprostředkovatelé služeb
C000253_cs_000	Odbytoví a přepravní agenti, celní deklaranti
C000254_cs_000	Organizátoři konferencí a událostí
C000255_cs_000	Odborní pracovníci úřadů práce a pracovních agentur
C000256_cs_000	Realitní makléři
C000257_cs_000	Zprostředkovatelé služeb jinde neuvedení
C000258_cs_000	Odborní administrativní pracovníci a asistenti
C000259_cs_000	Vedoucí administrativních agend
C000260_cs_000	Odborní administrativní pracovníci v právní oblasti
C000261_cs_000	Odborní asistenti v administrativě
C000262_cs_000	Odborní administrativní pracovníci v oblasti zdravotnictví
C000263_cs_000	Pracovníci veřejné správy v oblasti státních regulací
C000264_cs_000	Pracovníci celní a hraniční kontroly
C000265_cs_000	Pracovníci veřejné správy v oblasti daní
C000266_cs_000	Pracovníci veřejné správy v oblasti sociálních a jiných dávek
C000267_cs_000	Pracovníci veřejné správy vydávající různá povolení
C000268_cs_000	Policejní inspektoři a detektivové
C000269_cs_000	Pracovníci veřejné správy v oblasti státních regulací jinde neuvedení
C000270_cs_000	Odborní pracovníci v oblasti práva, kultury, sportu a v příbuzných oborech
C000271_cs_000	Odborní pracovníci v oblasti právní, sociální a církevní
C000272_cs_000	Odborní pracovníci v právní oblasti a v příbuzných oborech
C000273_cs_000	Odborní pracovníci v oblasti sociální práce
C000274_cs_000	Odborní pracovníci v církevní oblasti a v příbuzných oborech
C000275_cs_000	Odborní pracovníci v oblasti sportu a fitness
C000276_cs_000	Atleti a ostatní profesionální sportovci
C000277_cs_000	Sportovní trenéři, instruktoři a úředníci sportovních klubů
C000278_cs_000	Instruktoři a programoví vedoucí v rekreačních zařízeních a fitcentrech
C000279_cs_000	Odborní pracovníci v oblasti umění a kultury, šéfkuchaři
C000280_cs_000	Fotografové
C000281_cs_000	Aranžéři a příbuzní pracovníci
C000282_cs_000	Konzervátoři, restaurátoři a preparátoři a příbuzní pracovníci v galeriích, muzeích a knihovnách
C000283_cs_000	Šéfkuchaři a šéfcukráři
C000284_cs_000	Ostatní odborní pracovníci v oblasti umění a kultury
C000285_cs_000	Technici v oblasti informačních a komunikačních technologií
C000286_cs_000	Technici provozu a uživatelské podpory informačních a komunikačních technologií a příbuzní pracovníci
C000287_cs_000	Technici provozu informačních a komunikačních technologií
C000288_cs_000	Technici uživatelské podpory informačních a komunikačních technologií
C000289_cs_000	Technici počítačových sítí a systémů
C000290_cs_000	Správci webu
C000291_cs_000	Technici v oblasti telekomunikací a vysílání
C000292_cs_000	Technici vysílání a obsluha záznamu zvuku
C000293_cs_000	Technici v oblasti telekomunikací
C000294_cs_000	Úředníci
C000295_cs_000	Všeobecní administrativní pracovníci, sekretáři a pracovníci pro zadávání dat a zpracování textů
C000296_cs_000	Všeobecní administrativní pracovníci
C000297_cs_000	Všeobecní administrativní pracovníci
C000298_cs_000	Sekretáři (všeobecní)
C000299_cs_000	Sekretáři (všeobecní)
C000300_cs_000	Pracovníci pro zadávání dat a zpracování textů
C000301_cs_000	Pracovníci pro zpracování textů, písaři
C000302_cs_000	Pracovníci pro zadávání dat
C000303_cs_000	Pracovníci informačních služeb, na přepážkách a v příbuzných oborech
C000304_cs_000	Pokladníci ve finančních institucích, bookmakeři, půjčovatelé peněz, inkasisté pohledávek a pracovníci v příbuzných oborech
C000305_cs_000	Pokladníci ve finančních institucích a pracovníci v příbuzných oborech
C000306_cs_000	Bookmakeři, krupiéři a pracovníci v příbuzných oborech
C000307_cs_000	Zastavárníci a půjčovatelé peněz
C000308_cs_000	Inkasisté pohledávek a pracovníci v příbuzných oborech
C000309_cs_000	Pracovníci informačních služeb
C000310_cs_000	Pracovníci cestovního ruchu
C000311_cs_000	Pracovníci v zákaznických kontaktních centrech
C000312_cs_000	Operátoři telefonních panelů
C000313_cs_000	Recepční v hotelích
C000314_cs_000	Pracovníci v informačních kancelářích
C000315_cs_000	Recepční (kromě recepčních v hotelích)
C000316_cs_000	Tazatelé průzkumů
C000317_cs_000	Pracovníci informačních služeb jinde neuvedení
C000318_cs_000	Úředníci pro zpracování číselných údajů a v logistice
C000319_cs_000	Úředníci pro zpracování číselných údajů
C000320_cs_000	Úředníci v oblasti účetnictví
C000321_cs_000	Úředníci v oblasti statistiky, financí a pojištění
C000322_cs_000	Mzdoví účetní
C000323_cs_000	Úředníci v logistice
C000324_cs_000	Úředníci ve skladech
C000325_cs_000	Úředníci ve výrobě
C000326_cs_000	Úředníci v dopravě a přepravě
C000327_cs_000	Ostatní úředníci
C000328_cs_000	Ostatní úředníci
C000329_cs_000	Knihovníci
C000330_cs_000	Pracovníci poštovního provozu (kromě úředníků na přepážkách)
C000331_cs_000	Korektoři, kódovači a příbuzní pracovníci
C000332_cs_000	Opisovači a příbuzní pracovníci
C000333_cs_000	Pracovníci evidence dat a archivů
C000334_cs_000	Personální referenti
C000335_cs_000	Úředníci jinde neuvedení
C000336_cs_000	Pracovníci ve službách a prodeji
C000337_cs_000	Pracovníci v oblasti osobních služeb
C000338_cs_000	Obslužní pracovníci, průvodčí v dopravě a průvodci v cestovním ruchu
C000339_cs_000	Obslužní pracovníci v dopravě a stevardi
C000340_cs_000	Průvodčí a příbuzní pracovníci v dopravě
C000341_cs_000	Průvodci v cestovním ruchu
C000342_cs_000	Kuchaři (kromě šéfkuchařů)
C000343_cs_000	Kuchaři (kromě šéfkuchařů)
C000344_cs_000	Číšníci, servírky a barmani
C000345_cs_000	Číšníci a servírky
C000346_cs_000	Barmani
C000347_cs_000	Kadeřníci, kosmetici a pracovníci v příbuzných oborech
C000348_cs_000	Kadeřníci
C000349_cs_000	Kosmetici a pracovníci v příbuzných oborech
C000350_cs_000	Provozní pracovníci
C000351_cs_000	Provozní pracovníci stravovacích, ubytovacích zařízení, kanceláří a dalších zařízení
C000352_cs_000	Hospodyně v domácnostech
C000353_cs_000	Správci objektů
C000354_cs_000	Ostatní pracovníci v oblasti osobních služeb
C000355_cs_000	Astrologové, jasnovidci a pracovníci v příbuzných oborech
C000356_cs_000	Společníci a osobní sluhové
C000357_cs_000	Pracovníci pohřebních služeb a balzamovači
C000358_cs_000	Pracovníci zajišťující služby spojené s péčí o domácí a jiná zvířata
C000359_cs_000	Instruktoři autoškoly
C000360_cs_000	Pracovníci v oblasti osobních služeb jinde neuvedení
C000361_cs_000	Pracovníci v oblasti prodeje
C000362_cs_000	Stánkoví a pouliční prodavači potravin
C000363_cs_000	Stánkoví prodavači potravin (kromě rychlého občerstvení)
C000364_cs_000	Pouliční prodavači rychlého občerstvení
C000365_cs_000	Provozovatelé maloobchodních prodejen, prodavači a příbuzní pracovníci v prodejnách
C000366_cs_000	Provozovatelé maloobchodních prodejen
C000367_cs_000	Vedoucí pracovních týmů v prodejnách
C000368_cs_000	Prodavači v prodejnách
C000369_cs_000	Pokladníci a prodavači vstupenek a jízdenek
C000370_cs_000	Pokladníci a prodavači vstupenek a jízdenek
C000371_cs_000	Ostatní pracovníci v oblasti prodeje
C000372_cs_000	Modelky a manekýni
C000373_cs_000	Předváděči zboží
C000374_cs_000	Podomní prodavači
C000375_cs_000	Prodejci po telefonu
C000376_cs_000	Obsluha čerpacích stanic
C000377_cs_000	Obsluha v zařízeních rychlého občerstvení
C000378_cs_000	Pracovníci v oblasti prodeje jinde neuvedení
C000379_cs_000	Pracovníci osobní péče v oblasti vzdělávání, zdravotnictví a v příbuzných oborech
C000380_cs_000	Pracovníci pečující o děti, asistenti pedagogů
C000381_cs_000	Pracovníci pečující o děti
C000382_cs_000	Asistenti pedagogů
C000383_cs_000	Pracovníci osobní péče v oblasti zdravotnictví
C000384_cs_000	Ošetřovatelé a příbuzní pracovníci v oblasti zdravotnictví (kromě domácí péče)
C000385_cs_000	Ošetřovatelé v oblasti domácí péče
C000386_cs_000	Pracovníci osobní péče v oblasti zdravotnictví jinde neuvedení
C000387_cs_000	Pracovníci v oblasti ochrany a ostrahy
C000388_cs_000	Pracovníci v oblasti ochrany a ostrahy
C000389_cs_000	Hasiči
C000390_cs_000	Policisté
C000391_cs_000	Dozorci ve věznicích
C000392_cs_000	Pracovníci ostrahy a bezpečnostních agentur
C000393_cs_000	Pracovníci v oblasti ochrany a ostrahy jinde neuvedení
C000394_cs_000	Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství
C000395_cs_000	Kvalifikovaní pracovníci v zemědělství, orientovaní na trh
C000396_cs_000	Zahradníci a pěstitelé orientovaní na trh
C000397_cs_000	Pěstitelé zemědělských plodin a zeleniny
C000398_cs_000	Ovocnáři, vinaři, chmelaři a ostatní pěstitelé plodů rostoucích na stromech a keřích
C000399_cs_000	Zahradníci, pěstitelé v zahradnických školkách
C000400_cs_000	Pěstitelé smíšených plodin
C000401_cs_000	Chovatelé a ošetřovatelé zvířat
C000402_cs_000	Chovatelé hospodářských zvířat (kromě drůbeže)
C000403_cs_000	Chovatelé drůbeže
C000404_cs_000	Včelaři a chovatelé bource morušového
C000405_cs_000	Chovatelé a ošetřovatelé zvířat jinde neuvedení
C000406_cs_000	Pěstitelé a chovatelé ve smíšeném hospodářství
C000407_cs_000	Pěstitelé a chovatelé ve smíšeném hospodářství
C000408_cs_000	Kvalifikovaní pracovníci v lesnictví, rybářství a myslivosti, orientovaní na trh
C000409_cs_000	Kvalifikovaní pracovníci v lesnictví a příbuzných oborech
C000410_cs_000	Kvalifikovaní pracovníci v lesnictví a příbuzných oborech
C000411_cs_000	Kvalifikovaní pracovníci v rybářství a myslivosti
C000412_cs_000	Kvalifikovaní pracovníci v oblasti akvakultury
C000413_cs_000	Rybáři ve vnitrozemských a v pobřežních vodách
C000414_cs_000	Rybáři na moři
C000415_cs_000	Kvalifikovaní pracovníci v oblasti myslivosti
C000416_cs_000	Farmáři, rybáři, lovci a sběrači samozásobitelé
C000417_cs_000	Farmáři samozásobitelé v rostlinné výrobě
C000418_cs_000	Farmáři samozásobitelé v rostlinné výrobě
C000419_cs_000	Farmáři samozásobitelé v živočišné výrobě
C000420_cs_000	Farmáři samozásobitelé v živočišné výrobě
C000421_cs_000	Farmáři samozásobitelé ve smíšeném hospodářství
C000422_cs_000	Farmáři samozásobitelé ve smíšeném hospodářství
C000423_cs_000	Rybáři, lovci a sběrači samozásobitelé
C000424_cs_000	Rybáři, lovci a sběrači samozásobitelé
C000425_cs_000	Řemeslníci a opraváři
C000426_cs_000	Řemeslníci a kvalifikovaní pracovníci na stavbách (kromě elektrikářů)
C000427_cs_000	Řemeslníci a kvalifikovaní pracovníci hlavní stavební výroby a v příbuzných oborech
C000428_cs_000	Pracovníci montovaných staveb
C000429_cs_000	Zedníci a dlaždiči
C000430_cs_000	Kameníci, řezači kamene, brusiči
C000431_cs_000	Betonáři, železobetonáři a pracovníci v příbuzných oborech
C000432_cs_000	Tesaři a stavební truhláři
C000433_cs_000	Řemeslníci a kvalifikovaní pracovníci hlavní stavební výroby a v příbuzných oborech jinde neuvedení
C000434_cs_000	Řemeslníci a kvalifikovaní pracovníci při dokončování staveb
C000435_cs_000	Pokrývači
C000436_cs_000	Podlaháři a obkladači
C000437_cs_000	Štukatéři a omítkáři
C000438_cs_000	Izolatéři
C000439_cs_000	Sklenáři
C000440_cs_000	Instalatéři, potrubáři, stavební zámečníci a klempíři
C000441_cs_000	Mechanici klimatizací a chladicích zařízení
C000442_cs_000	Malíři a pracovníci v příbuzných oborech, pracovníci povrchového čištění budov
C000443_cs_000	Malíři (vč. stavebních lakýrníků a natěračů), tapetáři
C000444_cs_000	Lakýrníci a natěrači (kromě stavebních)
C000445_cs_000	Pracovníci povrchového čištění budov, kominíci
C000446_cs_000	Kovodělníci, strojírenští dělníci a pracovníci v příbuzných oborech
C000447_cs_000	Slévači, svářeči a pracovníci v příbuzných oborech
C000448_cs_000	Slévači, formíři a jádraři
C000449_cs_000	Svářeči, řezači plamenem a páječi
C000450_cs_000	Pracovníci na zpracování plechu
C000451_cs_000	Montéři kovových konstrukcí
C000452_cs_000	Montéři lan a zdvihacích zařízení
C000453_cs_000	Kováři, nástrojáři a pracovníci v příbuzných oborech
C000454_cs_000	Kováři, obsluha kovacích lisů, obsluha bucharů
