C000001_fr_000	Professions militaires
C000109_fr_000	Audiologistes et orthophonistes
C000110_fr_000	Optométristes
C000111_fr_000	Spécialistes de la santé non classés ailleurs
C000112_fr_000	Spécialistes de l’enseignement
C000113_fr_000	Professeurs d’université et d’établissements d’enseignement supérieur
C000114_fr_000	Professeurs d’université et d’établissements d’enseignement supérieur
C000115_fr_000	Professeurs, enseignement technique et professionnel
C000116_fr_000	Professeurs, enseignement technique et professionnel
C000117_fr_000	Professeurs, enseignement secondaire
C000118_fr_000	Professeurs, enseignement secondaire
C000119_fr_000	Instituteurs, enseignement primaire et éducateurs de la petite enfance
C000120_fr_000	Instituteurs, enseignement primaire
C000121_fr_000	Éducateurs de la petite enfance
C000122_fr_000	Autres spécialistes de l’enseignement
C000123_fr_000	Spécialistes des méthodes d’enseignement
C000124_fr_000	Enseignants, éducation spécialisée
C000125_fr_000	Autres professeurs de langues
C000126_fr_000	Autres professeurs de musique
C000127_fr_000	Autres professeurs de disciplines artistiques
C000128_fr_000	Formateurs en technologies de l’information
C000129_fr_000	Spécialistes de l’enseignement, non classés ailleurs
C000130_fr_000	Spécialistes en administration d’entreprises
C000131_fr_000	Spécialistes en finances
C000132_fr_000	Cadres comptables
C000133_fr_000	Conseillers en finances et investissements
C000134_fr_000	Analystes financiers
C000135_fr_000	Spécialistes des fonctions administratives
C000136_fr_000	Analystes, gestion et organisation
C000137_fr_000	Spécialistes, administration et politiques
C000138_fr_000	Spécialistes, ressources humaines et évolution de carrière
C000139_fr_000	Spécialistes de la formation du personnel
C000140_fr_000	Spécialistes des ventes, de la commercialisation et des relations publiques
C000141_fr_000	Spécialistes de la publicité et de la commercialisation
C000142_fr_000	Spécialistes des relations publiques
C000143_fr_000	Spécialistes des ventes, secteurs médical et technique (à l’exception des TIC)
C000144_fr_000	Spécialistes des ventes, des technologies de l’information et des communications
C000145_fr_000	Spécialistes des technologies de l’information et des communications
C000146_fr_000	Concepteurs et analystes de logiciels et de multimédia
C000147_fr_000	Analystes de systèmes
C000148_fr_000	Concepteurs de logiciels
C000149_fr_000	Concepteurs de sites internet et de multimédia
C000150_fr_000	Programmeurs d’applications
C000151_fr_000	Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs
C000152_fr_000	Spécialistes des bases de données et des réseaux d’ordinateurs
C000153_fr_000	Spécialistes des bases de données
C000154_fr_000	Administrateurs de systèmes
C000155_fr_000	Spécialistes des réseaux d’ordinateurs
C000156_fr_000	Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs
C000157_fr_000	Spécialistes de la justice, des sciences sociales et de la culture
C000158_fr_000	Juristes
C000159_fr_000	Avocats
C000160_fr_000	Magistrats
C000161_fr_000	Juristes non classés ailleurs
C000162_fr_000	Archivistes, bibliothécaires, documentalistes et assimilés
C000163_fr_000	Archivistes paléographes et conservateurs de musée
C000164_fr_000	Bibliothécaires, documentalistes et professions assimilées
C000165_fr_000	Spécialistes des sciences sociales et du clergé
C000166_fr_000	Économistes
C000167_fr_000	Sociologues, anthropologues et assimilés
C000168_fr_000	Philosophes, historiens et spécialistes des sciences politiques
C000169_fr_000	Psychologues
C000170_fr_000	Spécialistes du travail social
C000171_fr_000	Ministres des cultes
C000172_fr_000	Auteurs, journalistes et linguistes
C000173_fr_000	Auteurs et autres écrivains
C000174_fr_000	Journalistes
C000175_fr_000	Traducteurs, interprètes et linguistes
C000176_fr_000	Artistes créateurs et exécutants
C000177_fr_000	Artistes plasticiens
C000178_fr_000	Compositeurs, musiciens et chanteurs
C000179_fr_000	Danseurs et chorégraphes
C000180_fr_000	Metteurs en scène de cinéma, de théâtre et d’autres spectacles
C000181_fr_000	Acteurs
C000182_fr_000	Annonceurs-présentateurs de radio, de télévision et autres médias
C000183_fr_000	Artistes créateurs et exécutants non classés ailleurs
C000184_fr_000	Professions intermédiaires
C000185_fr_000	Professions intermédiaires des sciences et techniques
C000186_fr_000	Techniciens des sciences physiques et techniques
C000187_fr_000	Techniciens des sciences chimiques et physiques
C000188_fr_000	Techniciens du génie civil
C000189_fr_000	Techniciens en électricité
C000190_fr_000	Techniciens en électronique
C000191_fr_000	Techniciens en construction mécanique
C000192_fr_000	Techniciens en chimie industrielle
C000193_fr_000	Techniciens des mines, techniciens métallurgistes
C000194_fr_000	Dessinateurs industriels
C000195_fr_000	Techniciens des sciences physiques et techniques non classés ailleurs
C000196_fr_000	Superviseurs, mines, industries manufacturières et bâtiment
C000197_fr_000	Superviseurs, mines
C000198_fr_000	Superviseurs, industries manufacturières
C000199_fr_000	Superviseurs, bâtiment
C000200_fr_000	Techniciens, contrôle de processus industriels
C000201_fr_000	Conducteurs d’installations de production d’énergie
C000202_fr_000	Conducteurs d’incinérateurs et d’installations de traitement de l’eau
C000203_fr_000	Conducteurs d’installations de traitement chimique
C000204_fr_000	Conducteurs d’installations de raffinage de pétrole et de gaz naturel
C000205_fr_000	Contrôleurs des processus industriels, métallurgie
C000206_fr_000	Techniciens, contrôle de processus industriels non classés ailleurs
C000207_fr_000	Techniciens et travailleurs assimilés des sciences de la vie
C000208_fr_000	Techniciens des sciences de la vie (à l’exception de la médecine)
C000209_fr_000	Techniciens, agriculture et élevage
C000210_fr_000	Techniciens, sylviculture
C000211_fr_000	Contrôleurs et techniciens des moyens de transport maritime et aérien
C000212_fr_000	Officiers mécaniciens de navires
C000213_fr_000	Officiers de pont et pilotes
C000214_fr_000	Pilotes d’avions et assimilés
C000215_fr_000	Contrôleurs de la circulation aérienne
C000216_fr_000	Techniciens de la sécurité aérienne
C000217_fr_000	Professions intermédiaires de la santé
C000218_fr_000	Techniciens de la médecine et de la pharmacie
C000219_fr_000	Techniciens d’appareils électromédicaux
C000220_fr_000	Techniciens de laboratoire médical
C000221_fr_000	Techniciens et assistants pharmaciens et préparateurs en pharmacie
C000222_fr_000	Techniciens de prothèses médicales et dentaires
C000223_fr_000	Personnel infirmier et sages femmes (niveau intermédiaire)
C000224_fr_000	Personnel infirmier (niveau intermédiaire)
C000225_fr_000	Sages-femmes (niveau intermédiaire)
C000226_fr_000	Praticiens des médecines traditionnelles et des médecines complémentaires
C000227_fr_000	Praticiens des médecines traditionnelles et des médecines complémentaires
C000228_fr_000	Techniciens et assistants vétérinaires
C000229_fr_000	Techniciens et assistants vétérinaires
C000230_fr_000	Autres professions intermédiaires de la santé
C000231_fr_000	Assistants et thérapeutes en médecine dentaire
C000232_fr_000	Techniciens de dossiers médicaux
C000233_fr_000	Agents de santé communautaire
C000234_fr_000	Opticiens
C000235_fr_000	Techniciens et assistants en physiothérapie
C000236_fr_000	Assistants médicaux
C000237_fr_000	Inspecteurs, salubrité de l’environnement et de la santé au travail, et assimilés
C000238_fr_000	Ambulanciers
C000239_fr_000	Professions intermédiaires de la santé non classées ailleurs
C000240_fr_000	Professions intermédiaires, finance et administration
C000241_fr_000	Professions intermédiaires de la finance et des mathématiques
C000242_fr_000	Courtiers en valeurs et cambistes
C000243_fr_000	Responsables des prêts
C000244_fr_000	Professions intermédiaires de la comptabilité
C000245_fr_000	Professions intermédiaires de la statistique, des mathématiques et assimilées
C000246_fr_000	Commissaires-priseurs et autres experts en évaluation
C000247_fr_000	Agents de vente et d’achat, courtiers
C000248_fr_000	Agents d’assurances
C000249_fr_000	Représentants et techniciens commerciaux
C000250_fr_000	Acheteurs
C000251_fr_000	Courtiers en marchandises
C000252_fr_000	Agents de services commerciaux
C000253_fr_000	Agents concessionnaires
C000254_fr_000	Organisateurs de conférences et d’événements
C000255_fr_000	Agents d’emploi et de recrutement de main-d’œuvre
C000256_fr_000	Agents immobiliers
C000257_fr_000	Agents de services commerciaux non classés ailleurs
C000258_fr_000	Secrétaires d’administration et secrétaires spécialisés
C000259_fr_000	Superviseurs, travail de bureau
C000260_fr_000	Secrétaires, services juridiques
C000261_fr_000	Secrétaires d’administration et secrétaires exécutifs
C000262_fr_000	Secrétaires médicales/médicaux
C000263_fr_000	Professions intermédiaires de l’application de la loi et assimilées
C000264_fr_000	Inspecteurs des douanes et des frontières
C000265_fr_000	Contrôleurs des impôts
C000266_fr_000	Agents des services publics accordant des prestations sociales
C000267_fr_000	Agents des services publics accordant des permis et des licences
C000268_fr_000	Inspecteurs et enquêteurs de police
C000269_fr_000	Professions intermédiaires de l’application de la loi et assimilées non classées ailleurs
C000270_fr_000	Professions intermédiaires des services juridiques, des services sociaux et assimilés
C000271_fr_000	Professions intermédiaires des services juridiques, des services sociaux et des religions
C000272_fr_000	Professions juridiques intermédiaires et assimilées
C000273_fr_000	Professions intermédiaires du travail social
C000274_fr_000	Professions intermédiaires des religions
C000275_fr_000	Travailleurs du secteur des sports et des activités de remise en forme
C000276_fr_000	Athlètes et sportifs de compétition
C000277_fr_000	Entraîneurs sportifs et arbitres de sport
C000278_fr_000	Instructeurs et animateurs de programmes, loisirs et activités de remise en forme
C000279_fr_000	Professions intermédiaires de la culture, de la création artistique et des activités culinaires
C000280_fr_000	Photographes
C000281_fr_000	Décorateurs et designers d’intérieurs
C000282_fr_000	Techniciens de galeries d’art, de musées et de bibliothèques
C000283_fr_000	Chefs cuisiniers
C000284_fr_000	Autres professions intermédiaires de la culture et de la création artistique
C000285_fr_000	Techniciens de l’information et des communications
C000286_fr_000	Techniciens, opérations et soutien aux utilisateurs des technologies de l’information et des communications
C000287_fr_000	Techniciens des technologies de l’information et des communications, opérations
C000288_fr_000	Techniciens des technologies de l’information et des communications, soutien aux utilisateurs
C000289_fr_000	Techniciens, réseaux et systèmes d’ordinateurs
C000290_fr_000	Techniciens de l’internet
C000291_fr_000	Techniciens des télécommunications et de la radiodiffusion
C000292_fr_000	Techniciens de radiotélévision et d’enregistrement audiovisuel
C000293_fr_000	Techniciens de télécommunications
C000294_fr_000	Employés de type administratif
C000295_fr_000	Employés de bureau
C000296_fr_000	Employés de bureau, fonctions générales
C000297_fr_000	Employés de bureau, fonctions générales
C000298_fr_000	Secrétaires (fonctions générales)
C000299_fr_000	Secrétaires (fonctions générales)
C000300_fr_000	Opérateurs sur clavier
C000301_fr_000	Dactylographes et opérateurs de traitement de texte
C000302_fr_000	Opérateurs sur clavier numérique
C000303_fr_000	Employés de réception, guichetiers et assimilés
C000304_fr_000	Guichetiers, encaisseurs et assimilés
C000305_fr_000	Guichetiers de banque et assimilés
C000306_fr_000	Croupiers et assimilés dans le secteur des jeux de hasard
C000307_fr_000	Prêteurs sur gages et bailleurs de fonds
C000308_fr_000	Encaisseurs et assimilés
C000309_fr_000	Employés chargés d’informer la clientèle
C000310_fr_000	Consultants et employés d’agence de voyages
C000311_fr_000	Employés de centre d'appel
C000312_fr_000	Téléphonistes-standardistes
C000313_fr_000	Réceptionnistes, hôtellerie
C000314_fr_000	Employés, service d’information
C000315_fr_000	Réceptionnistes (fonctions générales)
C000316_fr_000	Intervieweurs, enquêtes et études de marché
C000317_fr_000	Employés chargés d’informer la clientèle non classés ailleurs
C000318_fr_000	Employés des services comptables et d’approvisionnement
C000319_fr_000	Employés des services comptables et financiers
C000320_fr_000	Aides comptables et teneurs de livres
C000321_fr_000	Employés de services statistiques ou financiers
C000322_fr_000	Commis, service de paie
C000323_fr_000	Employés d’approvisionnement, d’ordonnancement et des transports
C000324_fr_000	Employés du service des stocks
C000325_fr_000	Employés du service d’ordonnancement de la production
C000326_fr_000	Employés du service des transports
C000327_fr_000	Autres employés de type administratif
C000328_fr_000	Autres employés de type administratif
C000329_fr_000	Employés de bibliothèque
C000330_fr_000	Employés de service du courrier
C000331_fr_000	Codeurs, correcteurs d’épreuves et assimilés
C000332_fr_000	Écrivains publics et assimilés
C000333_fr_000	Classeurs-archivistes
C000334_fr_000	Employés, service du personnel
C000335_fr_000	Employés administratifs non classés ailleurs
C000336_fr_000	Personnel des services directs aux particuliers, commerçants et vendeurs
C000337_fr_000	Personnel des services directs aux particuliers
C000338_fr_000	Agents d’accompagnement et assimilés (transports et tourisme)
C000339_fr_000	Agents d’accueil et stewards
C000340_fr_000	Contrôleurs et receveurs de transports publics
C000341_fr_000	Guides
C000342_fr_000	Cuisiniers
C000343_fr_000	Cuisiniers
C000344_fr_000	Serveurs et barmen
C000345_fr_000	Serveurs
C000346_fr_000	Barmen
C000347_fr_000	Coiffeurs, esthéticiens et assimilés
C000348_fr_000	Coiffeurs
C000349_fr_000	Esthéticiens et assimilés
C000350_fr_000	Intendants, gouvernantes et concierges
C000351_fr_000	Intendants et superviseurs des services de nettoyage de bureaux, des hôtels et d’autres établissements
C000352_fr_000	Gouvernantes et intendants à domicile
C000353_fr_000	Concierges
C000354_fr_000	Autre personnel des services directs aux particuliers
C000355_fr_000	Astrologues, diseurs de bonne aventure et assimilés
C000356_fr_000	Personnel de compagnie et valets de chambre
C000357_fr_000	Agents de pompes funèbres et embaumeurs
C000358_fr_000	Toiletteurs et gardiens d’animaux
C000359_fr_000	Moniteurs d’auto-école
C000360_fr_000	Personnel des services directs aux particuliers, non classé ailleurs
C000361_fr_000	Commerçants et vendeurs
C000362_fr_000	Vendeurs sur les marchés et vendeurs ambulants de comestibles
C000363_fr_000	Vendeurs à l’étal et sur les marchés
C000364_fr_000	Vendeurs ambulants de comestibles
C000365_fr_000	Commerçants et vendeurs, magasins
C000366_fr_000	Commerçants, magasins
C000367_fr_000	Superviseurs, magasins
C000368_fr_000	Vendeurs, magasin
C000369_fr_000	Caissiers et billettistes
C000370_fr_000	Caissiers et billettistes
C000371_fr_000	Autres vendeurs
C000372_fr_000	Mannequins et autres modèles
C000373_fr_000	Démonstrateurs en magasin
C000374_fr_000	Vendeurs au porte-à-porte
C000375_fr_000	Télévendeurs
C000376_fr_000	Pompistes
C000377_fr_000	Commis au comptoir, restauration rapide
C000378_fr_000	Vendeurs non classés ailleurs
C000379_fr_000	Personnel soignant
C000380_fr_000	Gardes d'enfants et aides-enseignants
C000381_fr_000	Gardes d’enfants
C000382_fr_000	Aides-enseignants
C000383_fr_000	Aides-soignants
C000384_fr_000	Aides-soignants en institution
C000385_fr_000	Aides-soignants à domicile
C000386_fr_000	Personnel soignant et assimilé, non classé ailleurs
C000387_fr_000	Personnel des services de protection et de sécurité
C000388_fr_000	Personnel des services de protection et de sécurité
C000389_fr_000	Pompiers
C000390_fr_000	Agents de police
C000391_fr_000	Gardiens de prison
C000392_fr_000	Agents de sécurité
C000393_fr_000	Personnel des services de protection et de sécurité, non classé ailleurs
C000394_fr_000	Agriculteurs et ouvriers qualifiés de l’agriculture, de la sylviculture et de la pêche
C000395_fr_000	Agriculteurs et ouvriers qualifiés de l’agriculture commerciale
C000396_fr_000	Agriculteurs et ouvriers qualifiés, cultures commerciales
C000397_fr_000	Agriculteurs et ouvriers qualifiés, cultures de plein champ
C000398_fr_000	Arboriculteurs et ouvriers qualifiés de l’arboriculture
C000399_fr_000	Agriculteurs et ouvriers qualifiés de l’horticulture et des pépinières
C000400_fr_000	Agriculteurs et ouvriers qualifiés, cultures diversifiées
C000401_fr_000	Éleveurs et ouvriers qualifiés de l’élevage commercial et assimilés
C000402_fr_000	Éleveurs et ouvriers qualifiés de l’élevage de bétail
C000403_fr_000	Aviculteurs et ouvriers qualifiés de l’aviculture
C000404_fr_000	Apiculteurs, sériciculteurs et ouvriers qualifiés de l’apiculture et de la sériciculture
C000405_fr_000	Éleveurs et ouvriers qualifiés de l’élevage commercial et assimilés, non classés ailleurs
C000406_fr_000	Agriculteurs et ouvriers qualifiés des cultures et de l’élevage à but commercial
C000407_fr_000	Agriculteurs et ouvriers qualifiés des cultures et de l’élevage à but commercial
C000408_fr_000	Professions commerciales qualifiées de la sylviculture, de la pêche et de la chasse
C000409_fr_000	Professions de la sylviculture et assimilées
C000410_fr_000	Exploitants et ouvriers forestiers
C000411_fr_000	Pêcheurs, chasseurs et trappeurs
C000412_fr_000	Aquaculteurs et ouvriers de l’aquaculture
C000413_fr_000	Pêcheurs de la pêche côtière et en eaux intérieures
C000414_fr_000	Pêcheurs de la pêche en haute mer
C000415_fr_000	Chasseurs et trappeurs
C000416_fr_000	Agriculteurs, pêcheurs, chasseurs et cueilleurs de subsistance
C000417_fr_000	Agriculteurs, subsistance
C000418_fr_000	Agriculteurs, subsistance
C000419_fr_000	Éleveurs de bétail, subsistance
C000420_fr_000	Éleveurs de bétail, subsistance
C000421_fr_000	Agriculteurs et éleveurs, subsistance
C000422_fr_000	Agriculteurs et éleveurs, subsistance
C000423_fr_000	Pêcheurs, chasseurs, trappeurs et cueilleurs, subsistance
C000424_fr_000	Pêcheurs, chasseurs, trappeurs et cueilleurs, subsistance
C000425_fr_000	Métiers qualifiés de l’industrie et de l’artisanat
C000426_fr_000	Métiers qualifiés du bâtiment et assimilés, sauf électriciens
C000427_fr_000	Métiers qualifiés du bâtiment (gros œuvre) et assimilés
C000428_fr_000	Constructeurs de maisons
C000429_fr_000	Maçons
C000430_fr_000	Fendeurs et tailleurs de pierre
C000431_fr_000	Constructeurs en béton armé, maçons ragréeurs et assimilés
C000432_fr_000	Charpentiers en bois et menuisiers du bâtiment
C000433_fr_000	Métiers qualifiés du bâtiment (gros œuvre) et assimilés non classés ailleurs
C000434_fr_000	Métiers qualifiés du bâtiment (finitions) et assimilés
C000435_fr_000	Couvreurs et zingueurs
C000436_fr_000	Poseurs de revêtements de sol et carreleurs
C000437_fr_000	Plâtriers
C000438_fr_000	Monteurs en isolation thermique et acoustique
C000439_fr_000	Vitriers
C000440_fr_000	Plombiers et tuyauteurs
C000441_fr_000	Mécaniciens-installateurs réfrigération et climatisation
C000442_fr_000	Ouvriers peintres, ravaleurs de façades et assimilés
C000443_fr_000	Peintres en bâtiment et poseurs de papiers peints
C000444_fr_000	Laqueurs, vernisseurs et assimilés
C000445_fr_000	Ravaleurs de façades et ramoneurs
C000446_fr_000	Métiers qualifiés de la métallurgie, de la construction mécanique et assimilés
C000447_fr_000	Mouleurs de fonderie, soudeurs, tôliers-chaudronniers, monteurs de charpentes métalliques et assimilés
C000448_fr_000	Mouleurs et noyauteurs de fonderie
C000449_fr_000	Soudeurs et oxycoupeurs
C000450_fr_000	Tôliers-chaudronniers
C000451_fr_000	Charpentiers métalliers et monteurs de charpentes métalliques
C000452_fr_000	Gréeurs et épisseurs de câbles
C000453_fr_000	Forgerons, outilleurs et assimilés
C000454_fr_000	Forgerons, estampeurs et conducteurs de presses à forger
C000455_fr_000	Outilleurs et assimilés
C000456_fr_000	Régleurs et conducteurs de machines-outils
C000457_fr_000	Meuleurs, polisseurs et affûteurs
C000458_fr_000	Mécaniciens et réparateurs de machines
C000459_fr_000	Mécaniciens et réparateurs de véhicules à moteur
C000460_fr_000	Mécaniciens et réparateurs de moteurs d’avion
C000461_fr_000	Mécaniciens et réparateurs de machines agricoles et industrielles
C000462_fr_000	Réparateurs de bicyclettes et assimilés
C000463_fr_000	Métiers qualifiés de l’artisanat et de l’imprimerie
C000464_fr_000	Métiers de l’artisanat
C000465_fr_000	Mécaniciens-réparateurs d’instruments de précision
C000466_fr_000	Facteurs et accordeurs d’instruments de musique
C000467_fr_000	Joailliers et orfèvres
C000468_fr_000	Potiers et assimilés (produits céramiques et abrasifs)
C000469_fr_000	Souffleurs, mouleurs, tailleurs, meuleurs et polisseurs de verre
C000470_fr_000	Peintres d’enseignes, peintres-décorateurs et graveurs
C000471_fr_000	Métiers de l’artisanat sur bois et sur des matériaux similaires
C000472_fr_000	Métiers de l’artisanat sur textile, sur cuir et sur des matériaux similaires
C000473_fr_000	Métiers de l’artisanat non classés ailleurs
C000474_fr_000	Métiers de l’imprimerie
C000475_fr_000	Compositeurs et préparateurs en forme imprimante et assimilés
C000476_fr_000	Imprimeurs
C000477_fr_000	Relieurs et assimilés
C000478_fr_000	Métiers de l’électricité et de l’électrotechnique
C000479_fr_000	Installateurs et réparateurs, équipements électriques
C000480_fr_000	Électriciens du bâtiment et assimilés
C000481_fr_000	Mécaniciens et ajusteurs d’appareils électriques
C000482_fr_000	Monteurs et réparateurs de lignes électriques
C000483_fr_000	Monteurs et réparateurs, électronique et télécommunications
C000484_fr_000	Mécaniciens et réparateurs d'appareils électroniques
C000485_fr_000	Monteurs et réparateurs, technologies de l’information et des communications
C000486_fr_000	Métiers de l’alimentation, du travail sur bois, de l’habillement et autres métiers qualifiés de l’industrie et de l’artisanat
C000487_fr_000	Métiers qualifiés de l’alimentation et assimilés
C000488_fr_000	Bouchers, poissonniers et assimilés
C000489_fr_000	Boulangers, pâtissiers et confiseurs
C000490_fr_000	Fabricants des produits laitiers
C000491_fr_000	Conserveurs de fruits, de légumes et assimilés
C000492_fr_000	Dégustateurs et classeurs de denrées alimentaires et de boissons
C000493_fr_000	Métiers qualifiés de la préparation du tabac et de la fabrication des produits du tabac
C000494_fr_000	Métiers qualifiés du traitement du bois, ébénistes et assimilés
C000495_fr_000	Métiers qualifiés du traitement du bois
C000496_fr_000	Ébénistes, menuisiers et assimilés
C000497_fr_000	Régleurs et conducteurs de machines à bois
C000498_fr_000	Métiers qualifiés de l’habillement et assimilés
C000499_fr_000	Tailleurs, couturiers, fourreurs, modistes et chapeliers
C000500_fr_000	Métiers qualifiés de la coupe de vêtements et assimilés
C000501_fr_000	Couseurs, brodeurs et assimilés
C000502_fr_000	Tapissiers et assimilés
C000503_fr_000	Tanneurs, peaussiers et mégissiers
C000504_fr_000	Cordonniers et assimilés
C000505_fr_000	Autres métiers qualifiés de l’industrie et de l’artisanat
C000506_fr_000	Scaphandriers et plongeurs
C000507_fr_000	Boutefeux
C000508_fr_000	Classeurs et essayeurs de produits (à l’exception des aliments et des boissons)
C000509_fr_000	Fumigateurs et préposés au contrôle de la vermine et des mauvaises herbes
C000510_fr_000	Métiers qualifiés de l’industrie et de l’artisanat non classés ailleurs
C000511_fr_000	Conducteurs d’installations et de machines, et ouvriers de l’assemblage
C000512_fr_000	Conducteurs de machines et d’installations fixes
C000513_fr_000	Conducteurs d’installations d’exploitation minière et d’extraction des minéraux
C000514_fr_000	Mineurs et conducteurs d’installations de mine
C000515_fr_000	Conducteurs d’installations de préparation des minerais et de la roche
C000516_fr_000	Foreurs, sondeurs de puits et assimilés
C000517_fr_000	Conducteurs de machines à fabriquer du ciment, de la pierre et d’autres produits minéraux
