Q000001	Кметски наместник, община
Q000260	Директор дирекция, администрация на Президента
Q000261	Директор дирекция, Сметна палата
Q000262	Директор, областна администрация
Q000263	Директор на юридическо лице по чл. 60 от Закона за администрацията
Q000264	Директор на дирекция в Столична община
Q000265	Директор дирекция, политики и стратегическо планиране
Q000266	Икономически директор
Q000267	Заместник-директор на дирекция, администрация
Q000268	Председател на медицинска комисия, лекар, НОИ
Q000269	Началник отдел, Народно събрание
Q000270	Началник отдел, администрация на Президента
Q000271	Началник отдел, Сметна палата
Q000272	Началник отдел, областна администрация
Q000273	Началник отдел, Столична община
Q000274	Началник сектор, областна администрация
Q000275	Началник сектор, териториално поделение
Q000276	Началник сектор, териториално звено
Q000277	Ръководител инспекторат, администрация
Q000278	Началник управление, Българска народна банка
Q000279	Главен одитор, Българска народна банка
Q000280	Ръководител, вътрешен одит
Q000281	Ръководител вътрешен одит, Сметна палата
Q000282	Ръководител сектор експертиза на работоспособността, лекар
Q000283	Ръководител инспекторат, Столична община
Q000284	Ръководител, отдел по икономически анализи и прогнози
Q000285	Ръководител филиал, териториално поделение на НОИ
Q000286	Инспектор в инспектората към министъра на правосъдието
Q000287	Разследващ митнически инспектор
Q000288	Член на Медицинска комисия, лекар, НОИ
Q000289	Ръководител на специализирано звено за разследване
Q000290	Член, Надзорен съвет на агенция
Q000291	Член, Сметна палата
Q000292	Член, държавна комисия
Q000293	Ръководител, отдел в битовото обслужване
Q000294	Ръководител, отдел в чистотата
Q000295	Мениджър, инфраструктура и логистика в предприятие
Q000296	Фасилити мениджър
Q000297	Ръководител, клиентски център
Q000298	Главен директор, банка
Q000299	Директор дирекция, банка
Q000300	Началник управление, банка
Q000301	Ръководител регионално звено
Q000302	Управител, бизнес услуги
Q000303	Управител, чистота
Q000304	Ръководител, отдел в бизнес услугите
Q000305	Ръководител/началник, административен отдел
Q000306	Ръководител/Началник служба
Q000307	Ръководител/Началник/Мениджър отдел
Q000308	Ръководител интегрирана система за управление
Q000309	Началник, административна служба
Q000310	Управител, продажби и маркетинг
Q000311	Мениджър покупки/продажби
Q000312	Маркетинг мениджър/Директор маркетинг
Q000313	Мениджър проучване на пазари
Q000314	Ръководител, външнотърговска кантора
Q000315	Мениджър на търговската марка/Бранд мениджър
Q000316	Търговски директор
Q000317	Ръководител звено, връзки с обществеността
Q000318	Ръководител звено, реклама
Q000319	Мениджър, връзки с обществеността
Q000320	Мениджър, реклама
Q000321	Управител, реклама и връзки с обществеността
Q000322	Завеждащ научна лаборатория
Q000323	Председател, Българска академия на науките
Q000324	Заместник-председател, Българска академия на науките
Q000325	Директор, институт
Q000326	Заместник-директор, институт
Q000327	Главен научен секретар
Q000328	Ръководител звено, изследване и развитие
Q000329	Главен конструктор
Q000330	Ръководител на научна група в музей/художествена галерия
Q000331	Ръководител участък, горско стопанство (лесничейство)
Q000332	Ръководител участък, земеделие
Q000333	Ръководител, земеделие
Q000334	Управител, преработваща промишленост
Q000335	Началник, цех
Q000336	Ръководител, лаборатория в предприятие
Q000337	Главен корабостроител
Q000338	Директор, производство
Q000339	Технически директор
Q000340	Ръководител, пречиствателна станция
Q000341	Главен метролог
Q000342	Ръководител, инсталация
Q000343	Ръководител, резервоарен парк
Q000344	Заместник-ръководител, обособено производство
Q000345	Ръководител, обособено производство
Q000346	Ръководител сектор/звено в промишлеността
Q000347	Директор дирекция, преработваща промишленост
Q000348	Ръководител, инфраструктура и поддръжка
Q000349	Квалифицирано лице, фармацевтично производство
Q000350	Мениджър, производство
Q000351	Главен инженер, преработваща промишленост
Q000352	Началник производство
Q000353	Ръководител, структурно звено/ядрен енергиен блок
Q000354	Ръководител, структурно звено/ядрена електроцентрала
Q000355	Главен технолог, ядрен енергиен блок
Q000356	Главен технолог, ядрена централа
Q000357	Главен технолог, преработваща промишленост
Q000358	Главен механик
Q000359	Ръководител производство, лекарствени продукти
Q000360	Управител, добивна промишленост
Q000361	Ръководител група, добивна промишленост
Q000362	Ръководител участък, добивна промишленост
Q000363	Началник, рудник
Q000364	Началник, обогатителна фабрика
Q000365	Главен инженер, добивна промишленост
Q000366	Ръководител минноспасителна служба
Q000367	Директор, обогатителен комплекс
Q000368	Директор, рудодобивен комплекс
Q000369	Строителен предприемач
Q000370	Управител , проектиране
Q000371	Управител, строителство
Q000372	Главен инженер, строителство
Q000373	Инженер, строителен надзор
Q000374	Началник, строеж
Q000375	Ръководител, отдел в строителството
Q000376	Мениджър, инвестиционни проекти
Q000377	Началник, строителен обект
Q000378	Ръководител, отдел в проектирането
Q000379	Ръководител, група в строителството
Q000380	Мениджър, логистика
Q000381	Управител, складово стопанство
Q000382	Управител, транспорт
Q000383	Началник участък, свръзки и ел. съоръжения
Q000384	Началник участък, осигурителни инсталации
Q000385	Началник, тягова подстанция в железопътен транспорт
Q000386	Началник, подрайон по контактна железопътна мрежа
Q000387	Началник, участък по поддържане на железния път и съоръженията
Q000388	Началник, автогара
Q000389	Началник, експлоатационно звено в транспорта
Q000390	Началник, превозна служба
Q000391	Началник, вагонно-ревизорски участък
Q000392	Ръководител смяна, транспортно експлоатационно звено
Q000393	Ръководител смяна, ремонтно звено в транспорта
Q000394	Директор, закупуване
Q000395	Началник, железопътна гара
Q000396	Началник, метростанция
Q000397	Заместник-началник, железопътна гара
Q000398	Ръководител група, транспорт
Q000399	Ръководител, транспорт
Q000400	Летец-пилот, директор на дирекция
Q000401	Ръководител автосервиз
Q000402	Началник пристанищен район
Q000403	Ръководител, отдел в транспорта (нефто- и газопроводи)
Q000404	Ръководител, автобаза
Q000405	Главен пилот, директор дирекция
Q000406	Ръководител на район
Q000407	Началник, аерогара
Q000408	Началник, летище
Q000409	Началник, морска гара
Q000410	Началник, речна гара
Q000411	Началник на ремонтно звено, транспорт
Q000412	Главен авиоинженер, директор дирекция
Q000413	Ръководител на организация за поддържане на непрекъсната летателна годност
Q000414	Ръководител, сектор/студиен комплекс - радио и телевизия
Q000415	Ръководител, информационни и комуникационни технологии
Q000416	Директор, детска ясла
Q000417	Управител, лечебно заведение за извънболнична помощ
Q000418	Ръководител, лаборатория
Q000419	Ръководител, служба по трудова медицина
Q000420	Старша медицинска сестра
Q000421	Старши рентгенов лаборант
Q000422	Старши медицински лаборант
Q000423	Главна акушерка
Q000424	Старша акушерка
Q000425	Главен рехабилитатор
Q000426	Старши рехабилитатор
Q000427	Директор/Управител/Ръководител, лечебно заведение
Q000428	Началник клиника
Q000429	Фармацевт-магистър, ръководител на  аптека
Q000430	Ръководител, лекарствена безопасност
Q000431	Ръководител, здравна комуникация и лекарствена информация
Q000432	Ръководител, управление на клинични изпитвания
Q000433	Отговорен магистър-фармацевт, контрол върху наркотичните вещества и прекурсорите
Q000434	Фармацевт-магистър, заместник-ръководител на аптека
Q000435	Лекар, началник на медицински пункт
Q000436	Директор НЕЛК
Q000437	Председател ТЕЛК
Q000438	Председател ДЕЛК
Q000439	Управител, дом за стари хора със здравни грижи
Q000440	Управител, дом за стари хора без здравни грижи
Q000441	Координатор, грижи за възрастни хора в общността
Q000442	Директор, социални услуги в общността
Q000443	Началник, учебен отдел
Q000444	Директор, специализирано обслужващо звено в системата на предучилищното и училищното образование
Q000445	Директор, училище
Q000446	Директор, център за професионално обучение
Q000447	Директор, детска градина
Q000448	Началник, отдел в образованието
Q000449	Ръководител, сектор в образованието
Q000450	Ръководител, учебно-методичен център
Q000451	Директор, професионален колеж
Q000452	Директор на център за продължаващо обучение
Q000453	Директор, департамент
Q000454	Заместник-декан
Q000455	Декан
Q000456	Ръководител, катедра
Q000457	Управител, клон на застрахователна институция
Q000458	Ръководител отдел/сектор, банка/финансова/платежна институция
Q000459	Регионален директор, банка/финансова/платежна институция
Q000460	Директор финансов център, банка/финансова/платежна институция
Q000461	Ръководител офис, банка/финансова/платежна институция
Q000462	Директор, банков клон/клон на финансова/платежна институция
Q000463	Заместник-директор, банков клон/клон на финансова/платежна институция
Q000464	Управител, банков клон/клон на финансова/платежна институция
Q000465	Ръководител служба, банка/финансова/платежна институция
Q000466	Ръководител, банков салон/салон във финансова/платежна инстетуция
Q000467	Ръководител, банково представителство/представителство във финансова/платежна институция
Q000468	Читалищен секретар
Q000469	Издател
Q000470	Директор на детска кухня
Q000471	Директор, библиотека
Q000472	Началник, затвор
Q000473	Началник, поправителен дом
Q000474	Заместник-началник, затвор, режимна и надзорна охранителна дейност
Q000475	Заместник-началник, поправителен дом, режимна и надзорна охранителна дейност
Q000476	Заместник-директор, музей/галерия
Q000477	Началник управление, полиция
Q000478	Директор, дирекция "Правна"
Q000479	Ръководител, лаборатория за консервация и реставрация
Q000480	Ръководител, отдел в музей/галерия
Q000481	Директор на комплекс за детско хранене
Q000482	Управител, приготвяне и доставяне на храна (кетъринг)
Q000483	Управител, търговия на едро
Q000484	Управител, външна търговия
Q000485	Управител, търговия на дребно
Q000486	Управител, магазин
Q000487	Управител, супермаркет
Q000488	Управител, универсален магазин
Q000489	Ръководител отдел,  складово стопанство
Q000490	Отговорен магистър-фармацевт, ръководител на склад за търговия на едро с лекарствени продукти
Q000491	Генерален секретар, спортна организация
Q000492	Директор, кино
Q000493	Управител, отдих/ почивна база
Q000494	Управител, казино
Q000495	Управител, бинго зала
Q000496	Управител, зала игрални автомати
Q000497	Управител, развлекателни/увеселителни паркове
Q000498	Ръководител, отдел в културните дейности
Q000499	Ръководител отдел, отдих
Q000500	Ръководител отдел, спортни дейности
Q000501	Директор на районна дирекция "Български спортен тотализатор"
Q000502	Управител културни дейности
Q000503	Управител, спа център
Q000504	Управител, уелнес център
Q000505	Управител, таласо център
Q000506	Главен секретар, Народен театър
Q000507	Главен секретар, спортна организация
Q000508	Директор, театър
Q000509	Заместник-директор, институт/организация за културни дейности
Q000510	Заместник-председател, спортен клуб
Q000511	Заместник-председател, спортна организация
Q000512	Заместник-председател, дружество за физкултура и спорт
Q000513	Заместник-директор, театър
Q000514	Председател, спортна организация
Q000515	Председател, дружество за физкултура и спорт
Q000516	Управител, къмпинг
Q000517	Управител, хижа
Q000518	Ръководител, контактен център
Q000519	Ръководител, конферентен център
Q000520	Ръководител, техническа поддръжка
Q000521	Ръководител, база
Q000522	Директор на дирекция "Обработка на тиражите"
Q000523	Риск мениджър
Q000524	Физик, медицинска радиологична физика
Q000525	Физик, медицинска санитарна физика
Q000526	Физик, радиационна хигиена
Q000527	Физик, радиобиология
Q000528	Физик, биофизика
Q000529	Аеродинамик
Q000530	Астроном
Q000531	Астрофизик
Q000532	Радиоастроном
Q000533	Физик
Q000534	Физик, акустик
Q000535	Физик, атомна физика
Q000536	Физик, балистик
Q000537	Физик, електричество и магнетизъм
Q000538	Физик, електроник
Q000539	Физик, механика
Q000540	Физик, молекулярна физика
Q000541	Физик, оптика
Q000542	Физик, термодинамика
Q000543	Физик, топлофизика
Q000544	Физик, физика на елементарните частици
Q000545	Физик, физика на полупроводниците
Q000546	Физик, физика на твърдото тяло
Q000547	Авиометеоролог
Q000548	Климатолог
Q000549	Метеоролог
Q000550	Прогнозист на време
Q000551	Химик
Q000552	Химик-аналитик
Q000553	Химик, детергенти
Q000554	Химик, корозия
Q000555	Химик, кристалография
Q000556	Химик, металургичен
Q000557	Химик, молекулярен
Q000558	Химик, неорганична химия
Q000559	Химик, обработка на кожи
Q000560	Химик, обработка на светлочувствителни материали
Q000561	Химик, органична химия
Q000562	Химик, петролен
Q000563	Химик, пластмаса
Q000564	Химик, полимери
Q000565	Химик, производство на бои и лакове
Q000566	Химик, производство на гума и гумени изделия
Q000567	Химик, производство на хранителни продукти и напитки
Q000568	Химик, стъкло
Q000569	Химик, текстил
Q000570	Химик, физикохимия
Q000571	Химик, контрол на качеството
Q000572	Химик, анализ на лекарствените продукти
Q000573	Химик, клинична химия
Q000574	Химик, радиационна хигиена
Q000575	Химик, радиобиология
Q000576	Химик, санитарна химия
Q000577	Химик, медицинска химия
Q000578	Химик, токсикология
Q000579	Химик, организация и икономика на фармацевтичното производство
Q000580	Вулканолог
Q000581	Геолог
Q000582	Геолог, океанография
Q000583	Геолог, палеонтолог
Q000584	Геолог, стратиграф
Q000585	Геолог, инженерна геология
Q000586	Геолог, микропалеонтолог
Q000587	Геолог, минен
Q000588	Геолог, петрологография и вулканология
Q000589	Геолог, търсене и проучване на нефтени и газови находища
Q000590	Геомагнетист
Q000591	Геоморфолог
Q000592	Геофизик
Q000593	Геофизик, вулканолог
Q000594	Геофизик, геомагнетист
Q000595	Геофизик, геоморфолог
Q000596	Геофизик, ледолог (гласиолог)
Q000597	Геофизик, океанограф
Q000598	Геофизик, приложна геофизика
Q000599	Геофизик, хидролог
Q000600	Ледолог (гласиолог)
Q000601	Микропалеонтолог
Q000602	Минералог
Q000603	Океанограф, геолог
Q000604	Океанограф, геофизик
Q000605	Палеонтолог
Q000606	Петролог
Q000607	Сеизмолог
Q000608	Стратиграф
Q000609	Хидроакустик
Q000610	Хидрогеолог
Q000611	Хидролог
Q000612	Актюер
Q000613	Математик
Q000614	Биометрик
Q000615	Демограф
Q000616	Статистик
Q000617	Статистик, икономическа статистика
Q000618	Статистик, математическа статистика
Q000619	Специалист по мониторинг на клинични изпитвания
