C000001_bg_000	Професии във въоръжените сили
C000051_bg_000	Управители на хотели
C000052_bg_000	Управители на ресторанти
C000053_bg_000	Ръководители в търговията на едро и дребно
C000054_bg_000	Ръководители в търговията на едро и дребно
C000055_bg_000	Ръководители на други услуги
C000056_bg_000	Ръководители на спортни центрове, центрове за отдих и културни центрове
C000057_bg_000	Ръководители на други услуги, некласифицирани другаде
C000058_bg_000	Специалисти
C000059_bg_000	Специалисти по природни и технически науки
C000060_bg_000	Специалисти по физически и химически науки и науки за земята
C000061_bg_000	Физици и астрономи
C000062_bg_000	Метеоролози
C000063_bg_000	Химици
C000064_bg_000	Геолози и геофизици
C000065_bg_000	Математици, актюери и статистици
C000066_bg_000	Математици, актюери и статистици
C000067_bg_000	Специалисти по естествени науки
C000068_bg_000	Биолози, ботаници, зоолози и сродни на тях
C000069_bg_000	Специалисти в селското, горското и рибното стопанство
C000070_bg_000	Специалисти по опазване на околната среда
C000071_bg_000	Специалисти по технически науки (без инженери по електротехнологии)
C000072_bg_000	Инженери специалисти по управление на преработвателни и производствени инсталации
C000073_bg_000	Строителни инженери
C000074_bg_000	Инженер-еколози
C000075_bg_000	Машинни инженери
C000076_bg_000	Инженер-химици
C000077_bg_000	Минни инженери, инженер-металурзи и сродни на тях
C000078_bg_000	Специалисти по технически науки, некласифицирани другаде
C000079_bg_000	Инженери по електротехнологии
C000080_bg_000	Електроинженери
C000081_bg_000	Инженери по електроника
C000082_bg_000	Инженери по телекомуникационни технологии
C000083_bg_000	Архитекти, проектанти, земемери и дизайнери
C000084_bg_000	Архитекти
C000085_bg_000	Ландшафтни архитекти
C000086_bg_000	Дизайнери на облекло и промишлени продукти
C000087_bg_000	Урбанисти
C000088_bg_000	Картографи и земемери
C000089_bg_000	Графични и мултимедийни дизайнери
C000090_bg_000	Здравни специалисти
C000091_bg_000	Лекари
C000092_bg_000	Общопрактикуващи лекари
C000093_bg_000	Лекари специалисти
C000094_bg_000	Медицински сестри и акушери
C000095_bg_000	Медицински сестри
C000096_bg_000	Акушери
C000097_bg_000	Специалисти в областта на традиционната и комплементарната медицина
C000098_bg_000	Специалисти в областта на традиционната и комплементарната медицина
C000099_bg_000	Парамедицински специалисти
C000100_bg_000	Парамедицински специалисти
C000101_bg_000	Ветеринари
C000102_bg_000	Ветеринари
C000103_bg_000	Други здравни специалисти
C000104_bg_000	Лекари по дентална медицина
C000105_bg_000	Фармацевти
C000106_bg_000	Специалисти в областта на медицинската екология, хигиената и здравословните условия на труд
C000107_bg_000	Физиотерапевти
C000108_bg_000	Диетолози и специалисти по хранене
C000109_bg_000	Аудиолози и логопеди
C000110_bg_000	Оптометристи и оптици
C000111_bg_000	Други здравни специалисти, некласифицирани другаде
C000112_bg_000	Преподаватели
C000113_bg_000	Преподаватели в университети, колежи и други висши училища
C000114_bg_000	Преподаватели в университети, колежи и други висши училища
C000115_bg_000	Учители в системата за професионално образование и обучение
C000116_bg_000	Учители в системата за професионално образование и обучение
C000117_bg_000	Учители в средни училища
C000118_bg_000	Учители в средни училища
C000119_bg_000	Учители в детски градини, в начални и основни училища
C000120_bg_000	Учители в начални училища
C000121_bg_000	Учители в детски градини
C000122_bg_000	Друг педагогически персонал
C000123_bg_000	Специалисти по образователни методи
C000124_bg_000	Учители за лица със специални образователни потребности
C000125_bg_000	Други учители по чужди езици
C000126_bg_000	Други учители по музика
C000127_bg_000	Други учители по изкуства
C000128_bg_000	Други преподаватели по информационни технологии
C000129_bg_000	Друг педагогически персонал, некласифициран другаде
C000130_bg_000	Стопански и административни специалисти
C000131_bg_000	Финансови специалисти
C000132_bg_000	Одитори и счетоводители
C000133_bg_000	Финансови и инвестиционни консултанти
C000134_bg_000	Финансови анализатори
C000135_bg_000	Административни специалисти
C000136_bg_000	Анализатори по управление и организация
C000137_bg_000	Специалисти по управленски политики
C000138_bg_000	Специалисти по управление на персонала и кариерно развитие
C000139_bg_000	Специалисти по обучение и развитие на персонала
C000140_bg_000	Специалисти по продажби, маркетинг и връзки с обществеността
C000141_bg_000	Специалисти по реклама и маркетинг
C000142_bg_000	Специалисти по връзки с обществеността
C000143_bg_000	Специалисти по продажби в областта на медицината и техниката (без информационни и комуникационни технологии)
C000144_bg_000	Специалисти по продажби в областта на информационните и комуникационни технологии
C000145_bg_000	Специалисти по информационни и комуникационни технологии
C000146_bg_000	Разработчици на софтуер и софтуерни приложения и анализатори
C000147_bg_000	Системни анализатори
C000148_bg_000	Софтуерни разработчици
C000149_bg_000	Разработчици на уеб съдържание и мултимедия
C000150_bg_000	Приложни програмисти
C000151_bg_000	Разработчици на софтуер и софтуерни приложения и анализатори, некласифицирани другаде
C000152_bg_000	Специалисти по бази данни и мрежи
C000153_bg_000	Проектанти и администратори на бази данни
C000154_bg_000	Системни администратори
C000155_bg_000	Специалисти по компютърни мрежи
C000156_bg_000	Специалисти по бази данни и мрежи, некласифицирани другаде
C000157_bg_000	Юристи и специалисти по обществени науки и култура
C000158_bg_000	Юристи
C000159_bg_000	Прокурори и адвокати
C000160_bg_000	Съдии
C000161_bg_000	Юристи, некласифицирани другаде
C000162_bg_000	Библиотекари, архивисти и уредници
C000163_bg_000	Архивисти и уредници
C000164_bg_000	Библиотекари и сродни на тях специалисти
C000165_bg_000	Специалисти по обществени науки и религиозни духовници
C000166_bg_000	Икономисти
C000167_bg_000	Социолози, антрополози и сродни на тях
C000168_bg_000	Философи, историци и политолози
C000169_bg_000	Психолози
C000170_bg_000	Специалисти по социална работа и консултиране
C000171_bg_000	Религиозни духовници
C000172_bg_000	Писатели, журналисти и езиковеди
C000173_bg_000	Писатели
C000174_bg_000	Журналисти
C000175_bg_000	Писмени преводачи, устни преводачи и други езиковеди
C000176_bg_000	Творци и изпълнители
C000177_bg_000	Творци в областта на изобразителното изкуство
C000178_bg_000	Музиканти, певци и композитори
C000179_bg_000	Танцьори и хореографи
C000180_bg_000	Филмови и театрални режисьори и продуценти и сродни на тях
C000181_bg_000	Актьори
C000182_bg_000	Радио-, телевизионни и други говорители
C000183_bg_000	Творци и изпълнители, некласифицирани другаде
C000184_bg_000	Техници и приложни специалисти
C000185_bg_000	Приложни специалисти в природните и техническите науки
C000186_bg_000	Приложни специалисти във физическите и техническите науки
C000187_bg_000	Техници в областта на химическите и физическите науки
C000188_bg_000	Строителни техници
C000189_bg_000	Електротехници
C000190_bg_000	Електронни техници
C000191_bg_000	Машинни техници
C000192_bg_000	Химик-технолози
C000193_bg_000	Минни и металургични техници
C000194_bg_000	Чертожници
C000195_bg_000	Приложни специалисти във физическите и техническите науки, некласифицирани другаде
C000196_bg_000	Приложни специалисти с контролни функции в миннодобивната и преработващата промишленост и строителството
C000197_bg_000	Приложни специалисти с контролни функции в миннодобивната промишленост
C000198_bg_000	Приложни специалисти с контролни функции в преработващата промишленост
C000199_bg_000	Приложни специалисти с контролни функции в строителството
C000200_bg_000	Техници по контрол на производствени процеси
C000201_bg_000	Оператори в енергийното производство
C000202_bg_000	Оператори на инсталации за изгаряне на отпадъци и на водопречиствателни станции
C000203_bg_000	Оператори по контрол на процеси в химическото производство
C000204_bg_000	Оператори в заводи за преработване на нефт и природен газ
C000205_bg_000	Оператори по контрол на процеси в металургичното производство
C000206_bg_000	Техници по контрол на производствени процеси, некласифицирани другаде
C000207_bg_000	Природонаучни техници и сродни на тях специалисти
C000208_bg_000	Природонаучни техници (без медицинските)
C000209_bg_000	Агротехници
C000210_bg_000	Техници в горското стопанство
C000211_bg_000	Корабни и авиационни специалисти
C000212_bg_000	Корабни инженери, механици и техници
C000213_bg_000	Корабни палубни офицери и пилоти
C000214_bg_000	Самолетни пилоти и сродни на тях специалисти
C000215_bg_000	Авиационни диспечери
C000216_bg_000	Техници по сигурността на въздушния трафик
C000217_bg_000	Приложни специалисти в здравеопазването
C000218_bg_000	Приложни специалисти в медицината и фармацията
C000219_bg_000	Оператори на медицинска апаратура за образна диагностика и за терапия
C000220_bg_000	Приложни специалисти в медицински и патологични лаборатории
C000221_bg_000	Помощник-фармацевти
C000222_bg_000	Ортопедични техници, зъботехници и сродни на тях
C000223_bg_000	Помощник-медицински сестри и помощник-акушери
C000224_bg_000	Помощник-медицински сестри
C000225_bg_000	Помощник-акушери
C000226_bg_000	Приложни специалисти в областта на традиционната и комплементарната медицина
C000227_bg_000	Приложни специалисти в областта на традиционната и комплементарната медицина
C000228_bg_000	Ветеринарни техници и асистенти
C000229_bg_000	Ветеринарни техници и асистенти
C000230_bg_000	Други приложни специалисти в здравеопазването
C000231_bg_000	Асистенти и терапевти в денталната медицина
C000232_bg_000	Специалисти по медицински досиета и здравна информация
C000233_bg_000	Здравни работници в общности
C000234_bg_000	Оптици техници
C000235_bg_000	Приложни специалисти във физиотерапията
C000236_bg_000	Медицински асистенти
C000237_bg_000	Инспектори по медицинска екология, хигиена и здравословни условия на труд и сродни на тях
C000238_bg_000	Приложни специалисти в оказването на спешна медицинска помощ
C000239_bg_000	Други приложни специалисти в здравеопазването, некласифицирани другаде
C000240_bg_000	Стопански и административни приложни специалисти
C000241_bg_000	Приложни специалисти по финанси и математика
C000242_bg_000	Дилъри на ценни книжа и финансови посредници
C000243_bg_000	Кредитни специалисти
C000244_bg_000	Оперативни счетоводители
C000245_bg_000	Приложни специалисти по статистика, математика и сродни на тях
C000246_bg_000	Оценители на имущество и щети
C000247_bg_000	Посредници в търговията и продажбите
C000248_bg_000	Застрахователни агенти
C000249_bg_000	Търговски представители
C000250_bg_000	Търговски представители по закупуване на стоки
C000251_bg_000	Търговски посредници
C000252_bg_000	Посредници в бизнес услугите
C000253_bg_000	Агенти по спедиция на товари
C000254_bg_000	Организатори на конференции и събития
C000255_bg_000	Трудови посредници
C000256_bg_000	Агенти на недвижими имоти и управление на собственост
C000257_bg_000	Посредници в бизнес услугите, некласифицирани другаде
C000258_bg_000	Административни приложни специалисти
C000259_bg_000	Офис мениджъри
C000260_bg_000	Правни секретари
C000261_bg_000	Административни и изпълнителни секретари
C000262_bg_000	Медицински секретари
C000263_bg_000	Приложни специалисти в държавната администрация
C000264_bg_000	Митнически и гранични инспектори
C000265_bg_000	Служители в държавната администрация, извършващи данъчен и финансов контрол
C000266_bg_000	Служители в държавната администрация по социално подпомагане и социално осигуряване
C000267_bg_000	Служители в държавната администрация, издаващи разрешителни и лицензии
C000268_bg_000	Полицейски инспектори и детективи
C000269_bg_000	Приложни специалисти в държавната администрация, некласифицирани другаде
C000270_bg_000	Приложни специалисти по юридически, социални дейности, културни и религиозни дейности
C000271_bg_000	Приложни специалисти по юридически, социални дейности, културни и религиозни дейности
C000272_bg_000	Приложни специалисти по юридически дейности и сродни на тях
C000273_bg_000	Приложни специалисти по социална работа
C000274_bg_000	Религиозни служители
C000275_bg_000	Спортисти и работещи в областта на спорта
C000276_bg_000	Атлети и състезатели
C000277_bg_000	Спортни треньори, инструктори и сродни на тях
C000278_bg_000	Фитнес инструктори и ръководители на програми за отдих и спорт
C000279_bg_000	Приложни специалисти в областта на изкуствата, културата и кулинарството
C000280_bg_000	Фотографи
C000281_bg_000	Интериорни дизайнери и декоратори
C000282_bg_000	Технически персонал в галерии, музеи и библиотеки
C000283_bg_000	Главни готвачи
C000284_bg_000	Други приложни специалисти в областта на изкуствата и културата
C000285_bg_000	Техници в областта на информационните и комуникационните технологии
C000286_bg_000	Техници в областта на информационните и комуникационните технологии и обслужване на потребители
C000287_bg_000	Оперативни техници в областта на информационните и комуникационните технологии
C000288_bg_000	Техници по обслужване на потребители в областта на информационните и комуникационните технологии
C000289_bg_000	Техници на компютърни мрежи и системи
C000290_bg_000	Уеб техници
C000291_bg_000	Техници по радио-, телевизионна и далекосъобщителна техника
C000292_bg_000	Техници по радио-, телевизионна и аудио-визуална техника
C000293_bg_000	Техници по далекосъобщителна техника
C000294_bg_000	Помощен административен персонал
C000295_bg_000	Общи административни служители и оператори на организационна техника
C000296_bg_000	Общи административни служители
C000297_bg_000	Общи административни служители
C000298_bg_000	Секретари с общи функции
C000299_bg_000	Секретари с общи функции
C000300_bg_000	Оператори на организационна техника
C000301_bg_000	Машинописци и текстообработващи оператори
C000302_bg_000	Оператори по въвеждане на данни
C000303_bg_000	Административен персонал по обслужване на клиенти
C000304_bg_000	Касиери, инкасатори и сродни на тях
C000305_bg_000	Банкови касиери и сродни на тях
C000306_bg_000	Букмейкъри, крупиета и сродни на тях
C000307_bg_000	Комисионери и лихвари
C000308_bg_000	Инкасатори на дългови задължения и сродни на тях
C000309_bg_000	Персонал, информиращ клиенти
C000310_bg_000	Консултанти и служители в пътнически агенции
C000311_bg_000	Оператори в контактни центрове
C000312_bg_000	Телефонисти
C000313_bg_000	Рецепционисти в хотели
C000314_bg_000	Служители, обслужващи запитвания на клиенти
C000315_bg_000	Рецепционисти с общи функции
C000316_bg_000	Анкетьори в изследвания
C000317_bg_000	Персонал, информиращ клиенти, некласифициран другаде
C000318_bg_000	Административен персонал, водещ счетоводни и стокови документи
C000319_bg_000	Персонал, водещ счетоводни сметки и документи
C000320_bg_000	Служители, водещи счетоводни сметки и документи
C000321_bg_000	Служители, водещи статистически, финансови и застрахователни документи
C000322_bg_000	Служители, водещи платежни ведомости
C000323_bg_000	Персонал, водещ стокови и транспортни документи
C000324_bg_000	Персонал, водещ стокови документи
C000325_bg_000	Персонал, водещ документи за производствени материали
C000326_bg_000	Персонал, водещ транспортни документи
C000327_bg_000	Друг помощен административен персонал
C000328_bg_000	Друг помощен административен персонал
C000329_bg_000	Библиотекари
C000330_bg_000	Пощальони и сортировачи
C000331_bg_000	Персонал по кодиране и редактиране на документи
C000332_bg_000	Писари и сродни на тях
C000333_bg_000	Деловодители/архивари
C000334_bg_000	Служители в човешките ресурси
C000335_bg_000	Друг помощен административен персонал, некласифициран другаде
C000336_bg_000	Персонал, зает с услуги за населението, търговията и охраната
C000337_bg_000	Персонал, зает в сферата на персоналните услуги
C000338_bg_000	Обслужващ персонал в транспорта
C000339_bg_000	Персонал, обслужващ пътници и стюарди
C000340_bg_000	Кондуктори
C000341_bg_000	Екскурзоводи
C000342_bg_000	Готвачи
C000343_bg_000	Готвачи
C000344_bg_000	Сервитьори и бармани
C000345_bg_000	Сервитьори
C000346_bg_000	Бармани
C000347_bg_000	Фризьори, козметици и сродни на тях
C000348_bg_000	Фризьори
C000349_bg_000	Козметици и сродни на тях
C000350_bg_000	Домакини и икономи
C000351_bg_000	Отговорници по чистотата и поддръжката на офиси, хотели и други учреждения
C000352_bg_000	Домашни помощници
C000353_bg_000	Домакини на сгради
C000354_bg_000	Друг обслужващ персонал
C000355_bg_000	Астролози, гадатели и сродни на тях
C000356_bg_000	Компаньони и камериери
C000357_bg_000	Обслужващ персонал по траурни обреди и балсаматори
C000358_bg_000	Персонал, грижещ се за животни и домашни любимци
C000359_bg_000	Инструктори по обучение на водачи на моторни превозни средства
C000360_bg_000	Друг обслужващ персонал, некласифициран другаде
C000361_bg_000	Продавачи
C000362_bg_000	Продавачи на пазари и амбулантни търговци
C000363_bg_000	Продавачи на пазари, павилиони и сергии
C000364_bg_000	Амбулантни търговци на храни
C000365_bg_000	Продавачи в магазини
C000366_bg_000	Собственици на малки магазини
C000367_bg_000	Управители на магазини
C000368_bg_000	Продавач-консултанти
C000369_bg_000	Касиери и продавачи на билети
C000370_bg_000	Касиери и продавачи на билети
C000371_bg_000	Друг персонал, зает с търговия
C000372_bg_000	Манекени и други модели
C000373_bg_000	Демонстратори
C000374_bg_000	Продавачи от врата до врата
C000375_bg_000	Продавачи в контактни центрове
C000376_bg_000	Обслужващ персонал на бензиностанции
C000377_bg_000	Обслужващ персонал на хранителни щандове
C000378_bg_000	Друг персонал, зает с търговия, некласифициран другаде
C000379_bg_000	Персонал, полагащ грижи за хора
C000380_bg_000	Персонал, грижещ се за деца и помощници на учители
C000381_bg_000	Персонал, грижещ се за деца
C000382_bg_000	Помощници на учители
C000383_bg_000	Персонал, полагащ здравни грижи за хора
C000384_bg_000	Санитари
C000385_bg_000	Домашни санитари
C000386_bg_000	Персонал, полагащ здравни грижи за хора, некласифициран другаде
C000387_bg_000	Персонал, осигуряващ защита и сигурност
C000388_bg_000	Персонал, осигуряващ защита и сигурност
C000389_bg_000	Огнеборци
C000390_bg_000	Полицаи
C000391_bg_000	Затворнически надзиратели
C000392_bg_000	Охранители
C000393_bg_000	Персонал, осигуряващ защита и сигурност, некласифициран другаде
C000394_bg_000	Квалифицирани работници в селското, горското, ловното и рибното стопанство
C000395_bg_000	Квалифицирани работници в селското стопанство, произвеждащи за пазара
C000396_bg_000	Градинари и растениевъди
C000397_bg_000	Полевъди и зеленчукопроизводители
C000398_bg_000	Лесовъди и работници, отглеждащи трайни насаждения
C000399_bg_000	Градинари, овощари и работници в разсадници
C000400_bg_000	Работници, отглеждащи смесени култури
C000401_bg_000	Животновъди
C000402_bg_000	Животновъди и производители на млечни продукти
C000403_bg_000	Птицевъди
C000404_bg_000	Пчелари и бубари
C000405_bg_000	Животновъди, некласифицирани другаде
C000406_bg_000	Производители на смесена (животновъдна и растениевъдна) продукция
C000407_bg_000	Производители на смесена (животновъдна и растениевъдна) продукция
C000408_bg_000	Квалифицирани работници в горското, рибното и ловното стопанство, произвеждащи за пазара
C000409_bg_000	Горски работници и сродни на тях
C000410_bg_000	Горски работници и сродни на тях
C000411_bg_000	Риболовци, ловци и трапери
C000412_bg_000	Работници, отглеждащи аквакултури
C000413_bg_000	Риболовци във вътрешни и крайбрежни води
C000414_bg_000	Риболовци в дълбоки морски води
C000415_bg_000	Ловци и трапери
C000416_bg_000	Селскостопански работници, риболовци и ловци, произвеждащи за собствено потребление
C000417_bg_000	Растениевъди, произвеждащи за собствено потребление
C000418_bg_000	Растениевъди, произвеждащи за собствено потребление
C000419_bg_000	Животновъди, произвеждащи за собствено потребление
C000420_bg_000	Животновъди, произвеждащи за собствено потребление
C000421_bg_000	Селскостопански работници, отглеждащи растения и животни за собствено потребление
C000422_bg_000	Селскостопански работници, отглеждащи растения и животни за собствено потребление
C000423_bg_000	Риболовци, ловци, трапери и берачи, произвеждащи за собствено потребление
C000424_bg_000	Риболовци, ловци, трапери и берачи, произвеждащи за собствено потребление
C000425_bg_000	Квалифицирани работници и сродни на тях занаятчии
C000426_bg_000	Строителни работници и сродни на тях, без електротехници
C000427_bg_000	Строители на сгради и сродни на тях
C000428_bg_000	Строители
C000429_bg_000	Зидари и сродни на тях
C000430_bg_000	Каменоделци, каменоцепачи, каменорезачи и каменодълбачи
C000431_bg_000	Бетонджии, кофражисти и сродни на тях
C000432_bg_000	Дърводелци и дограмаджии
C000433_bg_000	Строители на сгради и сродни на тях, некласифицирани другаде
C000434_bg_000	Работници по довършителни работи в строителството и сродни на тях
C000435_bg_000	Работници по изграждане и ремонт на покриви
C000436_bg_000	Работници по поставяне на подови настилки и облицовки
C000437_bg_000	Гипсаджии
C000438_bg_000	Работници по изолации
C000439_bg_000	Работници по стъклопоставяне
C000440_bg_000	Водопроводчици и тръбопроводчици
C000441_bg_000	Механици на климатични и охладителни инсталации
C000442_bg_000	Бояджии, чистачи на фасади и сродни на тях
C000443_bg_000	Бояджии
C000444_bg_000	Бояджии с лакови бои и сродни на тях
C000445_bg_000	Чистачи на фасади и коминочистачи
C000446_bg_000	Металурзи, машиностроители и сродни на тях работници и занаятчии
C000447_bg_000	Леяри, заварчици, тенекеджии, монтажници на метални конструкции и сродни на тях
C000448_bg_000	Металурзи, леяри на метали, сърцари и сродни на тях
C000449_bg_000	Заварчици и резачи на метал
C000450_bg_000	Тенекеджии
C000451_bg_000	Изготвители и монтажници на метални конструкции
C000452_bg_000	Производители и монтажници на кабели и въжета
C000453_bg_000	Ковачи, производители на инструменти и сродни на тях
C000454_bg_000	Ковачи с чукове и преси
C000455_bg_000	Производители на инструменти и сродни на тях
C000456_bg_000	Настройчици и оператори на металообработващи машини
C000457_bg_000	Полировачи, шлифовчици на метали и точилари на инструменти
C000458_bg_000	Машинни механици и монтьори
C000459_bg_000	Механици и монтьори на моторни превозни средства
C000460_bg_000	Механици и монтьори на самолетни двигатели
C000461_bg_000	Механици и монтьори на промишлени и селскостопански машини и оборудване
C000462_bg_000	Монтьори на велосипеди и сродни на тях
C000463_bg_000	Занаятчии и печатари
C000464_bg_000	Занаятчии
C000465_bg_000	Работници по производство и ремонт на прецизни инструменти
C000466_bg_000	Производители и акордьори на музикални инструменти
C000467_bg_000	Бижутери и работници по обработка на скъпоценни камъни
C000468_bg_000	Грънчари и сродни на тях
C000469_bg_000	Производители, резачи, шлифовчици и работници по допълнителна обработка на стъкло
C000470_bg_000	Рисувачи на табели, художник-декоратори, гравьори и офортисти
C000471_bg_000	Майстори занаятчии на изделия от дърво и сродни материали
C000472_bg_000	Майстори занаятчии на изделия от текстил, кожа и сродни материали
C000473_bg_000	Други занаятчии, некласифицирани другаде
C000474_bg_000	Печатари и сродни на тях
C000475_bg_000	Техници в предпечатната подготовка
C000476_bg_000	Печатари
C000477_bg_000	Оформители и книговезци
C000478_bg_000	Работници по инсталиране и ремонт на електрически и електронни съоръжения
C000479_bg_000	Работници по инсталиране и ремонт на електрически съоръжения
C000480_bg_000	Строителни електротехници и сродни на тях
C000481_bg_000	Електромеханици и електромонтьори
C000482_bg_000	Работници по инсталиране и ремонт на електропроводни линии
C000483_bg_000	Работници по инсталиране и ремонт на електронни и телекомуникационни съоръжения
C000484_bg_000	Механици и сервизни техници на електронни съоръжения
C000485_bg_000	Работници по инсталиране, ремонт и поддръжка на информационни и комуникационни съоръжения
C000486_bg_000	Работници по производство на храни, дървени изделия, облекло и сродни на тях
C000487_bg_000	Работници по производство на храни и сродни на тях
C000488_bg_000	Работници по преработка на месо, риба и други подобни хранителни продукти
C000489_bg_000	Работници по производство на хлебни, сладкарски и тестени изделия
C000490_bg_000	Работници по производство на млечни продукти
C000491_bg_000	Работници по производство на плодови, зеленчукови и други консерви
C000492_bg_000	Дегустатори на храни и напитки
C000493_bg_000	Работници по преработка на тютюн и производство на тютюневи изделия
C000494_bg_000	Работници по обработка на дърво, мебелисти и сродни на тях
C000495_bg_000	Работници по обработка на дърво
C000496_bg_000	Дърводелци, мебелисти и сродни на тях
