C000001_no_000	Militære yrker og uoppgitt
C000052_no_000	Restaurantsjefer
C000053_no_000	Varehandelssjefer
C000054_no_000	Varehandelssjefer
C000055_no_000	Daglige ledere
C000056_no_000	Sports-
C000057_no_000	Andre daglige ledere i tjenesteytende virksomheter
C000058_no_000	Akademiske yrker
C000059_no_000	Realister
C000060_no_000	Fysikere
C000061_no_000	Fysikere og astronomer
C000062_no_000	Meteorologer
C000063_no_000	Kjemikere
C000064_no_000	Geologer og geofysikere
C000065_no_000	Matematikere
C000066_no_000	Matematikere
C000067_no_000	Biologiske yrker mv.
C000068_no_000	Biologer
C000069_no_000	Sivilagronomer mv.
C000070_no_000	Miljøvernrådgivere
C000071_no_000	Sivilingeniører (unntatt elektroteknologi)
C000072_no_000	Sivilingeniører (industri og produksjon)
C000073_no_000	Sivilingeniører (bygg og anlegg)
C000074_no_000	Sivilingeniører (miljøteknikk)
C000075_no_000	Sivilingeniører (maskin- og marin-teknikk)
C000076_no_000	Sivilingeniører (kjemi)
C000077_no_000	Sivilingeniører (geofag
C000078_no_000	Andre sivilingeniører (unntatt elektroteknologi)
C000079_no_000	Sivilingeniører elektroteknologi
C000080_no_000	Sivilingeniører (elkraftteknikk)
C000081_no_000	Sivilingeniører (elektronikk)
C000082_no_000	Sivilingeniører (telekommunikasjon)
C000083_no_000	Arkitekter
C000084_no_000	Sivilarkitekter
C000085_no_000	Landskapsarkitekter
C000086_no_000	Produkt- og klesdesignere
C000087_no_000	Arealplanleggere
C000088_no_000	Landmålere
C000089_no_000	Grafiske- og multimediadesignere
C000090_no_000	Medisinske yrker
C000091_no_000	Leger
C000092_no_000	Allmennpraktiserende leger
C000093_no_000	Legespesialister
C000094_no_000	Sykepleiere og spesialsykepleiere
C000095_no_000	Spesialsykepleiere
C000096_no_000	Jordmødre
C000097_no_000	Traditional and complementary medicine professionals
C000098_no_000	Traditional and complementary medicine professionals
C000099_no_000	Paramedical practitioners
C000100_no_000	Paramedical practitioners
C000101_no_000	Veterinærer
C000102_no_000	Veterinærer
C000103_no_000	Andre medisinske yrker
C000104_no_000	Tannleger
C000105_no_000	Farmasøyter
C000106_no_000	Helse- og miljørådgivere
C000107_no_000	Fysioterapeuter
C000108_no_000	Ernæringsfysiologer
C000109_no_000	Audiografer og logopeder
C000110_no_000	Ergoterapeuter
C000111_no_000	Kiropraktorer mv.
C000112_no_000	Undervisningsyrker
C000113_no_000	Universitets- og høyskolelektorer/-lærere
C000114_no_000	Universitets- og høyskolelektorer/-lærere
C000115_no_000	Yrkesfaglærere
C000116_no_000	Yrkesfaglærere
C000117_no_000	Lektorer mv (videregående skole)
C000118_no_000	Lektorer mv. (videregående skole)
C000119_no_000	Grunnskole- og førskolelærere
C000120_no_000	Grunnskolelærere
C000121_no_000	Førskolelærere
C000122_no_000	Andre lærere
C000123_no_000	Spesialister i pedagogikk
C000124_no_000	Spesiallærere / spesialpedagoger
C000125_no_000	Andre språklærere
C000126_no_000	Andre musikklærere
C000127_no_000	Andre lærere i estetiske fag
C000128_no_000	Andre IKT-lærere
C000129_no_000	Andre lærere
C000130_no_000	Rådgivere innen økonomi
C000131_no_000	Finansrådgivere
C000132_no_000	Revisorer
C000133_no_000	Finans- og investeringsrådgivere
C000134_no_000	Finansanalytikere
C000135_no_000	Administrasjonsrådgivere
C000136_no_000	Organisasjonsrådgivere mv.
C000137_no_000	Høyere saksbehandlere i offentlig og privat virksomhet
C000138_no_000	Personal- og karriererådgivere
C000139_no_000	Rådgivere innen kompetanseutvikling
C000140_no_000	Rådgivere innen salg
C000141_no_000	Reklame- og markedsføringsrådgivere
C000142_no_000	Informasjonsrådgivere
C000143_no_000	Salgskonsulenter innen tekniske og medisinske produkter
C000144_no_000	Salgskonsulenter innen IKT-produkter
C000145_no_000	IKT-rådgivere
C000146_no_000	Programvare- og applikasjonsutviklere/analytikere
C000147_no_000	Systemanalytikere/-arkitekter
C000148_no_000	Programvareutviklere
C000149_no_000	Nett- og multimediautviklere
C000150_no_000	Applikasjonsprogrammerere
C000151_no_000	Andre programvare- og applikasjonsutviklere
C000152_no_000	Databasedesignere
C000153_no_000	Databasedesignere og -administratorer
C000154_no_000	Systemadministratorer
C000155_no_000	Nettverksansvarlige
C000156_no_000	Sikkerhetsanalytikere mv.
C000157_no_000	Juridiske
C000158_no_000	Juridiske yrker
C000159_no_000	Jurister og advokater
C000160_no_000	Dommere
C000161_no_000	Andre juridiske yrker
C000162_no_000	Bibliotekarer
C000163_no_000	Arkivarer og kuratorer
C000164_no_000	Bibliotekarer og andre informasjonsarbeidere
C000165_no_000	Samfunnsvitenskapelige
C000166_no_000	Rådgivere/forskere
C000167_no_000	Rådgivere/forskere
C000168_no_000	Rådgivere/forskere
C000169_no_000	Psykologer
C000170_no_000	Rådgivere innen sosiale fagfelt
C000171_no_000	Geistlige yrker
C000172_no_000	Forfattere
C000173_no_000	Forfattere mv.
C000174_no_000	Journalister
C000175_no_000	Oversettere
C000176_no_000	Profesjonelle kunstnere
C000177_no_000	Skulptører
C000178_no_000	Dirigenter
C000179_no_000	Koreografer og dansere
C000180_no_000	Regissører
C000181_no_000	Skuespillere
C000182_no_000	Programledere i TV og radio
C000183_no_000	Andre utøvende kunstneriske yrker
C000184_no_000	Høyskoleyrker
C000185_no_000	Ingeniører mv.
C000186_no_000	Ingeniører
C000187_no_000	Chemical and physical science technicians
C000188_no_000	Bygningsingeniører
C000189_no_000	Elkraftingeniører
C000190_no_000	Elektronikkingeniører
C000191_no_000	Maskiningeniører
C000192_no_000	Kjemiingeniører
C000193_no_000	Ingeniører innen petroleum
C000194_no_000	Tekniske tegnere
C000195_no_000	Andre ingeniører
C000196_no_000	Arbeidsledere innen bergfag
C000197_no_000	Arbeidsleder
C000198_no_000	Arbeidsleder
C000199_no_000	Arbeidsleder
C000200_no_000	Prosesskontrollører
C000201_no_000	Energikontrolloperatører
C000202_no_000	Kontrolloperatører ved forbrennings- kjøle- og vannrenseanlegg mv.
C000203_no_000	Kontrolloperatører innen kjemisk prosessindustri
C000204_no_000	Kontrolloperatører ved olje- og naturgassraffineringsanlegg
C000205_no_000	Kontrolloperatører innen metallproduksjon
C000206_no_000	Andre prosesskontrolloperatører
C000207_no_000	Bioteknikere mv.
C000208_no_000	Bioteknikere (ikke-medisinske laboratorier)
C000209_no_000	Agroteknikere
C000210_no_000	Skogteknikere
C000211_no_000	Skipoffiserer
C000212_no_000	Skipsmaskinister
C000213_no_000	Dekksoffiserer og loser
C000214_no_000	Flygere
C000215_no_000	Flygeledere
C000216_no_000	Teknikere innen luftfartssikkerhet
C000217_no_000	Helserelaterte yrker
C000218_no_000	Radiografer
C000219_no_000	Radiografer mv.
C000220_no_000	Bioingeniører
C000221_no_000	Reseptarer
C000222_no_000	Protese- og tannteknikere
C000223_no_000	Nursing and midwifery associate professionals
C000224_no_000	Nursing associate professionals
C000225_no_000	Midwifery associate professionals
C000226_no_000	Yrker innen alternativ medisin
C000227_no_000	Yrker innen alternativ medisin
C000228_no_000	Dyrepleiere
C000229_no_000	Dyrepleiere
C000230_no_000	Andre helseyrker
C000231_no_000	Tannpleiere
C000232_no_000	Medical records and health information technicians
C000233_no_000	Community health workers
C000234_no_000	Optikere
C000235_no_000	Physiotherapy technicians and assistants
C000236_no_000	Helsesekretærer
C000237_no_000	Helse- og miljøkontrollører
C000238_no_000	Ambulansepersonell
C000239_no_000	Andre helseyrker
C000240_no_000	Medarbeidere innen økonomi
C000241_no_000	Yrker innen finanstjenester
C000242_no_000	Finansmeglere
C000243_no_000	Kundebehandlere lån og kreditt
C000244_no_000	Regnskapsførere
C000245_no_000	Statistical, mathematical and related associate professionals
C000246_no_000	Takstmenn
C000247_no_000	Agenter og meglere
C000248_no_000	Forsikringsagenter
C000249_no_000	Selgere (engros)
C000250_no_000	Innkjøpere
C000251_no_000	Handels- og skipsmeglere
C000252_no_000	Forretningstjenesteyrker
C000253_no_000	Speditører og befraktere
C000254_no_000	Konferanse- og arrangementsplanleggere mv.
C000255_no_000	Arbeidsformidlere
C000256_no_000	Eiendomsmeglere og - forvaltere
C000257_no_000	Andre yrker innen forretningstjenester
C000258_no_000	Sekretærer og arbeidsledere for kontorpersonell
C000259_no_000	Arbeidsledere for kontorpersonell
C000260_no_000	Advokatsekretær
C000261_no_000	Sjefssekretærer
C000262_no_000	Medical secretaries
C000263_no_000	Yrker innen offentlig forvaltning
C000264_no_000	Tollere
C000265_no_000	Skattefunksjonærer
C000266_no_000	Saksbehandlere innen sosiale ytelser
C000267_no_000	Saksbehandlere for førerkort
C000268_no_000	Politibetjenter mv.
C000269_no_000	Andre yrker innen offentlig forvaltning
C000270_no_000	Yrker innen kultur
C000271_no_000	Yrker innen sosialarbeid og kultur
C000272_no_000	Privatetterforskere mv.
C000273_no_000	Miljøarbeidere innen sosiale fagfelt
C000274_no_000	Religiøse yrker
C000275_no_000	Yrker innen sport og idrett
C000276_no_000	Idrettsutøvere
C000277_no_000	Trenere og idrettsdommere
C000278_no_000	Sports- og aktivitetsinstruktører
C000279_no_000	Yrker innen estetiske fag
C000280_no_000	Fotografer og filmfotografer
C000281_no_000	Interiørdesignere og dekoratører
C000282_no_000	Tekniske konservatorer
C000283_no_000	Sjefskokker
C000284_no_000	Other artistic and cultural associate professionals
C000285_no_000	IKT-teknikere
C000286_no_000	Operatører og brukerstøtte
C000287_no_000	Driftsteknikere
C000288_no_000	Brukerstøtte
C000289_no_000	Nettverks- og systemteknikere
C000290_no_000	Internett-teknikere
C000291_no_000	Teknikere innen kringkasting og telekom
C000292_no_000	Teknikere innen radio og tv
C000293_no_000	Teknikere innen telekom
C000294_no_000	Kontoryrker
C000295_no_000	Kontormedarbeidere
C000296_no_000	Kontormedarbeidere
C000297_no_000	Kontormedarbeidere
C000298_no_000	Secretaries (general)
C000299_no_000	Secretaries (general)
C000300_no_000	Dataregistrere og stenografer
C000301_no_000	Stenografer mv.
C000302_no_000	Dataregistrere
C000303_no_000	Kundeserviceyrker
C000304_no_000	Kundebehandlere
C000305_no_000	Kundebehandlere
C000306_no_000	Bingoverter
C000307_no_000	Pantelånere mv.
C000308_no_000	Inkassomedarbeidere mv.
C000309_no_000	Reisebyrå-
C000310_no_000	Reisebyråmedarbeidere mv.
C000311_no_000	Kundesentermedarbeidere
C000312_no_000	Sentralbordoperatører
C000313_no_000	Hotellresepsjonister
C000314_no_000	Informasjonsskrankemedarbeidere
C000315_no_000	Resepsjonister (ekskl. hotell)
C000316_no_000	Intervjuere
C000317_no_000	Andre opplysningsmedarbeidere
C000318_no_000	Økonomi- og logistikkmedarbeidere
C000319_no_000	Regnskaps- og lønnsmedarbeidere mv.
C000320_no_000	Regnskapsmedarbeidere
C000321_no_000	Forsikrings- og finansmedarbeidere
C000322_no_000	Lønningsmedarbeidere
C000323_no_000	Lager- og transportmedarbeidere
C000324_no_000	Lagermedarbeidere og material-forvaltere
C000325_no_000	Logistikkmedarbeidere
C000326_no_000	Transportfunksjonærer
C000327_no_000	Postbud
C000328_no_000	Postbud
C000329_no_000	Bibliotekassistenter
C000330_no_000	Postbud og postsorterere
C000331_no_000	Kodere mv.
C000332_no_000	Scribes and related workers
C000333_no_000	Arkivassistenter
C000334_no_000	Personalkontormedarbeidere
C000335_no_000	Clerical support workers not elsewhere classified
C000336_no_000	Salgs- og serviceyrker
C000337_no_000	Yrker innen personlig tjenesteyting
C000338_no_000	Persontransportpersonell
C000339_no_000	Flyverter
C000340_no_000	Konduktører
C000341_no_000	Reiseledere og guider
C000342_no_000	Kokker
C000343_no_000	Kokker
C000344_no_000	Servitører og bartendere
C000345_no_000	Servitører
C000346_no_000	Bartendere
C000347_no_000	Frisører
C000348_no_000	Frisører
C000349_no_000	Kosmetologer mv.
C000350_no_000	Renholdsledere og vaktmestre
C000351_no_000	Renholdsledere i virksomheter
C000352_no_000	Husholdere
C000353_no_000	Vaktmestre
C000354_no_000	Andre yrker innen personlig tjenesteyting
C000355_no_000	Astrologer mv.
C000356_no_000	Companions and valets
C000357_no_000	Begravelsesbyrå- og krematoriearbeidere
C000358_no_000	Dyrepassere og - trenere mv.
C000359_no_000	Kjøreskolelærere
C000360_no_000	Andre personlige tjenesteytere
C000361_no_000	Salgsyrker
C000362_no_000	Torg og markedsselgere
C000363_no_000	Torghandlere
C000364_no_000	Gateselgere
C000365_no_000	Butikkselgere
C000366_no_000	Innehavere av kiosk/liten butikk
C000367_no_000	Butikkavdelingssjefer
C000368_no_000	Butikkmedarbeidere
C000369_no_000	Billettselgere
C000370_no_000	Billettselgere
C000371_no_000	Andre salgsyrker
C000372_no_000	Mannekenger og modeller
C000373_no_000	Demonstrasjonsselgere
C000374_no_000	Dørselgere
C000375_no_000	Telefon- og nettselgere
C000376_no_000	Servicemedarbeidere (bensinstasjon)
C000377_no_000	Gatekjøkken- og kafémedarbeidere mv.
C000378_no_000	Andre salgsmedarbeidere
C000379_no_000	Pleie- og omsorgsarbeidere
C000380_no_000	Barnehage- og skoleassistenter mv.
C000381_no_000	Barnehage- og skolefritidsassistenter mv.
C000382_no_000	Skoleassistenter
C000383_no_000	Pleiemedarbeidere
C000384_no_000	Helsefagarbeidere
C000385_no_000	Hjemmehjelper
C000386_no_000	Andre pleiemedarbeidere
C000387_no_000	Sikkerhetsarbeidere
C000388_no_000	Sikkerhetsarbeidere
C000389_no_000	Brannkonstabler
C000390_no_000	Police officers
C000391_no_000	Fengselsbetjenter
C000392_no_000	Vektere
C000393_no_000	Andre sikkerhetsarbeidere
C000394_no_000	Bønder
C000395_no_000	Jordbrukere
C000396_no_000	Korn-
C000397_no_000	Korn- og grønnsaksprodusenter
C000398_no_000	Frukt- og bærprodusenter
C000399_no_000	Gartnere
C000400_no_000	Kombinasjonsbrukere
C000401_no_000	Husdyr-
C000402_no_000	Melke- og husdyrprodusenter
C000403_no_000	Egg- og fjærfeprodusenter
C000404_no_000	Birøktere mv.
C000405_no_000	Andre dyreoppdrettere og røktere
C000406_no_000	Plante- og husdyrprodusenter (kombinasjonsbruk)
C000407_no_000	Plante- og husdyrprodusenter (kombinasjonsbruk)
C000408_no_000	Skogbrukere
C000409_no_000	Skogbrukere
C000410_no_000	Skogbrukere
C000411_no_000	Havbruksarbeidere og fiskere
C000412_no_000	Havbruksarbeidere
C000413_no_000	Fiskere
C000414_no_000	Deep-sea fishery workers
C000415_no_000	Fangstfolk
C000416_no_000	Subsistence farmers, fishers, hunters and gatherers
C000417_no_000	Subsistence crop farmers
C000418_no_000	Subsistence crop farmers
C000419_no_000	Subsistence livestock farmers
C000420_no_000	Subsistence livestock farmers
C000421_no_000	Subsistence mixed crop and livestock farmers
C000422_no_000	Subsistence mixed crop and livestock farmers
C000423_no_000	Subsistence fishers, hunters, trappers and gatherers
C000424_no_000	Subsistence fishers, hunters, trappers and gatherers
C000425_no_000	Håndverkere
C000426_no_000	Byggearbeidere
C000427_no_000	Bygningsarbeidere
C000428_no_000	House builders
C000429_no_000	Murere
C000430_no_000	Steinhoggere mv.
C000431_no_000	Betongarbeidere
C000432_no_000	Tømrere og snekkere
C000433_no_000	Andre bygningsarbeidere
C000434_no_000	Bygningstekniske arbeidere
C000435_no_000	Taktekkere
C000436_no_000	Gulv- og flisleggere
C000437_no_000	Gips- og sparklingsarbeidere
C000438_no_000	Isolatører mv.
C000439_no_000	Glassarbeidere
C000440_no_000	Rørleggere og VVS-montører
C000441_no_000	Kuldemontører mv.
C000442_no_000	Malere
C000443_no_000	Malere og byggtapetserere
C000444_no_000	Overflatebehandlere og lakkerere
C000445_no_000	Feiere
C000446_no_000	Metall- og maskinarbeidere
C000447_no_000	Støpere
C000448_no_000	Støpere
C000449_no_000	Sveisere
C000450_no_000	Kopper- og blikkenslagere
C000451_no_000	Platearbeidere
C000452_no_000	Riggere og spleisere
C000453_no_000	Smeder
C000454_no_000	Smeder
C000455_no_000	Verktøymaker
C000456_no_000	Metalldreiere mv.
C000457_no_000	Metallslipere
C000458_no_000	Mekanikere og reparatører
C000459_no_000	Bilmekanikere
C000460_no_000	Mekanikere innen flytekniske fag
C000461_no_000	Anleggsmaskin- og industrimekanikere
C000462_no_000	Sykkelreparatører mv.
C000463_no_000	Presisjonsarbeidere
C000464_no_000	Presisjonsarbeidere og kunsthåndverkere
C000465_no_000	Presisjonsinstrumentmakere og -reparatører
C000466_no_000	Musikkinstrumentmakere og -stemmere
C000467_no_000	Gull- og sølvsmeder
C000468_no_000	Keramikere mv.
C000469_no_000	Glasshåndverkere
C000470_no_000	Dekormalere mv.
C000471_no_000	Kunsthåndverkere i tre mv.
C000472_no_000	Vevere
C000473_no_000	Andre kunsthåndverkere
C000474_no_000	Grafiske arbeidere
C000475_no_000	Førtrykkere
C000476_no_000	Trykkere
C000477_no_000	Innbindere mv.
C000478_no_000	Elektrikere
C000479_no_000	Elektrikere mv.
C000480_no_000	Elektrikere
C000481_no_000	Automatikere
C000482_no_000	Energimontører
C000483_no_000	Serviceelektronikere og tele- og IKT-installatører mv.
C000484_no_000	Serviceelektronikere
C000485_no_000	Tele- og IKT-installatører
C000486_no_000	Andre håndverkspregede yrker
C000487_no_000	Slaktere
C000488_no_000	Slaktere
C000489_no_000	Bakere
C000490_no_000	Ystere mv. (gårdsproduksjon)
C000491_no_000	Saftere
C000492_no_000	Prøvesmakere og kvalitetsbedømmere av mat og drikke
C000493_no_000	Tobacco preparers and tobacco products makers
C000494_no_000	Møbelsnekkere
C000495_no_000	Wood treaters
C000496_no_000	Møbelsnekkere
C000497_no_000	Woodworking-machine tool setters and operators
C000498_no_000	Skreddere
C000499_no_000	Skreddere
C000500_no_000	Gradører
C000501_no_000	Sewing, embroidery and related workers
C000502_no_000	Møbeltapetserere mv.
C000503_no_000	Skinnberedere og garvere
C000504_no_000	Skomakere
C000505_no_000	Yrkesdykkere
C000506_no_000	Yrkesdykkere
C000507_no_000	Skytebaser og sprengningsarbeidere
C000508_no_000	Produkttestere (ikke matprodukter)
C000509_no_000	Desinfeksjonsarbeidere og skadedyrbekjempere
C000510_no_000	Andre håndverkere
C000511_no_000	Prosess- og maskinoperatører
C000512_no_000	Prosess- og maskinoperatører
C000513_no_000	Operatører innen borefag mv.
C000514_no_000	Bergfagarbeidere
C000515_no_000	Prosessoperatører (oppredning)
C000516_no_000	Operatører innen boring mv.
C000517_no_000	Operatører innen produksjon av betong mv.
C000518_no_000	Operatører metallproduksjon
C000519_no_000	Operatører innen metallurgiske prosessfag
C000520_no_000	Operatører innen metallflatebehandling
C000521_no_000	Operatører innen produksjon av kjemiske produkter
C000522_no_000	Operatører innen kjemisk industri
C000523_no_000	Operatører innen produksjon av fotofilm og -papir mv.
C000524_no_000	Operatører innen gummi
C000525_no_000	Operatører innen produksjon av gummiprodukter
C000526_no_000	Operatører innen plastprodukter
C000527_no_000	Operatører innen papirprodukter
C000528_no_000	Operatører innen bearbeiding og produksjon av tekstiler
C000529_no_000	Spinne- og nøstemaskinoperatører
C000530_no_000	Operatører innen tekstilproduksjon mv.
C000531_no_000	Industrisyere
C000532_no_000	Operatører innen tekstilbearbeiding
C000533_no_000	Operatører innen pels
C000534_no_000	Operatører innen skinn og lærprodukter
C000535_no_000	Renseri- og vaskerimaskinoperatører
C000536_no_000	Andre operatører innen produksjon av tekstiler
C000537_no_000	Operatører innen næringsmiddelproduksjon
C000538_no_000	Operatører innen næringsmiddelproduksjon
C000539_no_000	Operatører innen treforedling og trelast
C000540_no_000	Operatører innen treforedling
C000541_no_000	Operatører innen trelastproduksjon
C000542_no_000	Operatører av andre stasjonære maskiner
C000543_no_000	Operatører innen glass- og keramisk produksjon
C000544_no_000	Fyrkjele- og turbinoperatører
C000545_no_000	Pakke-
C000546_no_000	Andre stasjonære maskinoperatører
C000547_no_000	Montører
C000548_no_000	Montører
C000549_no_000	Montører av mekaniske produkter
C000550_no_000	Montører av elektriske og elektroniske produkter
C000551_no_000	Andre montører
C000552_no_000	Transportarbeidere og operatører av mobile maskiner mv.
C000553_no_000	Lokomotiv og T-baneførere mv.
C000554_no_000	Lokomotiv og T-baneførere
C000555_no_000	Skiftekonduktører mv
C000556_no_000	Bil-
C000557_no_000	Motorcycle drivers
C000558_no_000	Bil-
C000559_no_000	Lastebil-
C000560_no_000	Bussjåfører og trikkeførere
C000561_no_000	Lastebil- og trailersjåfører
C000562_no_000	Operatører av mobile maskiner mv.
C000563_no_000	Jordbruks- og skogbruksmaskinførere
C000564_no_000	Anleggsmaskinførere
C000565_no_000	Kran- og heisførere mv.
C000566_no_000	Truckførere
C000567_no_000	Dekks- og maskinmannskap (skip)
C000568_no_000	Dekks- og maskinmannskap (skip)
C000569_no_000	Renholdere
C000570_no_000	Renholdere mv.
C000571_no_000	Renholdere
C000572_no_000	Renholdere i private hjem
C000573_no_000	Renholdere i virksomheter
C000574_no_000	Bilvaskere
C000575_no_000	Hand launderers and pressers
C000576_no_000	Bilvaskere
C000577_no_000	Vinduspussere
C000578_no_000	Andre rengjørere
C000579_no_000	Hjelpearbeidere i jordbruk
C000580_no_000	Hjelpearbeidere i jordbruk
C000581_no_000	Hjelpearbeidere i nyttevekstproduksjon
C000582_no_000	Hjelpearbeidere i husdyrproduksjon
C000583_no_000	Hjelpearbeidere i kombinasjonsbruk
C000584_no_000	Hjelpearbeidere i gartneri mv.
C000585_no_000	Hjelpearbeidere i skogbruk
C000586_no_000	Hjelpearbeidere innen havbruk
C000587_no_000	Hjelpearbeidere i bergverk
C000588_no_000	Hjelpearbeidere i bergverk
C000589_no_000	Hjelpearbeidere i bergverk
C000590_no_000	Hjelpearbeidere i anlegg
C000591_no_000	Hjelpearbeidere i bygg
C000592_no_000	Hjelpearbeidere i industri
C000593_no_000	Håndpakkere mv.
C000594_no_000	Andre hjelpearbeidere i industri
C000595_no_000	Hjelpearbeidere innen transport og lager
C000596_no_000	Førere av ikke-motorisert kjøretøy
C000597_no_000	Drivers of animal-drawn vehicles and machinery
C000598_no_000	Laste- og lossearbeidere
C000599_no_000	Varepåfyllere
C000600_no_000	Kjøkkenassistenter
C000601_no_000	Kjøkkenassistenter
C000602_no_000	Fast food preparers
C000603_no_000	Kjøkkenassistenter
C000604_no_000	Reklamedistributører mv.
C000605_no_000	Reklamedistributører mv.
C000606_no_000	Reklamedistributører mv.
C000607_no_000	Street vendors (excluding food)
C000608_no_000	Street vendors (excluding food)
C000609_no_000	Renovasjons- og gjenvinningsarbeidere mv.
C000610_no_000	Renovasjons- og gjenvinningsarbeidere
C000611_no_000	Renovasjonsarbeidere
C000612_no_000	Gjenvinningsarbeidere
C000613_no_000	Gatefeiere mv.
C000614_no_000	Andre hjelpearbeidere
C000615_no_000	Bud mv.
C000616_no_000	Altmuligmann
C000617_no_000	Måleravlesere mv.
C000618_no_000	Water and firewood collectors
C000619_no_000	Andre hjelpearbeidere
C000620_no_000	teknisk direktør
C000621_no_000	maskinoperatør, stansing
C000621_no_001	maskinarbeider, trekking
C000621_no_002	maskinarbeider, trådtrekking
C000621_no_003	maskinoperatør, trekking
C000621_no_004	maskinoperatør, trådtrekking
C000621_no_005	operatør, trekkmaskin
C000621_no_006	trådtrekker
C000622_no_000	kvalitetsinspektør, presisjonsutstyr
C000622_no_001	inspektør, presisjonsinstrumenter
C000622_no_002	inspektør, presisjonsutstyr
C000622_no_003	kontrollør, presisjonsinstrumenter
C000622_no_004	kontrollør, presisjonsutstyr
C000622_no_005	kvalitetsinspektør, presisjonsinstrumenter
C000622_no_006	kvalitetskontrollør, presisjonsinstrumenter
C000622_no_007	kvalitetskontrollør, presisjonsutstyr
C000622_no_008	produkttester, presisjonsinstrumenter
C000622_no_009	produkttester, presisjonsutstyr
C000623_no_000	tekniker innen luftfartssikkerhet
C000624_no_000	økonomiansvarlig, hotell
C000625_no_000	medisinsk laboratorieassistent
C000626_no_000	laboratorietekniker, asfalt
C000627_no_000	hjelpelærer i grunnskolen
C000627_no_001	assistent, grunnskole
C000627_no_002	lærerassistent, grunnskole
C000627_no_003	skoleassistent
C000627_no_004	undervisningsassistent, grunnskole
C000628_no_000	fysioterapeut
C000629_no_000	underviser på teaterhøyskole
C000630_no_000	maskinoperatør, hydrogenering
C000630_no_001	hydrogeneringsmedarbeider
C000630_no_002	hydrogeneringsoperatør
C000630_no_003	maskinarbeider, hydrogenering
C000630_no_004	prosessoperatør, hydrogenering
C000631_no_000	operatør, pastatilvirkning
C000631_no_001	medarbeider på pastafabrikk
C000631_no_002	produksjonsmedarbeider, pasta
C000632_no_000	butikksjef, tobakk
C000632_no_001	butikksjef, tobakksbutikk
C000632_no_002	butikksjef, tobakksforretning
C000632_no_003	butikksjef, tobakkshandler
C000632_no_004	butikksjef, tobakksvarer
C000632_no_005	daglig leder, tobakksbutikk
C000632_no_006	daglig leder, tobakksforretning
C000632_no_007	daglig leder, tobakkshandler
C000633_no_000	utleiemedarbeider innen andre typer maskiner og utstyr
C000633_no_001	kundemottaker, utleie av andre typer maskiner og utstyr
C000633_no_002	medarbeider, utleie
C000633_no_003	medarbeider, utleie av andre typer maskiner og utstyr
C000633_no_004	salgsassistent, utleie av andre typer maskiner og utstyr
C000633_no_005	salgsmedarbeider, utleie
C000633_no_006	utleieansvarlig
C000633_no_007	utleieansvarlig, andre typer maskiner og utstyr
C000633_no_008	utleieassistent
C000633_no_009	utleiekonsulent
C000633_no_010	utleiekonsulent, andre typer maskiner og utstyr
C000633_no_011	utleier
C000633_no_012	utleier, andre typer maskiner og utstyr
C000634_no_000	gruvemåler
C000635_no_000	næringsmiddelspesialist
C000636_no_000	landbasert maskintekniker
C000636_no_001	landbruksmaskinmekaniker
C000636_no_002	landbruksmaskinreparatør
C000636_no_003	mekaniker, landbruksmaskiner
