C000001_hu_000	Fegyveres erők
C000103_hu_000	Egyéb egészségügyi foglalkozások
C000104_hu_000	Fogorvosok
C000105_hu_000	Gyógyszerészek
C000106_hu_000	Környezet-, foglalkozás-egészségügyi és higiénés foglalkozásúak
C000107_hu_000	Fizioterapeuták
C000108_hu_000	Dietetikusok és táplálkozás-szakértők
C000109_hu_000	Audiológusok és beszédterapeuták
C000110_hu_000	Optometristák
C000111_hu_000	Máshová nem sorolható egészségügyi foglalkozásúak
C000112_hu_000	Oktatási foglalkozások
C000113_hu_000	Egyetemek és egyéb felsőoktatási intézmények oktatói
C000114_hu_000	Egyetemek és egyéb felsőoktatási intézmények oktatói
C000115_hu_000	Szakoktatók
C000116_hu_000	Szakoktatók
C000117_hu_000	Középiskolai tanárok
C000118_hu_000	Középiskolai tanárok
C000119_hu_000	Általános iskolai tanárok és óvodapedagógusok
C000120_hu_000	Általános iskolai tanárok
C000121_hu_000	Óvodapedagógusok
C000122_hu_000	Egyéb oktatási foglalkozások
C000123_hu_000	Oktatás-módszertani foglalkozásúak
C000124_hu_000	Gyógypedagógusok
C000125_hu_000	Egyéb nyelvtanárok
C000126_hu_000	Egyéb zenetanárok
C000127_hu_000	Egyéb művészeti oktatók
C000128_hu_000	Információs technológiák oktatói
C000129_hu_000	Máshová nem sorolható oktatási foglalkozásúak
C000130_hu_000	Üzleti és igazgatási foglalkozások
C000131_hu_000	Pénzügyi foglalkozások
C000132_hu_000	Könyvelők és könyvvizsgálók
C000133_hu_000	Pénzügyi és befektetési tanácsadók
C000134_hu_000	Pénzügyi elemzők
C000135_hu_000	Igazgatási, szervezési foglalkozások
C000136_hu_000	Vezetési tanácsadók és szervezeti elemzők
C000137_hu_000	Stratégiai fejlesztők, elemzők
C000138_hu_000	Személyzeti szakemberek és karrier-tanácsadók
C000139_hu_000	Továbbképzési és személyzet-fejlesztési foglalkozásúak
C000140_hu_000	Értékesítési, marketing- és PR-foglalkozások
C000141_hu_000	Reklám- és marketingfoglalkozásúak
C000142_hu_000	PR-foglalkozásúak
C000143_hu_000	Műszaki és gyógyászati termékek/szolgáltatások értékesítői (kivéve az IKT-t)
C000144_hu_000	Információs és kommunikációs technológiák értékesítői
C000145_hu_000	Információs és kommunikációs technológiai foglalkozások
C000146_hu_000	Szoftver- és alkalmazásfejlesztők, -elemzők
C000147_hu_000	Rendszerelemzők
C000148_hu_000	Szoftverfejlesztők
C000149_hu_000	Web- és multimédia-fejlesztők
C000150_hu_000	Alkalmazásfejlesztők
C000151_hu_000	Máshová nem sorolható szoftver- és alkalmazásfejlesztők, -elemzők
C000152_hu_000	Adatbázis- és hálózati foglalkozások
C000153_hu_000	Adatbázis-tervezők és -rendszergazdák
C000154_hu_000	Rendszergazdák
C000155_hu_000	Számítógép-hálózati foglalkozásúak
C000156_hu_000	Máshová nem sorolható adatbázis- és hálózati foglalkozásúak
C000157_hu_000	Jogi, szociális és kulturális foglalkozások
C000158_hu_000	Jogi foglalkozások
C000159_hu_000	Ügyvédek, ügyészek, jogszabály-szövegezők
C000160_hu_000	Bírák
C000161_hu_000	Máshová nem sorolható jogi foglalkozásúak
C000162_hu_000	Könyvtárosok, levél- és irattárosok, muzeológusok
C000163_hu_000	Levél- és irattárosok, muzeológusok
C000164_hu_000	Könyvtárosok és hasonló információs foglalkozásúak
C000165_hu_000	Társadalomtudományi és vallási foglalkozások
C000166_hu_000	Közgazdászok
C000167_hu_000	Szociológusok, antropológusok, és hasonló foglalkozásúak
C000168_hu_000	Filozófusok, történészek és politológusok
C000169_hu_000	Pszichológusok
C000170_hu_000	Szociális munkások, tanácsadással foglalkozó szakemberek
C000171_hu_000	Vallási foglalkozásúak
C000172_hu_000	Írók, újságírók és nyelvészek
C000173_hu_000	Írók és hasonló szerzők
C000174_hu_000	Újságírók
C000175_hu_000	Fordítók, tolmácsok és egyéb nyelvészek
C000176_hu_000	Képző- és előadó-művészek
C000177_hu_000	Vizuális művészek
C000178_hu_000	Zenészek, énekesek és zeneszerzők
C000179_hu_000	Táncosok és koreográfusok
C000180_hu_000	Film, színház- és hasonló rendezők, producerek
C000181_hu_000	Színművészek
C000182_hu_000	Rádió-, televízió- és egyéb médiabemondók
C000183_hu_000	Máshová nem sorolható képző- és előadó-művészek
C000184_hu_000	Technikusok és hasonló foglalkozások
C000185_hu_000	Természettudományi és műszaki foglalkozások
C000186_hu_000	Fizika- és mérnöktudományok technikusai
C000187_hu_000	Kémia- és fizika tudományok technikusai
C000188_hu_000	Építésztechnikusok
C000189_hu_000	Erősáramú villamosipari technikusok
C000190_hu_000	Gyengeáramú villamosipari technikusok
C000191_hu_000	Gépésztechnikusok
C000192_hu_000	Vegyésztechnikusok
C000193_hu_000	Bányászati és kohászati technikusok
C000194_hu_000	Műszaki rajzolók
C000195_hu_000	Máshová nem sorolható természettudományi és műszaki technikusok
C000196_hu_000	Bányászati, feldolgozóipari és építőipari irányítók
C000197_hu_000	Bányászati irányítók
C000198_hu_000	Feldolgozóipari irányítók
C000199_hu_000	Építőipari irányítók
C000200_hu_000	Folyamatirányító rendszerek kezelő technikusai
C000201_hu_000	Erőműkezelők
C000202_hu_000	Égetőüzemi és víztisztító berendezések kezelői
C000203_hu_000	Vegyipari feldolgozó berendezések kezelői
C000204_hu_000	Kőolaj- és földgázfinomító berendezések kezelői
C000205_hu_000	Fémfeldolgozási folyamatirányító rendszerek kezelői
C000206_hu_000	Folyamatirányító rendszerek máshová nem sorolható kezelő technikusai
C000207_hu_000	Élettani tudományok technikusai és hasonló foglalkozások
C000208_hu_000	Élettani tudományok technikusai (kivéve az orvostudományt)
C000209_hu_000	Mezőgazdasági technikusok
C000210_hu_000	Erdésztechnikusok
C000211_hu_000	Hajózási és légiközlekedési irányítók és technikusok
C000212_hu_000	Hajógépészek
C000213_hu_000	Hajós fedélzeti tisztek és hajóvezetők
C000214_hu_000	Légijármű-vezetők és hasonló foglalkozásúak
C000215_hu_000	Légiirányítók
C000216_hu_000	Légiközlekedés-biztonsági elektrotechnikusok
C000217_hu_000	Egészségügyi foglalkozások
C000218_hu_000	Orvosi és gyógyszerésztechnikusok
C000219_hu_000	Orvosi képalkotó diagnosztikai és terápiás berendezések technikusai
C000220_hu_000	Orvosi és patológiai labortechnikusok
C000221_hu_000	Gyógyszerésztechnikusok és -asszisztensek
C000222_hu_000	Gyógyászatisegédeszköz- és fogtechnikusok
C000223_hu_000	Ápolók és szülészeti asszisztensek
C000224_hu_000	Ápolók
C000225_hu_000	Szülészeti asszisztensek
C000226_hu_000	Hagyományos orvoslás és alternatív gyógymódok foglalkozásai
C000227_hu_000	Hagyományos orvoslás és alternatív gyógymód foglalkozásúak
C000228_hu_000	Állatorvosi technikusok és asszisztensek
C000229_hu_000	Állatorvosi technikusok és asszisztensek
C000230_hu_000	Egyéb egészségügyi foglalkozások
C000231_hu_000	Fogászati asszisztensek és terapeuták
C000232_hu_000	Egészségügyi nyilvántartások és dokumentációk technikusai
C000233_hu_000	Közösségi egészségügyi foglalkozásúak
C000234_hu_000	Látszerészek
C000235_hu_000	Fizioterápiás technikusok és asszisztensek
C000236_hu_000	Orvosi asszisztensek
C000237_hu_000	Környezet- és foglalkozás-egészségügyi ellenőrök
C000238_hu_000	Mentőápolók
C000239_hu_000	Máshová nem sorolható egészségügyi foglalkozásúak
C000240_hu_000	Üzleti és igazgatási foglalkozások
C000241_hu_000	Pénzügyi és matematikai foglalkozások
C000242_hu_000	Értékpapír-kereskedők és pénzügyi közvetítők
C000243_hu_000	Hitel- és kölcsönügyintézők
C000244_hu_000	Számviteli foglalkozásúak
C000245_hu_000	Statisztikusokat, matematikusokat és aktuáriusokat segítő foglalkozások
C000246_hu_000	Becsüsök és kárfelmérők
C000247_hu_000	Értékesítési és beszerzési ügynökök, üzletkötők
C000248_hu_000	Biztosítási üzletkötők
C000249_hu_000	Kereskedelmi értékesítők
C000250_hu_000	Felvásárlók
C000251_hu_000	Kereskedelmi üzletkötők
C000252_hu_000	Üzleti szolgáltatásokat nyújtók
C000253_hu_000	Vámügyintézők és speditőrök
C000254_hu_000	Konferencia- és rendezvényszervezők
C000255_hu_000	Munka- és bérmunka-közvetítők
C000256_hu_000	Ingatlanügynökök és -kezelők
C000257_hu_000	Máshová nem sorolható üzleti szolgáltatásokat nyújtók
C000258_hu_000	Titkárok és szakosodott titkárok
C000259_hu_000	Irodavezetők
C000260_hu_000	Jogi titkárok
C000261_hu_000	Igazgatási és ügyvezetési titkárok
C000262_hu_000	Orvosírnokok
C000263_hu_000	Közhivatali ügyintézők
C000264_hu_000	Vám- és határfelügyeleti ügyintézők
C000265_hu_000	Adóhatósági ügyintézők
C000266_hu_000	Szociális ellátásokat kezelő ügyintézők
C000267_hu_000	Hatósági engedélyezési ügyintézők
C000268_hu_000	Rendőrfelügyelők és nyomozók
C000269_hu_000	Máshová nem sorolható közhivatali ügyintézők
C000270_hu_000	Jogi, szociális, kulturális és hasonló területeken dolgozókat segítő foglalkozások
C000271_hu_000	Jogi, szociális és vallási területen dolgozó szakmunkaerő
C000272_hu_000	Jogi és hasonló foglalkozásúak
C000273_hu_000	Szociális foglalkozásúak
C000274_hu_000	Vallási kiegészítő foglalkozásúak
C000275_hu_000	Sport- és a fitneszfoglalkozások
C000276_hu_000	Sportolók
C000277_hu_000	Sportedzők, -oktatók és -tisztségviselők
C000278_hu_000	Fitneszoktatók és szabadidős programok vezetői
C000279_hu_000	Művészeti, kulturális és kulináris foglalkozások
C000280_hu_000	Fényképészek
C000281_hu_000	Épületbelső-tervezők és -dekoratőrök
C000282_hu_000	Kiállítótermi, múzeumi és könyvtári technikusok
C000283_hu_000	Konyhafőnökök
C000284_hu_000	Egyéb művészeti és kulturális foglalkozásúak
C000285_hu_000	Információs és kommunikációs technológiai technikusok
C000286_hu_000	Információs és kommunikációs technológiák üzemeltetését és felhasználói támogatásukat biztosító technikusok
C000287_hu_000	Információs és kommunikációs technológiák üzemeltető technikusai
C000288_hu_000	Információs és kommunikációs technológiák felhasználói támogatását biztosító technikusok
C000289_hu_000	Számítógépes hálózatok és rendszerek technikusai
C000290_hu_000	Webtechnikusok
C000291_hu_000	Távközlési és műsorszórási technikusok
C000292_hu_000	Műsorszórási és audiovizuális technikusok
C000293_hu_000	Távközlési technikusok
C000294_hu_000	Irodai foglalkozások
C000295_hu_000	Általános irodai foglalkozások, gépírók és adatrögzítők
C000296_hu_000	Általános irodai foglalkozások
C000297_hu_000	Általános irodai foglalkozásúak
C000298_hu_000	Titkárok (általános)
C000299_hu_000	Titkárok (általános)
C000300_hu_000	Adatrögzítők, gépírók és szövegszerkesztők
C000301_hu_000	Gépírók és szövegszerkesztők
C000302_hu_000	Adatrögzítők
C000303_hu_000	Ügyfélforgalmi szolgáltatási foglalkozások
C000304_hu_000	Bankpénztárosok, pénzbeszedők és hasonló foglalkozások
C000305_hu_000	Bankpénztárosok és hasonló foglalkozásúak
C000306_hu_000	Bukmékerek, krupiék és hasonló foglalkozásúak
C000307_hu_000	Zálogosok és pénzkölcsönzők
C000308_hu_000	Adósságbehajtók és hasonló foglalkozásúak
C000309_hu_000	Ügyfél-tájékoztatási foglalkozások
C000310_hu_000	Utazási irodai ügyintézők
C000311_hu_000	Telefonos ügyfélszolgálati ügyintézők
C000312_hu_000	Telefonközpont-kezelők
C000313_hu_000	Szállodai fogadóportások
C000314_hu_000	Ügyfélszolgálati ügyintézők
C000315_hu_000	Recepciósok (általános)
C000316_hu_000	Összeírók és piackutatási kérdezők
C000317_hu_000	Máshová nem sorolható, ügyfél-tájékoztatási foglalkozásúak
C000318_hu_000	Számviteli és anyagnyilvántartók
C000319_hu_000	Számviteli nyilvántartók
C000320_hu_000	Számviteli és könyvelési nyilvántartók
C000321_hu_000	Statisztikai, pénzügyi és biztosítási nyilvántartók
C000322_hu_000	Bérszámfejtők
C000323_hu_000	Anyag- és szállítmányozási nyilvántartók
C000324_hu_000	Készletnyilvántartók
C000325_hu_000	Termelési nyilvántartók
C000326_hu_000	Szállítmányozási nyilvántartók
C000327_hu_000	Egyéb irodai kisegítő foglalkozások
C000328_hu_000	Egyéb irodai kisegítő foglalkozások
C000329_hu_000	Könyvtári nyilvántartók
C000330_hu_000	Postai kézbesítők és válogatók
C000331_hu_000	Kódolók, korrektúrázók és hasonló irodai foglalkozásúak
C000332_hu_000	Írnokok és hasonló foglalkozásúak
C000333_hu_000	Iktatók, fénymásolók
C000334_hu_000	Személyzeti nyilvántartási foglalkozásúak
C000335_hu_000	Máshová nem sorolható egyéb irodai kisegítő foglalkozásúak
C000336_hu_000	Szolgáltatási és értékesítési foglalkozások
C000337_hu_000	Személyi szolgáltatásokat nyújtó foglalkozások
C000338_hu_000	Utaskísérők, kalauzok és idegenvezetők
C000339_hu_000	Utaskísérők és stewardok
C000340_hu_000	Kalauzok
C000341_hu_000	Idegenvezetők
C000342_hu_000	Szakácsok
C000343_hu_000	Szakácsok
C000344_hu_000	Felszolgálók és pultosok
C000345_hu_000	Felszolgálók
C000346_hu_000	Pultosok
C000347_hu_000	Fodrászok, kozmetikusok és hasonló foglalkozások
C000348_hu_000	Fodrászok
C000349_hu_000	Kozmetikusok és hasonló foglalkozásúak
C000350_hu_000	Épület-fenntartási irányítók és házvezetők
C000351_hu_000	Takarítási és házvezetői munka irányítói szállodákban és egyéb intézményekben
C000352_hu_000	Házvezetők
C000353_hu_000	Épületgondnokok
C000354_hu_000	Egyéb személyi szolgáltatási foglalkozások
C000355_hu_000	Asztrológusok, jövendőmondók és hasonló foglalkozások
C000356_hu_000	Társalkodók és komornyikok
C000357_hu_000	Temetkezési vállalkozók és balzsamozók
C000358_hu_000	Hobbiállat-gondozók és -kozmetikusok
C000359_hu_000	Gépjárművezető-oktatók
C000360_hu_000	Máshová nem sorolható személyi szolgáltatási foglalkozásúak
C000361_hu_000	Értékesítési foglalkozások
C000362_hu_000	Utcai és piaci árusok
C000363_hu_000	Utcai és piaci árusok (kivéve élelmiszerárusok)
C000364_hu_000	Utcai élelmiszerárusok
C000365_hu_000	Bolti eladók
C000366_hu_000	Kereskedők
C000367_hu_000	Vezető eladók
C000368_hu_000	Beosztott eladók
C000369_hu_000	Pénztárosok és jegyárusítók
C000370_hu_000	Pénztárosok és jegyárusítók
C000371_hu_000	Egyéb értékesítési foglalkozások
C000372_hu_000	Manökenek és egyéb modellek
C000373_hu_000	Termékbemutató ügynökök
C000374_hu_000	Házaló ügynökök
C000375_hu_000	Telefonos/multimédiás értékesítő ügynökök
C000376_hu_000	Benzinkutasok
C000377_hu_000	Büfések
C000378_hu_000	Máshová nem sorolható értékesítési foglalkozásúak
C000379_hu_000	Személygondozási foglalkozások
C000380_hu_000	Gyermekgondozók és iskolai kisegítők
C000381_hu_000	Gyermekgondozók
C000382_hu_000	Iskolai kisegítők
C000383_hu_000	Személygondozási foglalkozások (egészségügyben)
C000384_hu_000	Kisegítő gondozó személyzet
C000385_hu_000	Otthoni személygondozási foglalkozásúak
C000386_hu_000	Máshová nem sorolható személygondozási foglalkozásúak (egészségügyben)
C000387_hu_000	Védelmi foglalkozások
C000388_hu_000	Védelmi foglalkozások
C000389_hu_000	Tűzoltók
C000390_hu_000	Rendőrök
C000391_hu_000	Börtönőrök
C000392_hu_000	Biztonsági őrök
C000393_hu_000	Máshová nem sorolható védelmi foglalkozások
C000394_hu_000	Szakképesített mezőgazdasági és halászati foglalkozások
C000395_hu_000	Piacra termelő szakképesített mezőgazdasági foglalkozások
C000396_hu_000	Kertészek és növénytermesztők
C000397_hu_000	Szántóföldi növény- és zöldségtermesztők
C000398_hu_000	Csemete- és cserjegondozók
C000399_hu_000	Kertészek, kertészeti és faiskolai kertészek
C000400_hu_000	Vegyes növénytermesztők
C000401_hu_000	Állattenyésztők
C000402_hu_000	Haszonállat-tenyésztők (kivéve a baromfitenyésztőket) és tejtermelők
C000403_hu_000	Baromfitenyésztők
C000404_hu_000	Méhészek és selyemhernyó-tenyésztők
C000405_hu_000	Máshová nem sorolható állattenyésztők
C000406_hu_000	Vegyes gazdálkodók
C000407_hu_000	Vegyes gazdálkodók
C000408_hu_000	Piacra termelő szakképesített erdészeti, halászati és vadászati foglalkozások
C000409_hu_000	Erdészeti és hasonló foglalkozások
C000410_hu_000	Erdészeti és hasonló foglalkozásúak
C000411_hu_000	Halászok, vadászok és vadbefogók
C000412_hu_000	Halgazdálkodók
C000413_hu_000	Belvízi és part menti halászok
C000414_hu_000	Mélytengeri halászok
C000415_hu_000	Vadászok és vadbefogók
C000416_hu_000	Saját szükségletre termelő gazdák, halászok, vadászok és gyűjtögetők
C000417_hu_000	Saját szükségletre termelő növénytermesztők
C000418_hu_000	Saját szükségletre termelő növénytermesztők
C000419_hu_000	Saját szükségletre termelő állattenyésztők
C000420_hu_000	Saját szükségletre termelő állattenyésztők
C000421_hu_000	Saját szükségletre termelő, vegyes gazdálkodók
C000422_hu_000	Saját szükségletre termelő, vegyes gazdálkodók
C000423_hu_000	Saját szükségletre termelő halászok, vadászok és gyűjtögetők
C000424_hu_000	Saját szükségletre termelő halászok, vadászok és gyűjtögetők
C000425_hu_000	Szakképzettséget igénylő ipari foglalkozások
C000426_hu_000	Építőipari és hasonló foglalkozások, kivéve a villanyszerelőket
C000427_hu_000	Épületszerkezet-szerelő és hasonló foglalkozások
C000428_hu_000	Házépítők
C000429_hu_000	Falazókőművesek és hasonló foglalkozásúak
C000430_hu_000	Kőfaragók, -vágók és -törők
C000431_hu_000	Betonozók, vasbetonszerelők és hasonló foglalkozásúak
C000432_hu_000	Ácsok és asztalosok
C000433_hu_000	Máshová nem sorolható épületszerkezet-szerelők és hasonló foglalkozásúak
C000434_hu_000	Építőipari szakipari foglalkozások
C000435_hu_000	Tetőfedők
C000436_hu_000	Burkolók
C000437_hu_000	Stukkó készítők (épületszobrászok)
C000438_hu_000	Szigetelők
C000439_hu_000	Üvegesek
C000440_hu_000	Víz-, gáz- és csővezeték-szerelők
C000441_hu_000	Légkondicionáló- és hűtőberendezés-szerelők
C000442_hu_000	Festők és mázolók, épületszerkezet-tisztítók és hasonló foglalkozások
C000443_hu_000	Festők és hasonló foglalkozásúak
C000444_hu_000	Felületkezelők, fényezők
C000445_hu_000	Épületszerkezet-tisztítók
C000446_hu_000	Fém-, gépipari és hasonló foglalkozások
C000447_hu_000	Fémlemez- és fémszerkezet-készítők, fémöntők, hegesztők, és hasonló foglalkozások
C000448_hu_000	Fémöntőminta- és magkészítők
C000449_hu_000	Hegesztők és lángvágók
C000450_hu_000	Fémlemez-megmunkálók
C000451_hu_000	Fémszerkezet-készítők és -összeállítók
C000452_hu_000	Állványozók, rakományrögzítők és tartószerkezetek szerelői
C000453_hu_000	Kovácsok, szerszámkészítők és hasonló foglalkozások
C000454_hu_000	Kovácsok
C000455_hu_000	Szerszámkészítők és hasonló foglalkozásúak
C000456_hu_000	Fémmegmunkálógép-beállítók és -üzemeltetők
C000457_hu_000	Fémcsiszolók, köszörűsök és szerszámköszörűsök
C000458_hu_000	Gépszerelők és karbantartók
C000459_hu_000	Gépjárműszerelők és -karbantartók
C000460_hu_000	Légijármű-szerelők és -karbantartók
C000461_hu_000	Mezőgazdasági és iparigép-szerelők és -karbantartók
C000462_hu_000	Kerékpárszerelők és hasonló foglalkozásúak
C000463_hu_000	Kézműipari és nyomdaipari foglalkozások
C000464_hu_000	Kézműipari foglalkozások
C000465_hu_000	Precíziósműszer-gyártók és -javítók
C000466_hu_000	Hangszergyártók és hangolók
C000467_hu_000	Ékszerészek és nemesfém-megmunkálók
C000468_hu_000	Fazekasok és hasonló kézművesek
C000469_hu_000	Üvegfújók, -vágók, -csiszolók és -felületkezelők
C000470_hu_000	Címfestők, díszítőfestők, üveg-, réz-, fametszők és -vésők
C000471_hu_000	Famegmunkálók, kosárfonók és hasonló foglalkozásúak
C000472_hu_000	Textil-, bőrművesek és hasonló foglalkozásúak
C000473_hu_000	Máshová nem sorolható kézműipari foglalkozásúak
C000474_hu_000	Nyomdaipari foglalkozások
C000475_hu_000	Nyomtatás-előkészítéssel foglalkozó technikusok
C000476_hu_000	Nyomdászok
C000477_hu_000	Nyomdaipari befejező és könyvkötő foglalkozásúak
C000478_hu_000	Erős- és gyengeáramú villamos ipari szerelők
C000479_hu_000	Erősáramú berendezések szerelői
C000480_hu_000	Építőipari villanyszerelők és hasonló foglalkozásúak
C000481_hu_000	Elektroműszerészek és -szerelők
C000482_hu_000	Elektromosvezeték-szerelők és -javítók
C000483_hu_000	Gyengeáramú és távközlési berendezések szerelői
C000484_hu_000	Elektronikai műszerészek és karbantartók
C000485_hu_000	Információs és kommunikációs technológiai berendezések szerelői
C000486_hu_000	Élelmiszer-, fa-, textilipari és hasonló vegyesipari foglalkozások
C000487_hu_000	Élelmiszer-ipari és hasonló foglalkozások
C000488_hu_000	Hús, hal és hasonló élelmiszerek feldolgozói
C000489_hu_000	Pékek, cukrászok, édességgyártók
C000490_hu_000	Tejfeldolgozók
C000491_hu_000	Gyümölcs, zöldség és hasonló terméktartósítók
C000492_hu_000	Élelmiszer- és italkóstolók és -osztályozók
C000493_hu_000	Dohány- és dohánytermékgyártók
C000494_hu_000	Famegmunkálók, műbútorasztalosok és hasonló foglalkozások
C000495_hu_000	Famegmunkálók
C000496_hu_000	Műbútorasztalosok és hasonló foglalkozásúak
C000497_hu_000	Famegmunkáló gépek beállítói és üzemeltetői
C000498_hu_000	Textilipari foglalkozások
C000499_hu_000	Szabók, szűcsök és kalaposok
C000500_hu_000	Textilszabászok
C000501_hu_000	Varrók, hímzők és hasonló foglalkozásúak
C000502_hu_000	Kárpitosok és hasonló foglalkozásúak
C000503_hu_000	Szőrme- és bőrmegmunkálók
C000504_hu_000	Cipészek és hasonló foglalkozásúak
C000505_hu_000	Más kézműipari és hasonló foglalkozások
C000506_hu_000	Búvárok
C000507_hu_000	Lő- és robbantómesterek
C000508_hu_000	Termékosztályozók és -vizsgálók (kivéve az élelmiszereket)
C000509_hu_000	Kártevőirtók
C000510_hu_000	Máshová nem sorolható kézműipari és hasonló foglalkozásúak
C000511_hu_000	Gépkezelők, összeszerelők és járművezetők
C000512_hu_000	Helyhez kötött berendezések és gépek kezelői
C000513_hu_000	Bányászati és ásványianyag-feldolgozó berendezések kezelői
C000514_hu_000	Bányászok és kőfejtők
C000515_hu_000	Szilárdásványfeldolgozó-gépek kezelői
C000516_hu_000	Kútfúrók és hasonló foglalkozásúak
C000517_hu_000	Cement- és más ásványitermék-gyártó gépek kezelői
