C000001_nl_000	Beroepen bij de strijdkrachten
C000072_nl_000	Industrieel ingenieurs en productie-ingenieurs
C000073_nl_000	Weg- en waterbouwkundig ingenieurs
C000074_nl_000	Milieu-ingenieurs
C000075_nl_000	Werktuigbouwkundig ingenieurs
C000076_nl_000	Chemisch ingenieurs
C000077_nl_000	Mijnbouwingenieurs, metallurgen e.d.
C000078_nl_000	Ingenieurs, niet elders geclassificeerd
C000079_nl_000	Ingenieurs op het gebied van de elektrotechniek, elektronica en telecommunicatie
C000080_nl_000	Elektrotechnisch ingenieurs
C000081_nl_000	Elektronica-ingenieurs
C000082_nl_000	Telecommunicatie-ingenieurs
C000083_nl_000	Architecten, planologen, landmeetkundigen en ontwerpers
C000084_nl_000	Architecten van gebouwen
C000085_nl_000	Landschapsarchitecten
C000086_nl_000	Product- en kledingontwerpers
C000087_nl_000	Stedenbouwkundigen en verkeersplanologen
C000088_nl_000	Cartografen en landmeetkundigen
C000089_nl_000	Grafisch ontwerpers en multimediaontwerpers
C000090_nl_000	Specialisten op het gebied van de gezondheidszorg
C000091_nl_000	Artsen
C000092_nl_000	Huisartsen
C000093_nl_000	Medisch specialisten
C000094_nl_000	Verpleegkundigen met hogere opleiding en verloskundigen
C000095_nl_000	Verpleegkundigen met hogere opleiding
C000096_nl_000	Verloskundigen
C000097_nl_000	Specialisten op het gebied van de traditionele en de alternatieve geneeskunde
C000098_nl_000	Specialisten op het gebied van de traditionele en de alternatieve geneeskunde
C000099_nl_000	Paramedici
C000100_nl_000	Paramedici
C000101_nl_000	Dierenartsen
C000102_nl_000	Dierenartsen
C000103_nl_000	Andere specialisten op het gebied van de gezondheidszorg
C000104_nl_000	Tandartsen
C000105_nl_000	Apothekers
C000106_nl_000	Milieu- en bedrijfsartsen en specialisten op het gebied van de milieu- en arbeidshygiëne
C000107_nl_000	Fysiotherapeuten
C000108_nl_000	Diëtisten en voedingsdeskundigen
C000109_nl_000	Audiologen en logopedisten
C000110_nl_000	Optometristen en orthoptisten
C000111_nl_000	Specialisten op het gebied van de gezondheidszorg, niet elders geclassificeerd
C000112_nl_000	Onderwijsgevenden
C000113_nl_000	Professoren en andere onderwijsgevenden in het hoger onderwijs
C000114_nl_000	Professoren en andere onderwijsgevenden in het hoger onderwijs
C000115_nl_000	Onderwijsgevenden in het beroepsonderwijs
C000116_nl_000	Onderwijsgevenden in het beroepsonderwijs
C000117_nl_000	Onderwijsgevenden in het secundair onderwijs
C000118_nl_000	Onderwijsgevenden in het secundair onderwijs
C000119_nl_000	Onderwijsgevenden in het basisonderwijs en het voorschoolse onderwijs
C000120_nl_000	Onderwijsgevenden in het basisonderwijs
C000121_nl_000	Onderwijsgevenden in het voorschoolse onderwijs
C000122_nl_000	Andere onderwijsgevenden
C000123_nl_000	Specialisten op het gebied van onderwijsmethoden
C000124_nl_000	Onderwijsgevenden speciaal onderwijs
C000125_nl_000	Andere taalleraren
C000126_nl_000	Andere muziekleraren
C000127_nl_000	Andere kunstleraren
C000128_nl_000	Opleiders informatietechnologie
C000129_nl_000	Onderwijsgevenden, niet elders geclassificeerd
C000130_nl_000	Specialisten op het gebied van bedrijfsbeheer en administratie
C000131_nl_000	Specialisten op financieel gebied
C000132_nl_000	Accountants
C000133_nl_000	Financieel en beleggingsadviseurs
C000134_nl_000	Financieel analisten
C000135_nl_000	Specialisten op administratief gebied
C000136_nl_000	Bedrijfs- en organisatieanalisten
C000137_nl_000	Specialisten op het gebied van beleidsadministratie
C000138_nl_000	Specialisten op het gebied van personeelszaken en loopbaanontwikkeling
C000139_nl_000	Specialisten op het gebied van personeelsopleidingen
C000140_nl_000	Specialisten op het gebied van de verkoop, marketing en public relations
C000141_nl_000	Specialisten op het gebied van reclame en marketing
C000142_nl_000	Specialisten op het gebied van public relations
C000143_nl_000	Technisch verkopers en artsenbezoekers (m.u.v. ICT)
C000144_nl_000	Verkopers informatie- en communicatietechnologie
C000145_nl_000	Specialisten op het gebied van informatie- en communicatietechnologie
C000146_nl_000	Software- en applicatieontwikkelaars en -analisten
C000147_nl_000	Systeemanalisten
C000148_nl_000	Softwareontwikkelaars
C000149_nl_000	Web- en multimediaontwikkelaars
C000150_nl_000	Applicatieprogrammeurs
C000151_nl_000	Software- en applicatieontwikkelaars en -analisten, niet elders geclassificeerd
C000152_nl_000	Databank- en netwerkspecialisten
C000153_nl_000	Ontwerpers en beheerders van databanken
C000154_nl_000	Systeembeheerders
C000155_nl_000	Netwerkspecialisten
C000156_nl_000	Databank- en netwerkspecialisten, niet elders geclassificeerd
C000157_nl_000	Juristen, sociaal-wetenschappers en scheppende en uitvoerende kunstenaars
C000158_nl_000	Juristen
C000159_nl_000	Advocaten
C000160_nl_000	Rechters
C000161_nl_000	Juristen, niet elders geclassificeerd
C000162_nl_000	Bibliothecarissen, archivarissen en conservatoren
C000163_nl_000	Archivarissen en conservatoren
C000164_nl_000	Bibliothecarissen e.d.
C000165_nl_000	Sociaal-wetenschappers, theologen en bedienaars van de eredienst
C000166_nl_000	Economen
C000167_nl_000	Sociologen, antropologen e.d.
C000168_nl_000	Filosofen, historici en politicologen
C000169_nl_000	Psychologen
C000170_nl_000	Maatschappelijk werkers en counselors
C000171_nl_000	Theologen en bedienaars van de eredienst
C000172_nl_000	Auteurs, journalisten en taalkundigen
C000173_nl_000	Auteurs e.d.
C000174_nl_000	Journalisten
C000175_nl_000	Vertalers, tolken en andere taalkundigen
C000176_nl_000	Scheppende en uitvoerende kunstenaars
C000177_nl_000	Beeldend kunstenaars
C000178_nl_000	Musici, zangers en componisten
C000179_nl_000	Dansers en choreografen
C000180_nl_000	Regisseurs en producenten voor film en theater e.d.
C000181_nl_000	Acteurs
C000182_nl_000	Omroepers voor radio, televisie en andere media
C000183_nl_000	Scheppende en uitvoerende kunstenaars, niet elders geclassificeerd
C000184_nl_000	Technici en vakspecialisten
C000185_nl_000	Vakspecialisten op het gebied van wetenschap en techniek
C000186_nl_000	Technici op het gebied van de natuurkunde en ingenieurswetenschappen
C000187_nl_000	Technici op chemisch en natuurkundig gebied
C000188_nl_000	Technici op het gebied van weg- en waterbouw
C000189_nl_000	Technici op het gebied van de elektrotechniek
C000190_nl_000	Technici op het gebied van de elektronicatechniek
C000191_nl_000	Technici op het gebied van de werktuigbouwkunde
C000192_nl_000	Technici op het gebied van de chemische techniek
C000193_nl_000	Mijntechnici en technici op metallurgisch gebied
C000194_nl_000	Technisch tekenaars
C000195_nl_000	Technici op het gebied van natuurkunde en ingenieurswetenschappen, niet elders geclassificeerd
C000196_nl_000	Toezichthoudend personeel in de mijnbouw, de industrie en de bouwnijverheid
C000197_nl_000	Toezichthoudend personeel in de mijnbouw
C000198_nl_000	Toezichthoudend personeel in de industrie
C000199_nl_000	Toezichthoudend personeel in de bouwnijverheid
C000200_nl_000	Technici op het gebied van procesbeheer
C000201_nl_000	Bedieningspersoneel elektriciteitscentrales
C000202_nl_000	Bedieningspersoneel verbrandingsovens en waterzuiveringsinstallaties
C000203_nl_000	Bedieningspersoneel chemische installaties
C000204_nl_000	Bedieningspersoneel aardolie- en aardgasraffinaderijen
C000205_nl_000	Procesbeheerders metaalproductie
C000206_nl_000	Technici op het gebied van procesbeheer, niet elders geclassificeerd
C000207_nl_000	Technici en vakspecialisten op het gebied van de biowetenschappen
C000208_nl_000	Technici op het gebied van de biowetenschappen (m.u.v. medisch)
C000209_nl_000	Landbouwtechnici
C000210_nl_000	Bosbouwtechnici
C000211_nl_000	Bestuurders en technici voor schepen en luchtvaartuigen
C000212_nl_000	Scheepswerktuigkundigen
C000213_nl_000	Dekofficieren en loodsen
C000214_nl_000	Piloten e.d.
C000215_nl_000	Luchtverkeersleiders
C000216_nl_000	Elektrotechnicus luchtvaartveiligheid
C000217_nl_000	Vakspecialisten op het gebied van de gezondheidszorg
C000218_nl_000	Technici op medisch en farmaceutisch gebied
C000219_nl_000	Technici voor medische apparatuur
C000220_nl_000	Laboratoriumtechnici (geneeskunde en pathologie)
C000221_nl_000	Farmaceutisch technici en apothekersassistenten
C000222_nl_000	Prothese- en tandtechnici
C000223_nl_000	Verpleegkundigen en assistent-verloskundigen
C000224_nl_000	Verpleegkundigen met middelbare opleiding
C000225_nl_000	Assistent-verloskundigen
C000226_nl_000	Vakspecialisten op het gebied van de traditionele en de alternatieve geneeskunde
C000227_nl_000	Vakspecialisten op het gebied van de traditionele en de alternatieve geneeskunde
C000228_nl_000	Veterinair technici en dierenartsassistenten
C000229_nl_000	Veterinair technici en dierenartsassistenten
C000230_nl_000	Andere vakspecialisten op het gebied van de gezondheidszorg
C000231_nl_000	Tandartsassistenten en mondhygiënisten
C000232_nl_000	Technici op het gebied van medische dossiers en gezondheidsvoorlichting
C000233_nl_000	Vakspecialisten basisgezondheidszorg
C000234_nl_000	Opticiens
C000235_nl_000	Technici en assistenten op het gebied van de fysiotherapie
C000236_nl_000	Medisch assistenten
C000237_nl_000	Milieu-inspecteurs, inspecteurs arbeidshygiëne e.d.
C000238_nl_000	Ambulancepersoneel
C000239_nl_000	Vakspecialisten op het gebied van de gezondheidszorg, niet elders geclassificeerd
C000240_nl_000	Vakspecialisten op het gebied van bedrijfsbeheer en administratie
C000241_nl_000	Vakspecialisten op financieel en wiskundig gebied
C000242_nl_000	Effecten- en valutahandelaren en -makelaars
C000243_nl_000	Medewerkers kredieten en leningen
C000244_nl_000	Vakspecialisten boekhouding
C000245_nl_000	Vakspecialisten op statistisch en wiskundig gebied e.d.
C000246_nl_000	Taxateurs en schadebeoordelaars
C000247_nl_000	In- en verkopers en makelaars
C000248_nl_000	Verzekeringsagenten
C000249_nl_000	Vertegenwoordigers
C000250_nl_000	Inkopers
C000251_nl_000	Commissionairs
C000252_nl_000	Zakelijke dienstverleners
C000253_nl_000	Inklaringsagenten en expediteurs
C000254_nl_000	Organisatoren van conferenties en evenementen
C000255_nl_000	Arbeidsbemiddelaars en uitzendbureaumedewerkers
C000256_nl_000	Onroerendgoedmakelaars en beheerders van onroerend goed
C000257_nl_000	Zakelijke dienstverleners, niet elders geclassificeerd
C000258_nl_000	Administratief secretarissen en gespecialiseerde secretarissen
C000259_nl_000	Kantoorchefs
C000260_nl_000	Juridische secretarissen
C000261_nl_000	Administratief secretarissen en uitvoerende secretarissen
C000262_nl_000	Medische secretarissen
C000263_nl_000	Vakspecialisten bij de overheid
C000264_nl_000	Douane-inspecteurs en grensbewakers
C000265_nl_000	Ambtenaren: belastingen en accijnzen
C000266_nl_000	Ambtenaren: sociale dienst
C000267_nl_000	Ambtenaren: vergunningen
C000268_nl_000	Inspecteurs van politie en rechercheurs
C000269_nl_000	Vakspecialisten bij de overheid, niet elders geclassificeerd
C000270_nl_000	Vakspecialisten op juridisch, maatschappelijk en cultureel gebied
C000271_nl_000	Vakspecialisten op juridisch, maatschappelijk en religieus gebied
C000272_nl_000	Vakspecialisten op juridisch gebied e.d.
C000273_nl_000	Vakspecialisten op het gebied van maatschappelijk werk
C000274_nl_000	Lagere functies op religieus gebied
C000275_nl_000	Vakspecialisten op het gebied van sport en fitness
C000276_nl_000	Atleten en andere sportbeoefenaren
C000277_nl_000	Trainers, oefenmeesters en sportfunctionarissen
C000278_nl_000	Fitnessinstructeurs en leiders van recreatieprogramma’s
C000279_nl_000	Vakspecialisten op artistiek, cultureel en culinair gebied
C000280_nl_000	Fotografen
C000281_nl_000	Interieurontwerpers en decorateurs
C000282_nl_000	Technici in galerieën, musea en bibliotheken
C000283_nl_000	Chef-koks
C000284_nl_000	Andere vakspecialisten op artistiek en cultureel gebied
C000285_nl_000	Technici op het gebied van informatie en communicatie
C000286_nl_000	Technici voor de werking van informatie- en communicatietechnologie en voor gebruikersondersteuning
C000287_nl_000	Technici voor de werking van informatie- en communicatietechnologie
C000288_nl_000	Technici voor informatie- en communicatietechnologie: gebruikersondersteuning
C000289_nl_000	Netwerk- en systeemtechnici
C000290_nl_000	Webtechnici
C000291_nl_000	Telecommunicatie-, radio- en televisietechnici
C000292_nl_000	Radio- en televisietechnici en audiovisueel technici
C000293_nl_000	Telecommunicatietechnici
C000294_nl_000	Administratief personeel
C000295_nl_000	Administratieve medewerkers
C000296_nl_000	Administratieve medewerkers, algemeen
C000297_nl_000	Administratieve medewerkers, algemeen
C000298_nl_000	Secretariaatsmedewerkers, algemeen
C000299_nl_000	Secretariaatsmedewerkers, algemeen
C000300_nl_000	Toetsenbordwerkers
C000301_nl_000	Typisten en bedieningspersoneel tekstverwerkers
C000302_nl_000	Gegevensinvoerders
C000303_nl_000	Klanten bedienend personeel
C000304_nl_000	Kasbedienden, incasseerders e.d.
C000305_nl_000	Kasbedienden e.d.
C000306_nl_000	Bookmakers, croupiers e.d.
C000307_nl_000	Lommerdhouders en geldschieters
C000308_nl_000	Incasseerders e.d.
C000309_nl_000	Klantenvoorlichters
C000310_nl_000	Reisconsulenten en reisbureaumedewerkers
C000311_nl_000	Callcentermedewerkers, inkomende berichten
C000312_nl_000	Telefonisten
C000313_nl_000	Hotelreceptionisten
C000314_nl_000	Informatieverstrekkers
C000315_nl_000	Receptionisten, algemeen
C000316_nl_000	Interviewers voor enquêtes en marktonderzoek
C000317_nl_000	Klantenvoorlichters, niet elders geclassificeerd
C000318_nl_000	Boekhoudkundige medewerkers en voorraadbeheerders
C000319_nl_000	Boekhoudkundige medewerkers e.d.
C000320_nl_000	Boekhoudkundige medewerkers
C000321_nl_000	Administratief personeel statistiek, financiën en verzekeringen
C000322_nl_000	Loonadministrateurs
C000323_nl_000	Voorraadbeheerders en medewerkers logistiek
C000324_nl_000	Administratief magazijnpersoneel
C000325_nl_000	Administratief productiepersoneel
C000326_nl_000	Administratief transportpersoneel
C000327_nl_000	Ander administratief personeel
C000328_nl_000	Ander administratief personeel
C000329_nl_000	Bibliotheekmedewerkers
C000330_nl_000	Postboden en postsorteerders
C000331_nl_000	Codeurs, correctoren e.d.
C000332_nl_000	Openbare schrijvers e.d.
C000333_nl_000	Archiverings- en kopieermedewerkers
C000334_nl_000	Medewerkers personeelsafdeling
C000335_nl_000	Administratief personeel, niet elders geclassificeerd
C000336_nl_000	Dienstverlenend personeel en verkopers
C000337_nl_000	Verleners persoonlijke diensten
C000338_nl_000	Reisbegeleiders, conducteurs, reisleiders en gidsen
C000339_nl_000	Reisbegeleiders en stewards
C000340_nl_000	Conducteurs
C000341_nl_000	Reisleiders en gidsen
C000342_nl_000	Koks
C000343_nl_000	Koks
C000344_nl_000	Kelners en barpersoneel
C000345_nl_000	Kelners
C000346_nl_000	Barpersoneel
C000347_nl_000	Kappers, schoonheidsspecialisten e.d.
C000348_nl_000	Kappers
C000349_nl_000	Schoonheidsspecialisten e.d.
C000350_nl_000	Toezichthouders huishoudelijk personeel, conciërges
C000351_nl_000	Toezichthouders huishoudelijk en reinigingspersoneel in kantoren, hotels e.d.
C000352_nl_000	Huishoud(st)ers in privéhuishoudens
C000353_nl_000	Conciërges
C000354_nl_000	Andere verleners van persoonlijke diensten
C000355_nl_000	Astrologen, waarzeggers e.d.
C000356_nl_000	Gezelschapspersonen en persoonlijke bedienden
C000357_nl_000	Uitvaartmedewerkers en balsemers
C000358_nl_000	Dierenverzorgers
C000359_nl_000	Rijinstructeurs
C000360_nl_000	Verleners van persoonlijke diensten, niet elders geclassificeerd
C000361_nl_000	Verkopers
C000362_nl_000	Straat- en markthandelaars
C000363_nl_000	Verkopers in kramen en op markten
C000364_nl_000	Straathandelaars met voedsel
C000365_nl_000	Verkopers in winkels
C000366_nl_000	Winkeliers
C000367_nl_000	Toezichthoudend personeel in winkels
C000368_nl_000	Verkoopmedewerkers
C000369_nl_000	Kassabedienden en kaartverkopers
C000370_nl_000	Kassabedienden en kaartverkopers
C000371_nl_000	Andere verkopers
C000372_nl_000	Mannequins en modellen
C000373_nl_000	Demonstrateurs
C000374_nl_000	Colporteurs
C000375_nl_000	Televerkopers
C000376_nl_000	Pompbedienden
C000377_nl_000	Verkopers in fastfoodrestaurants en snackbars
C000378_nl_000	Verkopers, niet elders geclassificeerd
C000379_nl_000	Verzorgend personeel
C000380_nl_000	Kinderverzorgers en onderwijsassistenten
C000381_nl_000	Kinderverzorgers
C000382_nl_000	Onderwijsassistenten
C000383_nl_000	Verzorgend personeel in de gezondheidszorg
C000384_nl_000	Ziekenverzorgers
C000385_nl_000	Thuishulpwerkers
C000386_nl_000	Verzorgend personeel in de gezondheidszorg, niet elders geclassificeerd
C000387_nl_000	Veiligheidswerkers
C000388_nl_000	Veiligheidswerkers
C000389_nl_000	Brandweerlieden
C000390_nl_000	Politiepersoneel
C000391_nl_000	Gevangenbewaarders
C000392_nl_000	Beveiligingspersoneel
C000393_nl_000	Veiligheidswerkers, niet elders geclassificeerd
C000394_nl_000	Geschoolde landbouwers, bosbouwers en vissers
C000395_nl_000	Voor de markt producerende geschoolde landbouwers
C000396_nl_000	Tuinders en akkerbouwers
C000397_nl_000	Akkerbouwers en groentetelers
C000398_nl_000	Fruittelers
C000399_nl_000	Tuinders en kwekers
C000400_nl_000	Telers van diverse gewassen
C000401_nl_000	Veetelers
C000402_nl_000	Melkveehouders en andere rundveehouders
C000403_nl_000	Pluimveehouders
C000404_nl_000	Bijenhouders en zijderupstelers
C000405_nl_000	Veetelers, niet elders geclassificeerd
C000406_nl_000	Producenten met een gemengd bedrijf
C000407_nl_000	Producenten met een gemengd bedrijf
C000408_nl_000	Voor de markt producerende geschoolde bosbouwers, vissers en jagers
C000409_nl_000	Bosbouwers e.d.
C000410_nl_000	Bosbouwers e.d.
C000411_nl_000	Vissers, jagers en vallenzetters
C000412_nl_000	Viskwekers
C000413_nl_000	Vissers, binnen- en kustwateren
C000414_nl_000	Vissers, volle zee
C000415_nl_000	Jagers en vallenzetters
C000416_nl_000	Landbouwers, veetelers, vissers, jagers en verzamelaars, voor zelfvoorziening
C000417_nl_000	Landbouwers, voor zelfvoorziening
C000418_nl_000	Landbouwers, voor zelfvoorziening
C000419_nl_000	Veetelers, voor zelfvoorziening
C000420_nl_000	Veetelers, voor zelfvoorziening
C000421_nl_000	Producenten met een gemengd bedrijf, voor zelfvoorziening
C000422_nl_000	Producenten met een gemengd bedrijf, voor zelfvoorziening
C000423_nl_000	Vissers, jagers, vallenzetters en verzamelaars, voor zelfvoorziening
C000424_nl_000	Vissers, jagers, vallenzetters en verzamelaars, voor zelfvoorziening
C000425_nl_000	Ambachtslieden
C000426_nl_000	Bouwarbeiders, m.u.v. elektriciens
C000427_nl_000	Bouwarbeiders ruwbouw
C000428_nl_000	Allround bouwvakkers, kleine bouwaannemers
C000429_nl_000	Metselaars e.d.
C000430_nl_000	Steenhouwers, steensplijters en steensnijders
C000431_nl_000	Betonwerkers, betonafwerkers e.d.
C000432_nl_000	Timmerlieden
C000433_nl_000	Bouwarbeiders ruwbouw, niet elders geclassificeerd
C000434_nl_000	Bouwarbeiders afbouw
C000435_nl_000	Dakdekkers
C000436_nl_000	Vloerleggers en tegelzetters
C000437_nl_000	Stukadoors
C000438_nl_000	Isoleerders
C000439_nl_000	Glaszetters
C000440_nl_000	Loodgieters
C000441_nl_000	Installateurs van toestellen voor klimaatregeling en koeltechniek
C000442_nl_000	Schilders, schoonmakers bouwwerken e.d.
C000443_nl_000	Schilders e.d.
C000444_nl_000	Verf- en lakspuiters
C000445_nl_000	Schoonmakers bouwwerken
C000446_nl_000	Metaalarbeiders, machinemonteurs e.d.
C000447_nl_000	Plaat- en constructiewerkers, metaalgieters en lassers e.d.
C000448_nl_000	Metaalgieters en kernmakers
C000449_nl_000	Lassers en snijders
C000450_nl_000	Plaatwerkers
C000451_nl_000	Constructiewerkers
C000452_nl_000	Kraanmonteurs en kabellassers
C000453_nl_000	Smeden, gereedschapsmakers e.d.
C000454_nl_000	Smeden, voorslagers en smeedperswerkers
C000455_nl_000	Gereedschapsmakers e.d.
C000456_nl_000	Instellers en bedieningspersoneel gereedschapswerktuigen
C000457_nl_000	Metaalpolijsters, gereedschapslijpers e.d.
C000458_nl_000	Machinemonteurs, montage en reparatie
C000459_nl_000	Automonteurs
C000460_nl_000	Vliegtuigmonteurs
C000461_nl_000	Monteurs industriële en landbouwmachines
C000462_nl_000	Rijwielmonteurs e.d.
C000463_nl_000	Ambachtslieden en drukkerijmedewerkers
C000464_nl_000	Ambachtslieden
C000465_nl_000	Vervaardigers en reparateurs van precisie-instrumenten
C000466_nl_000	Vervaardigers en stemmers van muziekinstrumenten
C000467_nl_000	Juweliers en bewerkers van edele metalen
C000468_nl_000	Pottenbakkers e.d.
C000469_nl_000	Glasblazers, -snijders, -slijpers en -polijsters
C000470_nl_000	Letterschilders, decoratieschilders, graveurs en etsers
C000471_nl_000	Ambachtslieden werkend met hout, vlechtwerk e.d.
C000472_nl_000	Ambachtslieden werkend met textiel, leder e.d.
C000473_nl_000	Ambachtslieden, niet elders geclassificeerd
C000474_nl_000	Drukkerijmedewerkers
C000475_nl_000	Prepresstechnici
C000476_nl_000	Drukkers
C000477_nl_000	Afwerkers van drukwerk en boekbinders
C000478_nl_000	Elektriciens en elektronicamonteurs
C000479_nl_000	Installateurs en reparateurs van elektrische apparatuur
C000480_nl_000	Bouwelektriciens e.d.
C000481_nl_000	Installateurs van elektrische apparatuur
C000482_nl_000	Installateurs en reparateurs van elektriciteitsleidingen
C000483_nl_000	Installateurs en reparateurs van elektronische en telecommunicatieapparatuur
C000484_nl_000	Installateurs en onderhoudsmonteurs op het gebied van de elektronica
C000485_nl_000	Installateurs en onderhoudsmonteurs op het gebied van de informatie- en communicatietechnologie
C000486_nl_000	Voedselverwerkende beroepen, houtwerkers, kleermakers en andere ambachtslieden
C000487_nl_000	Voedselverwerkende beroepen e.d.
C000488_nl_000	Slagers, vishandelaren e.d.
C000489_nl_000	Bakkers en banketbakkers
C000490_nl_000	Zuivelbereiders
C000491_nl_000	Bereiders van groente- en fruitconserven
C000492_nl_000	Proevers en klasseerders van voedingsmiddelen en dranken
C000493_nl_000	Tabaksbereiders en vervaardigers van tabaksproducten
C000494_nl_000	Houtbehandelaars, meubelmakers e.d.
C000495_nl_000	Houtbehandelaars
C000496_nl_000	Meubelmakers e.d.
C000497_nl_000	Instellers en bedieningspersoneel houtbewerkingsmachines
C000498_nl_000	Kleermakers, stoffeerders, schoenmakers e.d.
C000499_nl_000	Kleermakers, bontwerkers en hoedenmakers
C000500_nl_000	Patroonmakers en snijders voor kleding e.d.
C000501_nl_000	Naaisters, borduursters e.d.
C000502_nl_000	Stoffeerders e.d.
C000503_nl_000	Pelsbereiders en leerlooiers
C000504_nl_000	Schoenmakers e.d.
C000505_nl_000	Andere ambachtslieden e.d.
C000506_nl_000	Duikers
C000507_nl_000	Schietmeesters en schiethouwers
C000508_nl_000	Klasseerders en testers (m.u.v. voedingsmiddelen en dranken)
C000509_nl_000	Ontsmetters en bestrijders van onkruid en ongedierte
C000510_nl_000	Ambachtslieden, niet elders geclassificeerd
C000511_nl_000	Bedieningspersoneel van machines en installaties, assembleurs
C000512_nl_000	Bedieningspersoneel van stationaire machines en installaties
C000513_nl_000	Bedieningspersoneel van mijninstallaties en installaties voor de verwerking van mineralen
C000514_nl_000	Mijnwerkers en arbeiders in steengroeven
C000515_nl_000	Bedieningspersoneel van installaties voor de verwerking van mineralen en gesteente
C000516_nl_000	Boorders van bronnen e.d.
C000517_nl_000	Bedieningspersoneel van machines voor de vervaardiging van cement, stenen en andere minerale producten.
C000518_nl_000	Bedieningspersoneel van metaalbewerkings- en metaalverwerkingsinstallaties en van installaties voor de oppervlaktebehandeling van metalen
C000519_nl_000	Bedieningspersoneel van metaalbewerkings- en metaalverwerkingsinstallaties
