Q000001	adjunct al procurorului general
Q000091	presedinte organizatie sindicala
Q000092	vicepresedinte organizatie sindicala
Q000093	secretar organizatie sindicala
Q000094	delegat sindical
Q000095	presedinte asociatie nationala cooperatista
Q000096	vicepresedinte asociatie nationala cooperatista
Q000097	secretar general asociatie nationala cooperatista
Q000098	presedinte asociatie teritoriala de organizatii cooperatiste
Q000099	vicepresedinte asociatie teritoriala de organizatii cooperatiste
Q000100	secretar asociatie teritoriala de organizatii cooperatiste
Q000101	sef departament organizatie sindicala
Q000102	presedinte organizatie cooperatista
Q000103	vicepresedinte organizatie cooperatista
Q000104	presedinte asociatie patronala
Q000105	vicepresedinte asociatie patronala
Q000106	presedinte organizatie profesionala nationala
Q000107	vicepresedinte organizatie profesionala nationala
Q000108	secretar national organizatie profesionala nationala
Q000109	presedinte organizatie profesionala, filiala judeteana/ municipiu
Q000110	vicepresedinte organizatie profesionala, filiala judeteana/ municipiu
Q000111	secretar organizatie profesionala, filiala judeteana/ municipiu
Q000112	consilier presedinte organizatie profesionala nationala
Q000113	consilier   presedinte   organizatie   profesionala,   filiala   judeteana/municipiu
Q000114	sef  departament/  compartiment/  presedinte  comisie  organizatieprofesionala, filiala judeteana/ municipiu
Q000115	delegat sindical local
Q000116	conducator de organizatii umanitare
Q000117	secretar al organizatiilor umanitare
Q000118	comandant/ comandant adjunct aviatie
Q000119	comandant port, flota
Q000120	decan, rector, prorector, prodecan
Q000121	director societate comerciala
Q000122	director adjunct societate comerciala
Q000123	medic (farmacist) director
Q000124	medic (farmacist) director adjunct
Q000125	director general societate comerciala
Q000126	director general adjunct societate comerciala
Q000127	director de program
Q000128	director general regie autonoma
Q000129	director general adjunct regie autonoma
Q000130	director comercial
Q000131	director vanzari
Q000132	director/ director adjunct, inspector-sef
Q000133	director economic
Q000134	director magazin
Q000135	sef corp executori bancari
Q000136	director sucursala
Q000137	director tehnic
Q000138	director general institut national de cercetare-dezvoltare
Q000139	director incubator tehnologic de afaceri
Q000140	director departament cercetare-dezvoltare
Q000141	manager general
Q000142	manager
Q000143	sef cancelarie
Q000144	director de societate comerciala agricola
Q000145	antreprenor in economia sociala
Q000146	director resurse umane
Q000147	inspector scolar general adjunct
Q000148	director casa corpului didactic
Q000149	manager de intreprindere sociala
Q000150	director dezvoltare afacere in domeniul agroalimentar
Q000151	manager in servicii sociale
Q000152	presedinte banca/ vicepresedinte/ prim-vicepresedinte
Q000153	economist-sef
Q000154	director general/ director general adjunct banca/ societate de leasing
Q000155	director executiv banca/ director/director adjunct
Q000156	sef departament  banca/ sef-adjunct departament
Q000157	sef proiect banca
Q000158	sef serviciu/ sef birou/ banca/ societate de leasing
Q000159	coordonator compartiment/ colectiv banca
Q000160	dealer-sef (arbitragist banca)
Q000161	director   unitate   bancara   operationala/   director   adjunct   unitatebancara  operationala
Q000162	sef agentie bancara
Q000163	director de arhiva banca
Q000164	director/ director executiv conformitate
Q000165	coordonator conformitate
Q000166	manager securitatea informatiei (Chief Information Security Officer -CISO)
Q000167	comisar sef divizie Garda Financiara
Q000168	controlor financiar
Q000169	sef agentie CEC
Q000170	sef birou/ serviciu/ sectie circumscriptie financiara
Q000171	sef birou/ serviciu financiar-contabilitate
Q000172	manager financiar
Q000173	manager relatii financiare externe
Q000174	sef birou financiar
Q000175	sef birou contabilitate
Q000176	sef birou analize economice
Q000177	auditor public extern
Q000178	sef birou calificare si recalificare
Q000179	sef birou somaj
Q000180	sef oficiu somaj
Q000181	sef serviciu resurse umane
Q000182	sef serviciu evaluarea resurselor de munca
Q000183	manager resurse umane
Q000184	sef centru perfectionare
Q000185	sef birou resurse umane
Q000186	sef birou organizatie politica, obsteasca, umanitara
Q000187	sef serviciu organizatie politica, obsteasca, umanitara
Q000188	inspector protectie civila
Q000189	sef executiv audit intern
Q000190	manager informatii pentru afaceri
Q000191	manager pentru ordine si siguranta publica
Q000192	sef birou corp control
Q000193	sef serviciu
Q000194	sef atelier
Q000195	sef sectie
Q000196	sef birou
Q000197	procuror sef birou/ serviciu
Q000198	sef birou/ serviciu administrativ
Q000199	registrator coordonator
Q000200	registrator-sef
Q000201	grefier-sef (judecatorie, parchet)
Q000202	grefier sef de sectie (curte de apel, tribunal, parchete)
Q000203	prim-grefier
Q000204	sef laborator criminalistica
Q000205	sef proces fabricatie
Q000206	sef sectiune tehnica
Q000207	sef linie fabricatie
Q000208	sef serviciu marketing
Q000209	sef birou marketing
Q000210	director operatii tranzactii
Q000211	sef casa compensatie
Q000212	sef agentie bursiera
Q000213	manager marketing (tarife, contracte, achizitii)
Q000214	conducator firma mica - patron (girant) in afaceri, intermedieri si alteservicii comerciale
Q000215	responsabil produs
Q000216	sef agentie reclama publicitara
Q000217	sef birou reclama publicitara
Q000218	sef serviciu reclama publicitara
Q000219	geolog-sef
Q000220	sef formatie cercetare-dezvoltare
Q000221	meteorolog-sef
Q000222	director filiala cercetare-proiectare
Q000223	sef atelier editie, multiplicare, expeditie
Q000224	sef proiect cercetare-proiectare
Q000225	sef sectie cercetare-proiectare
Q000226	sef atelier cercetare-proiectare
Q000227	inspector-sef inspectia meteorologica nationala
Q000228	hidrometeorolog-sef
Q000229	inginer-sef agricultura si silvicultura
Q000230	inspector general vanatoare
Q000231	medic veterinar sef
Q000232	sef centru protectia plantelor si mediului
Q000233	sef centru reproductia si selectia animalelor
Q000234	sef district, centru, ocol silvic
Q000235	sef circumscriptie sanitar-veterinara si control al alimentelor
Q000236	sef complex zootehnic
Q000237	sef fazanerie
Q000238	sef ferma agricola (agrozootehnica)
Q000239	sef laborator analize pedologice
Q000240	sef parchet
Q000241	sef pepiniera silvicola, pomicola, viticola
Q000242	sef statie hidrologica, meteorologica si incubatie
Q000243	sef statie productie, exploatare, intretinere in agricultura
Q000244	sef statie vinificatie
Q000245	sef statie lucrari de irigatie si ameliorare a solului
Q000246	inspector veterinar sef
Q000247	sef sectie mecanizare
Q000248	conducator  intreprindere  mica  -  patron  (girant)  in  agricultura  sisilvicultura
Q000249	inginer-sef piscicultura si vanatoare
Q000250	conducator  intreprindere  mica  -  patron  (girant)  in  piscicultura  sivanatoare
Q000251	inginer-sef industria prelucratoare
Q000252	manager securitate instalatii industria prelucratoare
Q000253	conducator    intreprindere    mica    -    patron    (girant)    industrieprelucratoare
Q000254	sef birou tehnic
Q000255	sef birou calitate
Q000256	sef serviciu plan productie
Q000257	sef structura de securitate
Q000258	inginer-sef industria extractiva
Q000259	sef atelier industria extractiva
Q000260	sef sector industria extractiva
Q000261	sef modul in industria extractiva
Q000262	sef sectie industrie extractiva
Q000263	sef serviciu industrie extractiva
Q000264	sef birou industrie extractiva
Q000265	manager securitate instalatii industria extractiva
Q000266	conducator intreprindere mica - patron (girant) industrie extractiva
Q000267	inginer- sef radioprotectie
Q000268	sef unitati miniere
Q000269	sef centru prelucrare
Q000270	sef serviciu termochimic
Q000271	sef atelier reparatii capitale
Q000272	inspector general industria petroliera
Q000273	sef formatie industria petroliera/ petrochimica
Q000274	sef instalatie petroliera
Q000275	sef laborator industria petroliera
Q000276	sef statie epurare ape reziduale
Q000277	sef formatie in industria de masini si echipamente
Q000278	sef dispecer energetic teritorial (DET)
Q000279	sef formatie la fabricarea armamentului si munitiei
Q000280	sef schimb
Q000281	sef formatie
Q000282	ajutor sef brigada in constructii
Q000283	inginer- sef in constructii
Q000284	sef atelier in constructii
Q000285	sef brigada complexa sau specializata
Q000286	sef laborator in constructii
Q000287	sef lot
Q000288	sef santier
Q000289	sef sector (sectie) drumuri-poduri
Q000290	sef sectie productie, exploatare, intretinere, reparatii in constructii silucrari publice
Q000291	sef serviciu in constructii
Q000292	sef birou in constructii
Q000293	conducator intreprindere mica - patron (girant) in constructii
Q000294	capitan- sef port
Q000295	director zbor
Q000296	sef agentie navala
Q000297	sef atelier aeroport
Q000298	sef atelier transporturi
Q000299	sef autobaza
Q000300	sef birou aeroport
Q000301	sef birou/ serviciu transport maritim si fluvial
Q000302	sef coloana auto
Q000303	sef depou/ adjunct
Q000304	sef district cai ferate, poduri, drumuri
Q000305	sef divizie cai ferate
Q000306	sef laborator aeroport
Q000307	sef port
Q000308	sef regulator circulatie cai ferate
Q000309	sef serviciu filiala Administratia Filiala Dunarea de Jos
Q000310	sef statie cai ferate
Q000311	sef statie teleferic
Q000312	sef agentie pilotaj
Q000313	sef cart
Q000314	sef garaj
Q000315	comandant instructor
Q000316	sef mecanic instructor
Q000317	sef mecanic maritim/ fluvial
Q000318	sef electrician maritim
Q000319	sef atelier reparatii
Q000320	conducator activitate de transport rutier
Q000321	sef trafic auto intern
Q000322	sef trafic curierat intern
Q000323	sef departament logistica
Q000324	sef depozit
Q000325	sef siloz
Q000326	sef statie uscare-conditionare cereale
Q000327	manager achizitii
Q000328	manager farmacii
Q000329	manager aprovizionare
Q000330	manager relatia cu furnizorii
Q000331	conducator intreprindere mica - patron (girant) in transporturi
Q000332	sef birou import-export
Q000333	manager sisteme de transport
Q000334	sef statie OTF (operator transport feroviar)
Q000335	sef oficiu de calcul
Q000336	sef atelier informatica
Q000337	sef laborator informatica
Q000338	director divizie informatica
Q000339	director departament informatica
Q000340	conducator de intreprindere mica - patron (girant) in informatica
Q000341	sef atelier telecomunicatii
Q000342	sef birou exploatare postala
Q000343	sef birou radiotelecomunicatii
Q000344	sef centrala telefonica
Q000345	sef centru control calitate emisie radiofonica
Q000346	sef centru control calitate emisie televiziune
Q000347	sef centru control local comunicatii
Q000348	sef centru dirijare zbor
Q000349	sef centru postal
Q000350	sef centru (sectie, sector) radiodifuziune
Q000351	sef centru (sectie, sector) telecomunicatii
Q000352	sef centru zonal interventii radiorelee
Q000353	sef centru zonal de interventii translatare TV
Q000354	sef formatie comunicatii
Q000355	sef formatie operationala telecomunicatii
Q000356	sef laborator masuratori telecomunicatii
Q000357	sef laborator radioteleviziune
Q000358	sef laborator telecomunicatii
Q000359	sef lot telecomunicatii
Q000360	sef retea telecomunicatii
Q000361	sef serviciu control zonal comunicatii
Q000362	sef serviciu exploatare postala
Q000363	sef serviciu radiotelecomunicatii
Q000364	sef statie comunicatii prin satelit
Q000365	sef statie radiorelee
Q000366	telefonist- sef
Q000367	telegrafist- sef
Q000368	sef oficiu zonal posta
Q000369	sef oficiu special posta
Q000370	diriginte oficiu telecomunicatii
Q000371	sef turn telecomunicatii
Q000372	sef statie radiotelegrafie (RTG)
Q000373	conducator intreprindere mica - patron (girant) in comunicatii
Q000374	asistent medical sef
Q000375	biochimist sef sectie, laborator
Q000376	biolog sef sectie, laborator
Q000377	chimist sef sectie, laborator
Q000378	farmacist sef sectie, laborator
Q000379	farmacist diriginte
Q000380	laborant medical sef
Q000381	medic- sef (policlinica, statie de salvare, centru de recoltare sange)
Q000382	medic sef sectie, laborator
Q000383	moasa-sefa
Q000384	oficiant medical sef
Q000385	psiholog sef sectie, laborator
Q000386	sora medicala sefa
Q000387	tehnician sanitar sef
Q000388	sef serviciu de reintegrare sociala si supraveghere
Q000389	conducator de intreprindere mica - patron (girant) in sanatate
Q000390	conducator tabara scolara
Q000391	director unitate de invatamant
Q000392	secretar stiintific invatamant, cercetare
Q000393	sef lectorat
Q000394	sef catedra
Q000395	conducator de intreprindere mica - patron (girant) in invatamant
Q000396	director palate si cluburi ale elevilor
Q000397	director club sportiv scolar
Q000398	sef serviciu/ sef birou asigurari
Q000399	sef serviciu/ sef birou daune
Q000400	sef  atelier  reparatii  obiecte  de  uz  casnic,  curatatorii  si  alte  serviciipentru populatie
Q000401	sef centru dezinfectie, deratizare si dezinsectie
Q000402	coordonator presa
Q000403	librar - sef
Q000404	conducator intreprindere mica - patron (girant) in prestari servicii
Q000405	redactor- sef presa, editura
Q000406	secretar general agentie presa, editura
Q000407	secretar general redactie
Q000408	sef birou exploatare, coordonare presa
Q000409	sef birou redactie
Q000410	sef birou relatii unitati presa
Q000411	sef oficiu juridic
Q000412	sef oficiu, serviciu, sectie, redactie
Q000413	producator executiv TV
Q000414	manager servicii private de securitate
Q000415	conducator intreprindere mica - patron (girant) in activitatea hotelierasi restaurante
Q000416	sef complex hotelier
Q000417	sef unitate balneoclimaterica
Q000418	administrator hotel
Q000419	director de hotel
Q000420	director de motel
Q000421	director de camping
Q000422	director de popas turistic
Q000423	director restaurant
Q000424	director rotiserie
Q000425	director braserie
Q000426	director berarie
Q000427	director gradina de vara
Q000428	director bar
Q000429	director cafenea
Q000430	director disco-bar
Q000431	director unitati tip fast-food
Q000432	director cofetarie, patiserie
Q000433	director de club (hotelier)
Q000434	director de cazare
Q000435	sef restaurant
Q000436	director de departament alimentatie
Q000437	director de departament catering
Q000438	presedinte cooperativa de consum
Q000439	sef baza receptie
Q000440	vicepresedinte cooperativa de consum
Q000441	sef statie PECO
Q000442	manager de zona
Q000443	inginer sef firme de afaceri si alte servicii comerciale
Q000444	conducator intreprindere mica - patron (girant) in comert
Q000445	antrenor federatie sportiva
Q000446	comandant aeroclub
Q000447	director asezamant cultural
Q000448	manager al organizatiei culturale
Q000449	presedinte complex, club sportiv
Q000450	sef agentie concursuri hipice
Q000451	sef productie film
Q000452	sef sectie productie film
Q000453	sef atelier productie film
Q000454	sef oficiu interjudetean difuzare film
Q000455	conducator de intreprindere mica - patron (girant) in sport
Q000456	administrator structuri sportive
Q000457	sef atelier decorator
Q000458	sef agentie/ oficiu turism
Q000459	sef unitate elementara de lucru
Q000460	sef atelier presa
Q000461	sef laborator conservare-restaurare opere de arta
Q000462	sef serviciu control tehnic presa
Q000463	manager in activitatea de turism
Q000464	director  de  agentie  de  turism  tour-operatoare/  detailista/  filiala/sucursala
Q000465	director centru informare turistica
Q000466	director de departament organizare evenimente
Q000467	conducator de pensiune turistica (rurala, agroturistica, montana)
Q000468	sef serviciu statie, tura meteo
Q000469	sef centru meteo aeronautic
Q000470	sef birou/ statie/ tura meteo aeronautic/ de aerodrom
Q000471	sef   Centru   National   pentru   Protectia   Meteorologica   a   NavigatieiAeriene
Q000472	sef  echipa  interventii  si  supraveghere  echipamente  in  serviciile  detrafic aerian
Q000473	director de departament ticketing
Q000474	manager destinatie turistica
Q000475	fizician
Q000476	cercetator in fizica
Q000477	asistent de cercetare in fizica
Q000478	cercetator in fizica-chimie
Q000479	asistent de cercetare in fizica-chimie
Q000480	cercetator in fizica tehnologica
Q000481	asistent de cercetare in fizica tehnologica
Q000482	cercetator in astronomie
Q000483	asistent de cercetare in astronomie
Q000484	cercetator de aeronave
Q000485	inginer de cercetare de aeronave
Q000486	asistent de cercetare de aeronave
Q000487	cercetator in constructii aerospatiale
Q000488	inginer de cercetare in constructii aerospatiale
Q000489	asistent de cercetare in constructii aerospatiale
Q000490	meteorolog (studii superioare)
Q000491	meteorolog previzionist
Q000492	climatolog
Q000493	meteorolog aeronautic
Q000494	consilier/ expert in meteorologie si domenii conexe
Q000495	asistent meteorolog
Q000496	meteorolog aeronautic prognozist
Q000497	coordonator interventii active in atmosfera
Q000498	chimist
Q000499	cercetator in chimie
Q000500	cercetator in biochimie tehnologica
Q000501	asistent de cercetare in biochimie tehnologica
Q000502	consilier geolog
Q000503	expert geolog
Q000504	inspector de specialitate geolog
Q000505	referent de specialitate geolog
Q000506	consilier geofizician
Q000507	expert geofizician
Q000508	inspector de specialitate geofizician
Q000509	referent de specialitate geofizician
Q000510	consilier hidrogeolog
Q000511	expert hidrogeolog
Q000512	inspector de specialitate hidrogeolog
Q000513	referent de specialitate hidrogeolog
Q000514	consilier hidrolog
Q000515	expert hidrolog
Q000516	inspector de specialitate hidrolog
Q000517	referent de specialitate hidrolog
Q000518	asistent de cercetare in geologie
Q000519	cercetator in geologie tehnica
Q000520	asistent de cercetare in geologie tehnica
Q000521	cercetator in geofizica
Q000522	asistent de cercetare in geofizica
Q000523	cercetator in geochimie
Q000524	asistent de cercetare in geochimie
Q000525	cercetator in geologie petroliera
Q000526	asistent de cercetare in geologie petroliera
Q000527	asistent de cercetare in geodezie
Q000528	geomorfolog
Q000529	hidrogeolog
Q000530	consilier matematician
Q000531	expert matematician
Q000532	inspector de specialitate matematician
Q000533	referent de specialitate matematician
Q000534	consilier actuar
Q000535	expert actuar
Q000536	inspector de specialitate actuar
Q000537	referent de specialitate actuar
Q000538	matematician
Q000539	actuar (studii superioare)
Q000540	consilier statistician
Q000541	expert statistician
Q000542	inspector de specialitate statistician
Q000543	referent de specialitate statistician
Q000544	cercetator in matematica
Q000545	asistent de cercetare in matematica
Q000546	cercetator in matematica mecanica
Q000547	asistent de cercetare in matematica-mecanica
Q000548	cercetator in matematica aplicata
Q000549	asistent de cercetare in matematica aplicata
Q000550	cercetator in matematica-fizica
Q000551	asistent de cercetare in matematica-fizica
Q000552	cercetator in matematica informatica
Q000553	asistent de cercetare in matematica-informatica
Q000554	cercetator in statistica
Q000555	asistent de cercetare in statistica
Q000556	cercetator in demografie
Q000557	asistent de cercetare in demografie
Q000558	consilier biolog
Q000559	expert biolog
Q000560	inspector de specialitate biolog
Q000561	referent de specialitate biolog
Q000562	consilier botanist
Q000563	expert botanist
Q000564	inspector de specialitate botanist
Q000565	referent de specialitate botanist
Q000566	consilier zoolog
Q000567	expert zoolog
Q000568	inspector de specialitate zoolog
Q000569	referent de specialitate zoolog
Q000570	biolog
Q000571	zoolog
Q000572	botanist
Q000573	consilier bacteriolog
Q000574	expert bacteriolog
Q000575	inspector de specialitate bacteriolog
Q000576	referent de specialitate bacteriolog
Q000577	consilier biochimist
Q000578	expert biochimist
Q000579	inspector de specialitate biochimist
Q000580	referent de specialitate biochimist
Q000581	consilier farmacolog
Q000582	expert farmacolog
Q000583	inspector de specialitate farmacolog
Q000584	referent de specialitate farmacolog
Q000585	consilier microbiolog
Q000586	expert microbiolog
Q000587	inspector de specialitate microbiolog
Q000588	referent de specialitate microbiolog
Q000589	farmacolog
Q000590	bacteriolog
Q000591	microbiolog
Q000592	cercetator in biologie
Q000593	asistent de cercetare in biologie
Q000594	cercetator in microbiologie-bacteriologie
Q000595	asistent de cercetare in microbiologie-bacteriologie
Q000596	cercetator in biologie chimie
Q000597	asistent de cercetare in biologie chimie
Q000598	cercetator in botanica
Q000599	asistent de cercetare in botanica
Q000600	cercetator in domeniul zoologic
Q000601	asistent de cercetare in domeniul zoologic
Q000602	cercetator in ecologie si protectia mediului
Q000603	asistent de cercetare in ecologie si protectia mediului
Q000604	cercetator in ingineria genetica
Q000605	asistent de cercetare in ingineria genetica
Q000606	cercetator in antropologie biologica
Q000607	asistent de cercetare in antropologie biologica
Q000608	consilier inginer agronom
Q000609	expert inginer agronom
Q000610	inspector de specialitate inginer agronom
Q000611	referent de specialitate inginer agronom
Q000612	consilier inginer horticol
Q000613	expert inginer horticol
Q000614	inspector de specialitate inginer horticol
Q000615	referent de specialitate inginer horticol
Q000616	consilier inginer zootehnist
Q000617	expert inginer zootehnist
Q000618	inspector de specialitate inginer zootehnist
Q000619	referent de specialitate inginer zootehnist
Q000620	subinginer zootehnist
Q000621	proiectant inginer in agricultura
Q000622	proiectant inginer in zootehnie
Q000623	proiectant inginer in silvicultura
Q000624	consilier inginer silvic
Q000625	expert inginer silvic
Q000626	inspector de specialitate inginer silvic
Q000627	referent de specialitate inginer silvic
Q000628	inginer imbunatatiri funciare
Q000629	inginer/ subinginer silvic
Q000630	consultant tehnic in productia de cereale, plante tehnice si furaje
Q000631	subinginer imbunatatiri funciare
Q000632	agent agricol
Q000633	tehnician agronom - exploatare
Q000634	tehnician zootehnist - exploatare
Q000635	tehnician silvic - exploatare
Q000636	bonitor la animalele de ferma
Q000637	administrator bunuri agricole
Q000638	consultant afaceri in agricultura
Q000639	cercetator in agricultura
Q000640	inginer de cercetare in agricultura
Q000641	asistent de cercetare in agricultura
Q000642	inginer de cercetare in pedologie-agrochimie
Q000643	asistent de cercetare in pedologie-agrochimie
Q000644	cercetator in pedologie-agrochimie
Q000645	cercetator in horticultura
Q000646	inginer de cercetare in horticultura
Q000647	asistent de cercetare in horticultura
Q000648	cercetator in agromontanologie
Q000649	inginer de cercetare in agromontanologie
Q000650	asistent de cercetare in agromontanologie
Q000651	cercetator in silvicultura
Q000652	inginer de cercetare in silvicultura
Q000653	asistent de cercetare in silvicultura
Q000654	cercetator in zootehnie
Q000655	asistent de cercetare in zootehnie
Q000656	cercetator in biotehnologie pentru agricultura
Q000657	asistent de cercetare in biotehnologie pentru agricultura
Q000658	expert ecolog
Q000659	inspector de specialitate ecolog
Q000660	referent de specialitate ecolog
Q000661	ecolog
Q000662	consilier ecolog
Q000663	inginer textile, pielarie
Q000664	subinginer textile, pielarie
Q000665	proiectant inginer textile, pielarie
Q000666	consilier inginer textile, pielarie
Q000667	expert inginer textile, pielarie
Q000668	inspector specialitate inginer textile, pielarie
Q000669	referent de specialitate inginer textile, pielarie
Q000670	conceptor/ conceptor CAO
Q000671	specialist   incercari   componente   vehicule/   grup   motopropulsor/optimizare energetica/ sisteme de masurare
Q000672	instructor sistem de productie
Q000673	metodist
Q000674	responsabil afacere
Q000675	manager de cladire
Q000676	inginer industrializarea lemnului
Q000677	subinginer industrializarea lemnului
Q000678	consilier inginer industrializarea lemnului
Q000679	expert inginer industrializarea lemnului
Q000680	inspector de specialitate inginer industrializarea lemnului
Q000681	referent de specialitate inginer industrializarea lemnului
Q000682	cercetator in pescuit si acvacultura
Q000683	inginer de cercetare in pescuit si acvacultura
Q000684	asistent de cercetare in pescuit si acvacultura
Q000685	analist masuratori metrologice
Q000686	auditor energetic pentru cladiri
Q000687	auditor in managementul riscului
Q000688	specialist in managementul riscului
Q000689	auditor / evaluator sisteme de management de securitate
Q000690	inginer constructii civile, industriale si agricole
Q000691	subinginer constructii civile, industriale si agricole
Q000692	inginer cai ferate, drumuri si poduri
Q000693	proiectant inginer instalatii
Q000694	proiectant inginer constructii
Q000695	consilier inginer constructii
Q000696	expert inginer constructii
Q000697	conducator de lucrari civile
Q000698	diriginte santier (studii superioare)
Q000699	inginer de cercetare in constructii civile, industriale si agricole
Q000700	asistent de cercetare in constructii civile, industriale si agricole
Q000701	cercetator in constructii de cai ferate, drumuri si poduri
Q000702	inginer de cercetare in constructii de cai ferate, drumuri si poduri
Q000703	asistent de cercetare in constructii de cai ferate, drumuri si poduri
Q000704	cercetator in constructii hidrotehnice
Q000705	inginer de cercetare in constructii hidrotehnice
Q000706	asistent de cercetare in constructii hidrotehnice
Q000707	inginer de cercetare in ingineria sanitara si protectia mediului
Q000708	cercetator in instalatii
Q000709	inginer de cercetare in instalatii
Q000710	asistent de cercetare in instalatii
Q000711	responsabil tehnic cu urmarirea curenta a comportarii constructiilor
Q000712	specialist in urmarirea comportarii constructiilor
Q000713	expert in monitorizarea comportarii constructiilor
Q000714	administrator port
Q000715	responsabil tehnic cu executia
Q000716	cercetator in centrale hidroelectrice in ingineria mediului
Q000717	inginer de cercetare in centrale hidroelectrice in ingineria mediului
Q000718	asistent de cercetare in centrale hidroelectrice in ingineria mediului
Q000719	inginer protectia mediului in energetica
Q000720	inginer tehnolog in protectia mediului
Q000721	inginer pentru controlul poluarii mediului
Q000722	inginer tehnologii informatice in protectia mediului
Q000723	inginer de cercetare in protectia mediului
Q000724	inginer sisteme informatice pentru instalatii si procese de depoluare
Q000725	inginer auditor/evaluator sisteme de mediu
Q000726	inginer electromecanic minier
Q000727	inginer mecanica agricola
Q000728	inginer aviatie
Q000729	inginer masini-unelte
Q000730	inginer mecanic utilaj tehnologic chimic
Q000731	inginer mecanic utilaj tehnologic petrolier
Q000732	inginer mecanic utilaj tehnologic masini agricole
Q000733	inginer mecanic utilaj tehnologic textil
Q000734	inginer mecanic utilaj tehnologic pentru constructii
Q000735	inginer mecanic utilaj tehnologic pentru prelucrare la cald
Q000736	inginer mecanic masini instalatii miniere
Q000737	subinginer mecanic utilaj tehnologic pentru chimie
Q000738	subinginer mecanic utilaje pentru constructii
Q000739	subinginer mecanic avioane si motoare de aviatie
Q000740	subinginer mecanic constructii corp de nava
Q000741	subinginer mecanic instalatii navale de bord
Q000742	subinginer mecanic automobile
Q000743	subinginer mecanic utilaje pentru industria lemnului
Q000744	subinginer mecanic utilaje pentru materiale de constructie
Q000745	consilier inginer mecanic
Q000746	expert inginer mecanic
Q000747	inspector de specialitate inginer mecanic
Q000748	referent de specialitate inginer mecanic
Q000749	proiectant inginer aeronave
Q000750	proiectant inginer mecanic
Q000751	inginer pilot de incercare
Q000752	subinginer proiectant mecanic
Q000753	specialist reglementari/ carti de identitate vehicule/ verificari tehniceinmatriculare/ inspectii tehnice/ omologari oficiale
Q000754	specialist prestatii vehicule
Q000755	specialist mentenanta mecanica echipamente industriale
Q000756	inginer/ subinginer tehnolog prelucrari mecanice
Q000757	inginer tehnolog in fabricarea armamentului si munitiei
Q000758	subinginer tehnolog in fabricarea armamentului si munitiei
