C000001_el_000	Ένοπλες δυνάμεις
C000125_el_000	Άλλοι καθηγητές ξένων γλωσσών, εκτός των εκπαιδευτικών ιδρυμάτων
C000126_el_000	Άλλοι καθηγητές μουσικής, εκτός των εκπαιδευτικών ιδρυμάτων
C000127_el_000	Άλλοι καθηγητές καλλιτεχνικών, εκτός των εκπαιδευτικών ιδρυμάτων
C000128_el_000	Εκπαιδευτικοί τεχνολογιών πληροφόρησης
C000129_el_000	Εκπαιδευτικοί π.δ.κ.α.
C000130_el_000	Επαγγελματίες επιχειρήσεων και διοίκησης
C000131_el_000	Επαγγελματίες του χρηματοοικονομικού τομέα
C000132_el_000	Λογιστές
C000133_el_000	Χρηματοοικονομικοί σύμβουλοι και σύμβουλοι επενδύσεων
C000134_el_000	Οικονομικοί αναλυτές
C000135_el_000	Επαγγελματίες διοίκησης
C000136_el_000	Αναλυτές διοίκησης και οργάνωσης
C000137_el_000	Επαγγελματίες διαχείρισης πολιτικής
C000138_el_000	Επαγγελματίες σύμβουλοι προσωπικού και επαγγελματικού προσανατολισμού
C000139_el_000	Επαγγελματίες σύμβουλοι επιμόρφωσης και ανάπτυξης του προσωπικού
C000140_el_000	Επαγγελματίες σύμβουλοι πωλήσεων, μάρκετινγκ και δημοσίων σχέσεων
C000141_el_000	Επαγγελματίες σύμβουλοι διαφήμισης και μάρκετινγκ
C000142_el_000	Επαγγελματίες σύμβουλοι δημοσίων σχέσεων
C000143_el_000	Επαγγελματίες σύμβουλοι τεχνικών και ιατρικών πωλήσεων (εξαιρουμένου του τομέα των ΤΠΕ)
C000144_el_000	Επαγγελματίες σύμβουλοι πωλήσεων στον τομέα των τεχνολογιών πληροφόρησης και επικοινωνίας
C000145_el_000	Επαγγελματίες του τομέα των τεχνολογιών πληροφόρησης και επικοινωνίας
C000146_el_000	Σχεδιαστές και αναλυτές λογισμικού και εφαρμογών
C000147_el_000	Αναλυτές συστημάτων
C000148_el_000	Σχεδιαστές λογισμικού
C000149_el_000	Σχεδιαστές διαδικτύου και πολυμέσων
C000150_el_000	Προγραμματιστές εφαρμογών
C000151_el_000	Σχεδιαστές και αναλυτές λογισμικού και εφαρμογών π.δ.κ.α.
C000152_el_000	Επαγγελματίες βάσεων δεδομένων και δικτύων
C000153_el_000	Σχεδιαστές και διαχειριστές βάσεων δεδομένων
C000154_el_000	Διαχειριστές συστημάτων
C000155_el_000	Επαγγελματίες δικτύων Η/Υ
C000156_el_000	Επαγγελματίες βάσεων δεδομένων και δικτύων π.δ.κ.α.
C000157_el_000	Επαγγελματίες του νομικού, κοινωνικού και πολιτιστικού κλάδου
C000158_el_000	Επαγγελματίες νομικοί
C000159_el_000	Δικηγόροι
C000160_el_000	Δικαστές
C000161_el_000	Επαγγελματίες του νομικού κλάδου π.δ.κ.α.
C000162_el_000	Βιβλιοθηκονόμοι, αρχειοφύλακες και έφοροι αρχαιοτήτων, μουσείων και αιθουσών έργων τέχνης
C000163_el_000	Αρχειοφύλακες και έφοροι αρχαιοτήτων, μουσείων και αιθουσών έργων τέχνης
C000164_el_000	Βιβλιοθηκονόμοι και ασκούντες συναφή επαγγέλματα στον τομέα της τεκμηρίωσης και της πληροφόρησης
C000165_el_000	Επαγγελματίες του κοινωνικού και θρησκευτικού τομέα
C000166_el_000	Οικονομολόγοι
C000167_el_000	Κοινωνιολόγοι, ανθρωπολόγοι και ασκούντες συναφή επαγγέλματα
C000168_el_000	Φιλόσοφοι, ιστορικοί και πολιτικοί επιστήμονες
C000169_el_000	Ψυχολόγοι
C000170_el_000	Κοινωνικοί λειτουργοί και σύμβουλοι
C000171_el_000	Κληρικοί και επαγγελματίες του θρησκευτικού τομέα
C000172_el_000	Συγγραφείς, δημοσιογράφοι και γλωσσολόγοι
C000173_el_000	Συγγραφείς και ασκούντες συναφή επαγγέλματα
C000174_el_000	Δημοσιογράφοι
C000175_el_000	Μεταφραστές, διερμηνείς και άλλοι γλωσσολόγοι
C000176_el_000	Καλλιτέχνες εν γένει
C000177_el_000	Εικαστικοί καλλιτέχνες
C000178_el_000	Μουσικοί, τραγουδιστές και συνθέτες
C000179_el_000	Χορευτές και χορογράφοι
C000180_el_000	Σκηνοθέτες κινηματογράφου, θεάτρου και συναφείς διευθυντές και παραγωγοί
C000181_el_000	Ηθοποιοί
C000182_el_000	Παρουσιαστές ραδιοφώνου, τηλεόρασης και άλλων μέσων μαζικής επικοινωνίας
C000183_el_000	Καλλιτέχνες εν γένει π.δ.κ.α.
C000184_el_000	Τεχνικοί και ασκούντες συναφή επαγγέλματα
C000185_el_000	Τεχνικοί θετικών επιστημών και μηχανικής
C000186_el_000	Τεχνικοί επιστημών φυσικής και μηχανικής
C000187_el_000	Τεχνικοί φυσικοχημικών επιστημών
C000188_el_000	Τεχνικοί δομικών έργων
C000189_el_000	Τεχνικοί ηλεκτρολόγοι μηχανικοί
C000190_el_000	Τεχνικοί ηλεκτρονικοί μηχανικοί
C000191_el_000	Τεχνικοί μηχανολόγοι μηχανικοί
C000192_el_000	Τεχνικοί χημικοί μηχανικοί
C000193_el_000	Τεχνικοί μεταλλειολόγοι και μεταλλουργοί
C000194_el_000	Σχεδιαστές αρχιτεκτονικού σχεδίου
C000195_el_000	Τεχνικοί επιστημών φυσικής και μηχανικής π.δ.κ.α.
C000196_el_000	Επόπτες ορυχείων, μεταποιητικών και κατασκευαστικών μονάδων
C000197_el_000	Επόπτες ορυχείων
C000198_el_000	Επόπτες μεταποιητικών μονάδων
C000199_el_000	Επόπτες κατασκευαστικών μονάδων
C000200_el_000	Τεχνικοί ελέγχου διαδικασίας
C000201_el_000	Χειριστές μονάδων παραγωγής ηλεκτρικής ενέργειας
C000202_el_000	Χειριστές μονάδων αποτέφρωσης και επεξεργασίας νερού
C000203_el_000	Ελεγκτές μονάδων χημικής επεξεργασίας
C000204_el_000	Χειριστές μονάδων διύλισης πετρελαίου και φυσικού αερίου
C000205_el_000	Ελεγκτές διαδικασίας παραγωγής μετάλλων
C000206_el_000	Τεχνικοί ελέγχου διαδικασίας π.δ.κ.α.
C000207_el_000	Τεχνικοί των επιστημών της ζωής και ασκούντες συναφή επαγγέλματα
C000208_el_000	Τεχνικοί των επιστημών της ζωής (εξαιρουμένων των ιατρικών)
C000209_el_000	Τεχνικοί γεωργίας
C000210_el_000	Τεχνικοί δασοκομίας
C000211_el_000	Ελεγκτές και τεχνικοί ναυσιπλοΐας και αεροπλοΐας
C000212_el_000	Μηχανικοί ναυσιπλοΐας
C000213_el_000	Αξιωματικοί καταστρώματος και πλοηγοί πλοίων
C000214_el_000	Πιλότοι αεροσκαφών και ασκούντες συναφή επαγγέλματα
C000215_el_000	Ελεγκτές εναέριας κυκλοφορίας
C000216_el_000	Τεχνικοί ηλεκτρονικοί ασφάλειας εναέριας κυκλοφορίας
C000217_el_000	Τεχνικοί του τομέα της υγείας
C000218_el_000	Τεχνικοί ιατρικής και φαρμακευτικής
C000219_el_000	Τεχνικοί εξοπλισμού ιατρικής απεικόνισης και θεραπευτικού εξοπλισμού
C000220_el_000	Τεχνικοί εργαστηρίων ιατρικής και παθολογίας
C000221_el_000	Τεχνικοί και βοηθοί φαρμακοποιών
C000222_el_000	Τεχνικοί ιατρικής και οδοντικής προσθετικής
C000223_el_000	Βοηθοί επαγγελματιών νοσηλευτικής και μαιευτικής
C000224_el_000	Βοηθοί επαγγελματιών νοσηλευτικής
C000225_el_000	Βοηθοί επαγγελματιών μαιευτικής
C000226_el_000	Βοηθοί επαγγελματιών παραδοσιακής και συμπληρωματικής ιατρικής
C000227_el_000	Βοηθοί επαγγελματιών παραδοσιακής και συμπληρωματικής ιατρικής
C000228_el_000	Τεχνικοί και βοηθοί κτηνιάτρων
C000229_el_000	Τεχνικοί και βοηθοί κτηνιάτρων
C000230_el_000	Άλλοι βοηθοί επαγγελματιών του τομέα της υγείας
C000231_el_000	Βοηθοί οδοντιάτρων και οδοντοθεραπευτές
C000232_el_000	Τεχνικοί ιατρικών αρχείων και πληροφοριών υγείας
C000233_el_000	Εργαζόμενοι σε κοινοτικές υπηρεσίες υγείας
C000234_el_000	Οπτικοί που εκτελούν συνταγές
C000235_el_000	Τεχνικοί και βοηθοί φυσιοθεραπείας
C000236_el_000	Βοηθοί επαγγελματιών ιατρικής
C000237_el_000	Επιθεωρητές και βοηθοί επαγγελματιών περιβαλλοντικής και επαγγελματικής υγείας
C000238_el_000	Εργαζόμενοι σε ασθενοφόρα
C000239_el_000	Βοηθοί επαγγελματιών του τομέα της υγείας π.δ.κ.α.
C000240_el_000	Βοηθοί Επαγγελματιών επιχειρήσεων και διοίκησης
C000241_el_000	Βοηθοί Επαγγελματιών του χρηματοοικονομικού και μαθηματικού κλάδου
C000242_el_000	Μεσίτες χρηματιστηριακών και άλλων αξιών
C000243_el_000	Υπεύθυνοι χορήγησης δανείων και πιστώσεων
C000244_el_000	Βοηθοί λογιστών
C000245_el_000	Βοηθοί επαγγελματιών στατιστικής, μαθηματικών και ασκούντες συναφή επαγγέλματα
C000246_el_000	Εκτιμητές αξιών και ζημιών
C000247_el_000	Πράκτορες και μεσίτες αγοραπωλησιών
C000248_el_000	Αντιπρόσωποι ασφαλειών
C000249_el_000	Εμπορικοί αντιπρόσωποι
C000250_el_000	Προμηθευτές επιχειρήσεων
C000251_el_000	Εμπορευματομεσίτες
C000252_el_000	Πράκτορες παροχής υπηρεσιών σε επιχειρήσεις
C000253_el_000	Εκτελωνιστές και πράκτορες μεταφορών
C000254_el_000	Διοργανωτές συνεδρίων και εκδηλώσεων
C000255_el_000	Πράκτορες εύρεσης εργασίας, εν γένει
C000256_el_000	Μεσίτες ακίνητης περιουσίας
C000257_el_000	Πράκτορες παροχής υπηρεσιών σε επιχειρήσεις π.δ.κ.α.
C000258_el_000	Γραμματείς διοίκησης και ειδικευμένοι(-ες) γραμματείς
C000259_el_000	Επόπτες γραφείου
C000260_el_000	Γραμματείς νομικών γραφείων
C000261_el_000	Γραμματείς ανώτερων διοικητικών και διευθυντικών στελεχών
C000262_el_000	Γραμματείς ιατρών
C000263_el_000	Λειτουργοί και ελεγκτές ρυθμιστικών-εκτελεστικών κρατικών υπηρεσιών
C000264_el_000	Τελωνειακοί και συνοριακοί ελεγκτές
C000265_el_000	Υπάλληλοι δημόσιων οικονομικών υπηρεσιών, ειδικοί επί φορολογικών θεμάτων
C000266_el_000	Υπάλληλοι χορήγησης κρατικών κοινωνικών επιδομάτων
C000267_el_000	Υπάλληλοι χορήγησης κρατικών αδειών
C000268_el_000	Αστυνομικοί επιθεωρητές και ερευνητές (ντέτεκτιβς)
C000269_el_000	Λειτουργοί και ελεγκτές ρυθμιστικών-εκτελεστικών κρατικών υπηρεσιών π.δ.κ.α.
C000270_el_000	Βοηθοί επαγγελματιών του νομικού, κοινωνικού και πολιτιστικού τομέα και ασκούντες συναφή επαγγέλματα
C000271_el_000	Βοηθοί επαγγελματιών του νομικού, κοινωνικού και θρησκευτικού τομέα
C000272_el_000	Βοηθοί επαγγελματιών του νομικού τομέα και ασκούντες συναφή επαγγέλματα
C000273_el_000	Βοηθοί κοινωνικών λειτουργών
C000274_el_000	Βοηθοί κληρικών και επαγγελματιών του θρησκευτικού τομέα
C000275_el_000	Εργαζόμενοι στον τομέα του αθλητισμού και της σωματικής αγωγής
C000276_el_000	Επαγγελματίες αθλητές, εν γένει
C000277_el_000	Προπονητές, εκπαιδευτές και διαιτητές
C000278_el_000	Γυμναστές, εκπαιδευτές και επικεφαλής προγραμμάτων ευεξίας και αναψυχής
C000279_el_000	Βοηθοί επαγγελματιών του καλλιτεχνικού και πολιτιστικού τομέα και της μαγειρικής
C000280_el_000	Φωτογράφοι
C000281_el_000	Διακοσμητές και σχεδιαστές εσωτερικών χώρων
C000282_el_000	Τεχνικοί γκαλερί, μουσείων και βιβλιοθηκών
C000283_el_000	Αρχιμάγειροι
C000284_el_000	Άλλοι βοηθοί επαγγελματιών του καλλιτεχνικού και πολιτιστικού τομέα
C000285_el_000	Τεχνικοί του τομέα της πληροφόρησης και επικοινωνίας
C000286_el_000	Τεχνικοί λειτουργιών και υποστήριξης χρηστών τεχνολογιών πληροφόρησης και επικοινωνίας
C000287_el_000	Τεχνικοί λειτουργιών των τεχνολογιών πληροφόρησης και επικοινωνίας
C000288_el_000	Τεχνικοί υποστήριξης χρηστών των τεχνολογιών πληροφόρησης και επικοινωνίας
C000289_el_000	Τεχνικοί δικτύων και συστημάτων Η/Υ
C000290_el_000	Τεχνικοί του διαδικτύου
C000291_el_000	Τεχνικοί τηλεπικοινωνιών και εκπομπών ραδιοφώνου και τηλεόρασης
C000292_el_000	Τεχνικοί εκπομπών ραδιοφώνου και τηλεόρασης και οπτικοακουστικών μέσων
C000293_el_000	Τεχνικοί μηχανικοί τηλεπικοινωνιών
C000294_el_000	Υπάλληλοι γραφείου
C000295_el_000	Υπάλληλοι γενικών καθηκόντων και χειριστές μηχανών με πληκτρολόγιο
C000296_el_000	Υπάλληλοι γενικών καθηκόντων
C000297_el_000	Υπάλληλοι γενικών καθηκόντων
C000298_el_000	Γραμματείς (γενικών καθηκόντων)
C000299_el_000	Γραμματείς (γενικών καθηκόντων)
C000300_el_000	Χειριστές μηχανών με πληκτρολόγιο
C000301_el_000	Δακτυλογράφοι και χειριστές μηχανών επεξεργασίας κειμένου
C000302_el_000	Χειριστές μηχανών εισαγωγής δεδομένων
C000303_el_000	Υπάλληλοι εξυπηρέτησης πελατών
C000304_el_000	Ταμίες, εισπράκτορες και ασκούντες συναφή επαγγέλματα
C000305_el_000	Ταμίες τραπεζών και ασκούντες συναφή επαγγέλματα
C000306_el_000	Πράκτορες στοιχημάτων, κρουπιέρηδες και εργαζόμενοι σε επιχειρήσεις τυχερών παιγνίων
C000307_el_000	Ενεχυροδανειστές και δανειστές χρηματικών ποσών
C000308_el_000	Εισπράκτορες χρεών και ασκούντες συναφή επαγγέλματα
C000309_el_000	Υπάλληλοι πληροφόρησης πελατών
C000310_el_000	Ταξιδιωτικοί σύμβουλοι και υπάλληλοι ταξιδιωτικών γραφείων
C000311_el_000	Υπάλληλοι κέντρων πληροφόρησης
C000312_el_000	Χειριστές τηλεφωνικών κέντρων
C000313_el_000	Υπάλληλοι υποδοχής σε ξενοδοχεία
C000314_el_000	Υπάλληλοι ενημέρωσης πελατών
C000315_el_000	Υπάλληλοι υποδοχής (εν γένει)
C000316_el_000	Συνεντεύκτες ερευνών αγοράς και λοιπών ερευνών
C000317_el_000	Υπάλληλοι πληροφόρησης πελατών π.δ.κ.α.
C000318_el_000	Υπάλληλοι καταγραφής αριθμητικών δεδομένων και υλικών
C000319_el_000	Υπάλληλοι καταγραφής αριθμητικών δεδομένων
C000320_el_000	Υπάλληλοι λογιστηρίου και τήρησης λογιστικών βιβλίων
C000321_el_000	Υπάλληλοι στατιστικών, οικονομικών και ασφαλιστικών υπηρεσιών
C000322_el_000	Υπάλληλοι μισθοδοσίας
C000323_el_000	Υπάλληλοι καταγραφής υλικών και υπηρεσιών μεταφορών
C000324_el_000	Αποθηκάριοι και ζυγιστές
C000325_el_000	Υπάλληλοι προγραμματισμού υλικών και παραγωγής
C000326_el_000	Υπάλληλοι υπηρεσιών μεταφορών
C000327_el_000	Άλλοι υπάλληλοι γραφείου
C000328_el_000	Άλλοι υπάλληλοι γραφείου
C000329_el_000	Υπάλληλοι βιβλιοθηκών
C000330_el_000	Ταχυδρομικοί και υπάλληλοι διαλογής αλληλογραφίας
C000331_el_000	Κωδικογράφοι, διορθωτές δοκιμίων και ασκούντες συναφή επαγγέλματα
C000332_el_000	Γραφείς και ασκούντες συναφή επαγγέλματα
C000333_el_000	Αρχειοθέτες και χειριστές φωτοαντιγραφικών μηχανημάτων
C000334_el_000	Υπάλληλοι προσωπικού
C000335_el_000	Υπάλληλοι γραφείου π.δ.κ.α.
C000336_el_000	Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές
C000337_el_000	Απασχολούμενοι στην παροχή προσωπικών υπηρεσιών
C000338_el_000	Ταξιδιωτικοί συνοδοί, εισπράκτορες και ξεναγοί
C000339_el_000	Ταξιδιωτικοί συνοδοί και φροντιστές
C000340_el_000	Εισπράκτορες μεταφορικών μέσων
C000341_el_000	Ξεναγοί
C000342_el_000	Μάγειροι
C000343_el_000	Μάγειροι
C000344_el_000	Σερβιτόροι και μπάρμεν
C000345_el_000	Σερβιτόροι
C000346_el_000	Μπάρμεν
C000347_el_000	Κομμωτές/κομμώτριες, αισθητικοί και ασκούντες συναφή επαγγέλματα
C000348_el_000	Κομμωτές/κομμώτριες
C000349_el_000	Αισθητικοί και ασκούντες συναφή επαγγέλματα
C000350_el_000	Επόπτες καθαρισμού και φροντιστές κτιρίων και κατοικιών
C000351_el_000	Επόπτες καθαριότητας και φροντιστές γραφείων, ξενοδοχείων και άλλων εγκαταστάσεων
C000352_el_000	Οικονόμοι σπιτιών
C000353_el_000	Διαχειριστές κτιρίων
C000354_el_000	Άλλοι απασχολούμενοι στην παροχή προσωπικών υπηρεσιών
C000355_el_000	Αστρολόγοι, μελλοντολόγοι και ασκούντες συναφή επαγγέλματα
C000356_el_000	Προσωπικοί συνοδοί και προσωπικοί υπηρέτες
C000357_el_000	Εργολάβοι κηδειών και ταριχευτές
C000358_el_000	Φροντιστές ζώων συντροφιάς και απασχολούμενοι με την περιποίηση ζώων
C000359_el_000	Δάσκαλοι οδήγησης
C000360_el_000	Απασχολούμενοι στην παροχή προσωπικών υπηρεσιών π.δ.κ.α.
C000361_el_000	Πωλητές
C000362_el_000	Πλανόδιοι πωλητές και πωλητές σε υπαίθριες αγορές
C000363_el_000	Πωλητές σε υπαίθριους πάγκους και υπαίθριες αγορές
C000364_el_000	Πλανόδιοι πωλητές τροφίμων
C000365_el_000	Πωλητές σε καταστήματα
C000366_el_000	Καταστηματάρχες
C000367_el_000	Επόπτες καταστημάτων
C000368_el_000	Βοηθοί πωλήσεων σε καταστήματα
C000369_el_000	Ταμίες και υπάλληλοι έκδοσης εισιτηρίων
C000370_el_000	Ταμίες και υπάλληλοι έκδοσης εισιτηρίων
C000371_el_000	Άλλοι πωλητές
C000372_el_000	Μοντέλα επίδειξης μόδας (μανεκέν) και άλλα μοντέλα
C000373_el_000	Υπάλληλοι επίδειξης προϊόντων
C000374_el_000	Πωλητές κατ’ οίκον (πλασιέ)
C000375_el_000	Πωλητές μέσω κέντρων επικοινωνίας (τηλεμάρκετινκ)
C000376_el_000	Υπάλληλοι πρατηρίων καυσίμων και σταθμών εξυπηρέτησης
C000377_el_000	Υπάλληλοι σίτισης
C000378_el_000	Πωλητές π.δ.κ.α.
C000379_el_000	Απασχολούμενοι στην παροχή ατομικής φροντίδας
C000380_el_000	Παιδοκόμοι και βοηθοί δασκάλων
C000381_el_000	Παιδοκόμοι
C000382_el_000	Βοηθοί δασκάλων
C000383_el_000	Απασχολούμενοι στην παροχή ατομικής φροντίδας στον τομέα των υπηρεσιών υγείας
C000384_el_000	Βοηθοί στον τομέα της υγείας
C000385_el_000	Νοσοκόμοι που απασχολούνται κατ’ οίκον
C000386_el_000	Απασχολούμενοι στην παροχή ατομικής φροντίδας στον τομέα των υπηρεσιών υγείας π.δ.κ.α.
