C000001_pl_000	Siły zbrojne
C000145_pl_000	Specjaliści do spraw technologii informacyjno-komunikacyjnych
C000146_pl_000	Analitycy systemowi i programiści
C000147_pl_000	Analitycy systemów komputerowych
C000148_pl_000	Programiści
C000149_pl_000	Projektanci stron internetowych i multimediów
C000150_pl_000	Programiści aplikacji
C000151_pl_000	Programiści i analitycy oprogramowania i aplikacji gdzie indziej niesklasyfikowani
C000152_pl_000	Specjaliści do spraw baz danych i sieci
C000153_pl_000	Projektanci i administratorzy baz danych
C000154_pl_000	Administratorzy systemów
C000155_pl_000	Specjaliści do spraw sieci komputerowych
C000156_pl_000	Specjaliści do spraw baz danych i sieci gdzie indziej niesklasyfikowani
C000157_pl_000	Prawnicy, specjaliści nauk społecznych i specjaliści w dziedzinie kultury
C000158_pl_000	Prawnicy
C000159_pl_000	Adwokaci, radcy prawni i prokuratorzy
C000160_pl_000	Sędziowie
C000161_pl_000	Specjaliści z dziedziny prawa gdzie indziej niesklasyfikowani
C000162_pl_000	Bibliotekoznawcy, archiwiści i muzealnicy
C000163_pl_000	Archiwiści i muzealnicy
C000164_pl_000	Bibliotekoznawcy i specjaliści zarządzania informacją
C000165_pl_000	Specjaliści nauk społecznych i w dziedzinie religii
C000166_pl_000	Ekonomiści
C000167_pl_000	Socjolodzy, antropolodzy i specjaliści w dziedzinach pokrewnych
C000168_pl_000	Filozofowie, historycy i politolodzy
C000169_pl_000	Psycholodzy
C000170_pl_000	Specjaliści pracy socjalnej i doradztwa socjalnego
C000171_pl_000	Specjaliści z zakresu działalności religijnej
C000172_pl_000	Literaci, dziennikarze i lingwiści
C000173_pl_000	Literaci i pisarze
C000174_pl_000	Dziennikarze
C000175_pl_000	Filolodzy i tłumacze
C000176_pl_000	Twórcy i artyści sceniczni
C000177_pl_000	Artyści sztuk wizualnych
C000178_pl_000	Muzycy, śpiewacy i kompozytorzy
C000179_pl_000	Tancerze i choreografowie
C000180_pl_000	Reżyserzy i producenci filmowi, teatralni i pokrewni
C000181_pl_000	Aktorzy
C000182_pl_000	Prezenterzy radiowi, telewizyjni i pokrewni
C000183_pl_000	Twórcy i artyści sceniczni gdzie indziej niesklasyfikowani
C000184_pl_000	Technicy i inny średni personel
C000185_pl_000	Średni personel nauk fizycznych, chemicznych i technicznych
C000186_pl_000	Technicy nauk fizycznych, chemicznych i technicznych
C000187_pl_000	Technicy nauk chemicznych i fizycznych
C000188_pl_000	Technicy budownictwa
C000189_pl_000	Technicy elektrycy
C000190_pl_000	Technicy elektronicy
C000191_pl_000	Technicy mechanicy
C000192_pl_000	Technicy technologii chemicznej
C000193_pl_000	Technicy górnictwa i metalurgii
C000194_pl_000	Kreślarze
C000195_pl_000	Technicy nauk fizycznych, chemicznych i technicznych gdzie indziej niesklasyfikowani
C000196_pl_000	Mistrzowie produkcji w górnictwie, przemyśle przetwórczym i budownictwie
C000197_pl_000	Mistrzowie produkcji w górnictwie
C000198_pl_000	Mistrzowie produkcji w przemyśle przetwórczym
C000199_pl_000	Mistrzowie produkcji w budownictwie
C000200_pl_000	Technicy kontroli procesów przemysłowych
C000201_pl_000	Operatorzy urządzeń energetycznych
C000202_pl_000	Operatorzy urządzeń do spalania odpadów i uzdatniania wody
C000203_pl_000	Kontrolerzy urządzeń w procesach chemicznych
C000204_pl_000	Operatorzy urządzeń do przeróbki ropy naftowej i gazu
C000205_pl_000	Kontrolerzy procesów metalurgicznych
C000206_pl_000	Technicy kontroli procesów przemysłowych gdzie indziej niesklasyfikowani
C000207_pl_000	Technicy nauk biologicznych, rolniczych i pokrewni
C000208_pl_000	Technicy nauk biologicznych (z wyłączeniem nauk medycznych)
C000209_pl_000	Technicy rolnicy
C000210_pl_000	Technicy leśnicy
C000211_pl_000	Kontrolerzy i technicy w transporcie morskim, w żegludze śródlądowej i lotnictwie
C000212_pl_000	Pracownicy służb technicznych żeglugi
C000213_pl_000	Oficerowie pokładowi i piloci żeglugi
C000214_pl_000	Piloci statków powietrznych i średni personel w dziedzinach pokrewnych
C000215_pl_000	Kontrolerzy ruchu lotniczego
C000216_pl_000	Technicy urządzeń bezpieczeństwa ruchu lotniczego
C000217_pl_000	Średni personel ochrony zdrowia
C000218_pl_000	Technicy medyczni i farmaceutyczni
C000219_pl_000	Technicy sprzętu do obrazowania medycznego i technicy sprzętu terapeutycznego
C000220_pl_000	Technicy analityki medycznej
C000221_pl_000	Technicy farmaceutyczni
C000222_pl_000	Technicy protez medycznych i technicy dentystyczni
C000223_pl_000	Średni personel w dziedzinie pielęgniarstwa i położnictwa
C000224_pl_000	Średni personel w dziedzinie pielęgniarstwa
C000225_pl_000	Średni personel w dziedzinie położnictwa
C000226_pl_000	Średni personel w dziedzinie medycyny tradycyjnej i komplementarnej
C000227_pl_000	Średni personel w dziedzinie medycyny tradycyjnej i komplementarnej
C000228_pl_000	Technicy i asystenci weterynaryjni
C000229_pl_000	Technicy i asystenci weterynaryjni
C000230_pl_000	Inny średni personel ochrony zdrowia
C000231_pl_000	Asystenci i higieniści stomatologiczni
C000232_pl_000	Technicy w dziedzinie dokumentacji medycznej i informacji zdrowotnej
C000233_pl_000	Felczerzy
C000234_pl_000	Optycy okularowi
C000235_pl_000	Technicy fizjoterapii i masażyści
C000236_pl_000	Asystenci medyczni
C000237_pl_000	Inspektorzy ochrony środowiska, medycyny pracy i bezpieczeństwa i higieny pracy
C000238_pl_000	Noszowi
C000239_pl_000	Średni personel ochrony zdrowia gdzie indziej niesklasyfikowany
C000240_pl_000	Średni personel w zakresie biznesu i administracji
C000241_pl_000	Średni personel do spraw finansowych i obliczeniowych
C000242_pl_000	Dealerzy i maklerzy aktywów finansowych
C000243_pl_000	Pracownicy do spraw kredytów
C000244_pl_000	Średni personel w zakresie rachunkowości
C000245_pl_000	Średni personel w dziedzinie statystyki, matematyki i w dziedzinach pokrewnych
C000246_pl_000	Rzeczoznawcy (z wyłączeniem majątkowych)
C000247_pl_000	Agenci i brokerzy do spraw sprzedaży i zakupów
C000248_pl_000	Agenci ubezpieczeniowi
C000249_pl_000	Przedstawiciele handlowi
C000250_pl_000	Zaopatrzeniowcy
C000251_pl_000	Pośrednicy handlowi
C000252_pl_000	Agenci usług biznesowych
C000253_pl_000	Spedytorzy i pokrewni
C000254_pl_000	Organizatorzy konferencji i imprez zbiorowych
C000255_pl_000	Pośrednicy pracy i zatrudnienia
C000256_pl_000	Pośrednicy w obrocie nieruchomościami i zarządcy nieruchomości
C000257_pl_000	Agenci usług biznesowych gdzie indziej niesklasyfikowani
C000258_pl_000	Pracownicy administracyjni i sekretarze wyspecjalizowani
C000259_pl_000	Kierownicy biura
C000260_pl_000	Sekretarze prawni
C000261_pl_000	Pracownicy administracyjni i sekretarze biura zarządu
C000262_pl_000	Sekretarze medyczni
C000263_pl_000	Urzędnicy państwowi do spraw nadzoru
C000264_pl_000	Funkcjonariusze celni i ochrony granic
C000265_pl_000	Urzędnicy do spraw podatków
C000266_pl_000	Urzędnicy do spraw świadczeń społecznych
C000267_pl_000	Urzędnicy organów udzielających licencji
C000268_pl_000	Policjanci służby kryminalnej
C000269_pl_000	Urzędnicy państwowi do spraw nadzoru gdzie indziej niesklasyfikowani
C000270_pl_000	Średni personel w dziedzinie prawa, spraw społecznych, kultury i w dziedzinach pokrewnych
C000271_pl_000	Średni personel w dziedzinie prawa, spraw społecznych i religii
C000272_pl_000	Średni personel w dziedzinie prawa i w dziedzinach pokrewnych
C000273_pl_000	Pracownicy pomocy społecznej i pracy socjalnej
C000274_pl_000	Pracownicy z zakresu działalności religijnej
C000275_pl_000	Sportowcy, trenerzy i pokrewni
C000276_pl_000	Sportowcy zawodowi
C000277_pl_000	Trenerzy, instruktorzy i działacze sportowi
C000278_pl_000	Instruktorzy fitness i rekreacji ruchowej
C000279_pl_000	Średni personel w zakresie działalności artystycznej, kulturalnej i kulinarnej
C000280_pl_000	Fotografowie
C000281_pl_000	Projektanci i dekoratorzy wnętrz
C000282_pl_000	Technicy galerii, technicy muzealni i biblioteczni
C000283_pl_000	Szefowie kuchni
C000284_pl_000	Pozostały średni personel w dziedzinie kultury i sztuki
C000285_pl_000	Technicy do spraw technologii informacyjno-komunikacyjnych
C000286_pl_000	Technicy do spraw technologii informacyjno-komunikacyjnych oraz technicy do spraw wsparcia użytkownika technologii informacyjno-komunikacyjnych
C000287_pl_000	Operatorzy urządzeń informacyjno-komunikacyjnych
C000288_pl_000	Technicy do spraw wsparcia użytkownika technologii informacyjno-komunikacyjnych
C000289_pl_000	Technicy do spraw sieci i systemów komputerowych
C000290_pl_000	Technicy sieci internetowych
C000291_pl_000	Technicy urządzeń telekomunikacyjnych i nadawczych
C000292_pl_000	Technicy urządzeń nadawczych i audiowizualnych
C000293_pl_000	Technicy telekomunikacji
C000294_pl_000	Pracownicy biurowi
C000295_pl_000	Sekretarze, operatorzy urządzeń biurowych i pokrewni
C000296_pl_000	Pracownicy obsługi biurowej
C000297_pl_000	Pracownicy obsługi biurowej
C000298_pl_000	Sekretarze (ogólni)
C000299_pl_000	Sekretarze (ogólni)
C000300_pl_000	Operatorzy urządzeń biurowych
C000301_pl_000	Maszynistki i operatorzy procesorów tekstu
C000302_pl_000	Operatorzy wprowadzania danych
C000303_pl_000	Pracownicy obsługi klienta
C000304_pl_000	Kasjerzy, inkasenci i inni pracownicy obrotu pieniężnego
C000305_pl_000	Kasjerzy bankowi i pokrewni
C000306_pl_000	Bukmacherzy, krupierzy i pokrewni
C000307_pl_000	Pracownicy lombardów i instytucji pożyczkowych
C000308_pl_000	Windykatorzy i pokrewni
C000309_pl_000	Pracownicy do spraw informowania klientów
C000310_pl_000	Konsultanci i pracownicy biur podróży
C000311_pl_000	Pracownicy informacyjni ośrodków kontaktów z klientami
C000312_pl_000	Telefoniści
C000313_pl_000	Recepcjoniści hotelowi
C000314_pl_000	Pracownicy biur informacji
C000315_pl_000	Recepcjoniści (ogólni)
C000316_pl_000	Ankieterzy
C000317_pl_000	Pracownicy do spraw informowania klientów gdzie indziej niesklasyfikowani
C000318_pl_000	Pracownicy do spraw finansowo-statystycznych i ewidencji materiałów
C000319_pl_000	Pracownicy do spraw finansowo-statystycznych
C000320_pl_000	Pracownicy rachunkowości i księgowości
C000321_pl_000	Pracownicy do spraw statystycznych, finansowych i ubezpieczeniowych
C000322_pl_000	Pracownicy obsługi płacowej
C000323_pl_000	Pracownicy spraw ewidencji materiałowej i transportu
C000324_pl_000	Magazynierzy
C000325_pl_000	Planiści produkcji
C000326_pl_000	Pracownicy pomocniczy do spraw transportu
C000327_pl_000	Inni pracownicy biurowi
C000328_pl_000	Inni pracownicy biurowi
C000329_pl_000	Pracownicy pomocniczy bibliotek
C000330_pl_000	Doręczyciele i sortowacze poczty
C000331_pl_000	Kodowacze, korektorzy i pokrewni
C000332_pl_000	Skrybowie i pokrewni
C000333_pl_000	Pracownicy pomocniczy do spraw archiwizacji i kopiowania
C000334_pl_000	Pracownicy pomocniczy do spraw osobowych
C000335_pl_000	Pracownicy pomocniczy gdzie indziej niesklasyfikowani
C000336_pl_000	Pracownicy usług i sprzedawcy
C000337_pl_000	Pracownicy usług osobistych
C000338_pl_000	Stewardzi, konduktorzy i przewodnicy
C000339_pl_000	Stewardzi
C000340_pl_000	Konduktorzy
C000341_pl_000	Przewodnicy turystyczni i piloci wycieczek
C000342_pl_000	Kucharze
C000343_pl_000	Kucharze
C000344_pl_000	Kelnerzy i barmani
C000345_pl_000	Kelnerzy
C000346_pl_000	Barmani
C000347_pl_000	Fryzjerzy, kosmetyczki i pokrewni
C000348_pl_000	Fryzjerzy
C000349_pl_000	Kosmetyczki i pokrewni
C000350_pl_000	Gospodarze budynków i domów
C000351_pl_000	Pracownicy obsługi technicznej biur, hoteli i innych obiektów
C000352_pl_000	Pracownicy usług domowych
C000353_pl_000	Gospodarze budynków
C000354_pl_000	Inni pracownicy usług osobistych
C000355_pl_000	Astrologowie, wróżbici i pokrewni
C000356_pl_000	Osoby do towarzystwa
C000357_pl_000	Pracownicy zakładów pogrzebowych i laboranci sekcyjni
C000358_pl_000	Opiekunowie zwierząt domowych i pracownicy zajmujący się zwierzętami
C000359_pl_000	Instruktorzy nauki jazdy
C000360_pl_000	Pracownicy usług osobistych gdzie indziej niesklasyfikowani
C000361_pl_000	Sprzedawcy
C000362_pl_000	Osoby prowadzące sprzedaż uliczną i targową
C000363_pl_000	Osoby prowadzące sprzedaż na stoiskach i targach
C000364_pl_000	Uliczni sprzedawcy żywności
C000365_pl_000	Pracownicy sprzedaży w sklepach
C000366_pl_000	Właściciele sklepów
C000367_pl_000	Kierownicy sklepów
C000368_pl_000	Ekspedienci w sklepach
C000369_pl_000	Kasjerzy i sprzedawcy biletów
C000370_pl_000	Kasjerzy i sprzedawcy biletów
C000371_pl_000	Inni sprzedawcy
C000372_pl_000	Modele i modelki
C000373_pl_000	Demonstratorzy wyrobów
C000374_pl_000	Akwizytorzy
C000375_pl_000	Sprzedawcy w ośrodkach kontaktów z klientami
C000376_pl_000	Sprzedawcy na stacjach paliw
C000377_pl_000	Bufetowi
C000378_pl_000	Sprzedawcy gdzie indziej niesklasyfikowani
C000379_pl_000	Pracownicy opieki osobistej
C000380_pl_000	Pracownicy opieki nad dziećmi i pomocnicy nauczycieli
C000381_pl_000	Pracownicy opieki nad dziećmi
C000382_pl_000	Pomocnicy nauczycieli
C000383_pl_000	Pracownicy opieki osobistej w usługach zdrowotnych
C000384_pl_000	Pomocniczy personel medyczny
C000385_pl_000	Pracownicy domowej opieki osobistej
C000386_pl_000	Pracownicy opieki osobistej w usługach zdrowotnych gdzie indziej niesklasyfikowani
C000387_pl_000	Pracownicy usług ochrony
C000388_pl_000	Pracownicy usług ochrony
C000389_pl_000	Strażacy
C000390_pl_000	Policjanci (z wyłączeniem policjantów służby kryminalnej)
C000391_pl_000	Strażnicy więzienni
C000392_pl_000	Pracownicy ochrony mienia i osób
C000393_pl_000	Pracownicy służb ochronnych gdzie indziej niesklasyfikowani
C000394_pl_000	Wykwalifikowani rolnicy, robotnicy leśni i rybacy
C000395_pl_000	Rolnicy produkcji towarowej
C000396_pl_000	Rolnicy produkcji roślinnej
C000397_pl_000	Rolnicy upraw polowych i producenci warzyw
C000398_pl_000	Sadownicy
C000399_pl_000	Ogrodnicy i producenci materiału szkółkarskiego
C000400_pl_000	Rolnicy upraw mieszanych
C000401_pl_000	Rolnicy produkcji zwierzęcej
C000402_pl_000	Producenci bydła i producenci mleka
C000403_pl_000	Producenci drobiu
C000404_pl_000	Pszczelarze i producenci jedwabników
C000405_pl_000	Rolnicy produkcji zwierzęcej gdzie indziej niesklasyfikowani
C000406_pl_000	Rolnicy produkcji roślinnej i zwierzęcej
C000407_pl_000	Rolnicy produkcji roślinnej i zwierzęcej
C000408_pl_000	Wykwalifikowani robotnicy leśni, rybacy i myśliwi produkujący na sprzedaż
C000409_pl_000	Robotnicy leśni i pokrewni
C000410_pl_000	Robotnicy leśni i pokrewni
C000411_pl_000	Rybacy, myśliwi i traperzy
C000412_pl_000	Pracownicy akwakultury
C000413_pl_000	Rybacy śródlądowi i przybrzeżni
C000414_pl_000	Rybacy dalekomorscy
C000415_pl_000	Myśliwi i traperzy
C000416_pl_000	Rolnicy, rybacy, myśliwi i zbieracze pracujący na własne potrzeby
C000417_pl_000	Rolnicy produkcji roślinnej pracujący na własne potrzeby
C000418_pl_000	Rolnicy produkcji roślinnej pracujący na własne potrzeby
C000419_pl_000	Rolnicy produkcji zwierzęcej pracujący na własne potrzeby
C000420_pl_000	Rolnicy produkcji zwierzęcej pracujący na własne potrzeby
C000421_pl_000	Rolnicy produkcji roślinnej i zwierzęcej pracujący na własne potrzeby
C000422_pl_000	Rolnicy produkcji roślinnej i zwierzęcej pracujący na własne potrzeby
C000423_pl_000	Rybacy, myśliwi i zbieracze pracujący na własne potrzeby
C000424_pl_000	Rybacy, myśliwi i zbieracze pracujący na własne potrzeby
C000425_pl_000	Robotnicy przemysłowi i rzemieślnicy
C000426_pl_000	Robotnicy budowlani i pokrewni (z wyłączeniem elektryków)
C000427_pl_000	Robotnicy budowlani robót stanu surowego i pokrewni
C000428_pl_000	Robotnicy budowlani
C000429_pl_000	Murarze i pokrewni
C000430_pl_000	Robotnicy obróbki kamienia
C000431_pl_000	Betoniarze, betoniarze zbrojarze i pokrewni
C000432_pl_000	Cieśle i stolarze budowlani
C000433_pl_000	Robotnicy budowlani robót stanu surowego gdzie indziej niesklasyfikowani
C000434_pl_000	Robotnicy budowlani robót wykończeniowych i pokrewni
C000435_pl_000	Dekarze
C000436_pl_000	Posadzkarze i glazurnicy
C000437_pl_000	Tynkarze
C000438_pl_000	Monterzy izolacji
C000439_pl_000	Szklarze
C000440_pl_000	Hydraulicy i monterzy instalacji sanitarnych
C000441_pl_000	Monterzy instalacji klimatyzacyjnych i chłodniczych
C000442_pl_000	Malarze, pracownicy czyszczący konstrukcje budowlane i pokrewni
C000443_pl_000	Malarze budowlani i pokrewni
C000444_pl_000	Lakiernicy
C000445_pl_000	Pracownicy czyszczący konstrukcje budowlane
C000446_pl_000	Robotnicy obróbki metali, mechanicy maszyn i urządzeń i pokrewni
C000447_pl_000	Blacharze, monterzy konstrukcji metalowych, formierze odlewniczy, spawacze i pokrewni
C000448_pl_000	Formierze odlewniczy i rdzeniarze
C000449_pl_000	Spawacze i pokrewni
C000450_pl_000	Blacharze
C000451_pl_000	Robotnicy przygotowujący i wznoszący konstrukcje metalowe
C000452_pl_000	Takielarze i monterzy konstrukcji linowych
C000453_pl_000	Kowale, ślusarze i pokrewni
C000454_pl_000	Kowale, pomocnicy kowala i operatorzy pras kuźniczych
C000455_pl_000	Ślusarze i pokrewni
C000456_pl_000	Ustawiacze i operatorzy obrabiarek skrawających do metali
C000457_pl_000	Polerowacze metali, szlifierze metali i szlifierze narzędzi
C000458_pl_000	Mechanicy maszyn i urządzeń
C000459_pl_000	Mechanicy pojazdów samochodowych
C000460_pl_000	Mechanicy statków powietrznych
C000461_pl_000	Mechanicy maszyn i urządzeń rolniczych i przemysłowych
C000462_pl_000	Mechanicy rowerów i pokrewni
C000463_pl_000	Rzemieślnicy i robotnicy poligraficzni
C000464_pl_000	Rzemieślnicy
C000465_pl_000	Mechanicy precyzyjni
C000466_pl_000	Monterzy i stroiciele instrumentów muzycznych
C000467_pl_000	Jubilerzy, złotnicy i pokrewni
C000468_pl_000	Ceramicy i pokrewni
C000469_pl_000	Formowacze wyrobów szklanych, krajacze i szlifierze szkła
C000470_pl_000	Cechowacze skal i znaków na szkle oraz na wyrobach z metali, zdobnicy ceramiki i szkła, grawerzy i trawiacze
C000471_pl_000	Rękodzielnicy wytwarzający wyroby z drewna i pokrewnych materiałów
C000472_pl_000	Rękodzielnicy wytwarzający wyroby z tkanin, skóry i pokrewnych materiałów
C000473_pl_000	Rękodzielnicy gdzie indziej niesklasyfikowani
C000474_pl_000	Robotnicy poligraficzni
C000475_pl_000	Pracownicy przy pracach przygotowawczych do druku
C000476_pl_000	Drukarze
C000477_pl_000	Pracownicy wykańczania druku i introligatorzy
C000478_pl_000	Elektrycy i elektronicy
C000479_pl_000	Elektromonterzy i elektromechanicy
C000480_pl_000	Elektrycy budowlani i pokrewni
C000481_pl_000	Elektromechanicy i elektromonterzy
C000482_pl_000	Monterzy linii elektrycznych
C000483_pl_000	Monterzy elektronicy, monterzy i mechanicy sieci i urządzeń telekomunikacyjnych
C000484_pl_000	Monterzy elektronicy i serwisanci urządzeń elektronicznych
C000485_pl_000	Monterzy i serwisanci instalacji i urządzeń teleinformatycznych
C000486_pl_000	Robotnicy w przetwórstwie spożywczym, obróbce drewna, produkcji wyrobów włókienniczych, odzieży i pokrewni
C000487_pl_000	Robotnicy w przetwórstwie spożywczym i pokrewni
